PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 7, filenames: A:[7]MAX_TgUtrmcherry_TimeSrs002324_Control.avi & B:[8]MAX_TgUtrmcherry_TimeSrs002324_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-8.625600815,-7.529964447,1
47,65,1.058000088,-0.9808917046,1
47,97,2.730671883,6.080985069,1
47,129,4.29389143,10.53095913,1
47,161,6.163844109,11.35693455,1
47,193,4.655338287,12.17354488,1
47,225,3.72205925,10.19892788,1
47,257,0.3266134262,10.41900444,1
47,289,1.715859652,11.37101364,1
47,321,4.116922379,10.08857727,1
47,353,5.689358711,9.569681168,1
47,385,9.027575493,9.197108269,1
47,417,9.62520504,11.60063744,1
47,449,3.921681404,11.768466,1
47,481,6.693126678,12.24900341,1
47,513,7.363203049,12.34509945,1
47,545,6.639156342,13.27012348,1
47,577,-8.665019035,17.53334808,1
47,609,-10.64077568,13.53530216,1
47,641,8.933950424,15.21416664,1
47,673,12.19896126,11.07010746,1
47,705,0.5652370453,11.37196541,1
47,737,14.14701939,12.98650932,1
47,769,18.16530991,13.67350101,1
47,801,12.49938107,11.38201523,1
47,833,13.02308941,9.770892143,1
47,865,12.85661888,9.393579483,1
47,897,12.45341682,9.748618126,1
47,929,13.68838978,9.245718002,1
47,961,14.70450211,9.445700645,1
47,993,11.74176788,10.09952545,1
47,1025,9.813684464,12.24673557,1
47,1057,8.96746254,14.03218555,1
47,1089,10.27322865,10.54762173,1
47,1121,12.01638412,8.671503067,1
47,1153,12.28756332,6.634508133,1
47,1185,13.16441154,6.01621294,1
47,1217,13.68930435,5.487027168,1
47,1249,13.41359138,6.13978672,1
47,1281,15.61984253,6.435031891,1
47,1313,18.65704727,7.479091644,1
47,1345,17.88791084,6.610675335,1
47,1377,13.45643806,2.319581509,1
47,1409,-0.4531478882,3.676593781,1
47,1441,-16.42835236,10.88861275,1
47,1473,-25.16639709,0.9147168398,1
47,1505,5.896278381,1.431513071,1
47,1537,4.720261574,-0.9540495872,1
47,1569,13.78441525,4.66209507,1
47,1601,12.97807693,5.814098358,1
47,1633,12.94062805,4.045433044,1
47,1665,15.77437401,2.852771521,1
47,1697,15.7803669,3.309842825,1
47,1729,12.68996906,2.587105751,1
47,1761,9.53381443,0.4062163234,1
47,1793,8.80102253,-1.114596128,1
47,1825,11.56266785,1.261368275,1
47,1857,12.97944641,1.085107446,1
47,1889,12.2139101,0.05945730209,1
47,1921,10.52222633,-1.940835476,1
47,1953,9.260775566,-2.232642174,1
47,1985,7.910036087,0.6871550083,1
47,2017,-9.786506653,0.1055383682,1
79,33,1.83622086,3.502510548,1
