PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 3, filenames: A:[3]MAX_TgUtrmcherry_TimeSrs002324_Control.avi & B:[4]MAX_TgUtrmcherry_TimeSrs002324_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,29.63982391,50.52140045,1
47,65,32.1591835,34.31338882,1
47,97,32.8087616,33.08551025,1
47,129,32.57881927,33.4060936,1
47,161,40.97206879,51.04882813,1
47,193,47.28131485,48.64791489,1
47,225,39.48397827,26.85273933,1
47,257,59.34319305,18.62203407,1
47,289,42.60154343,27.13358688,1
47,321,43.19403076,27.20035362,1
47,353,42.72151566,28.17943192,1
47,385,45.5777092,29.69092178,1
47,417,46.80286026,28.08867073,1
47,449,45.84500885,30.17891502,1
47,481,46.71603775,29.19286919,1
47,513,47.67518997,28.09139824,1
47,545,48.46413422,27.03725433,1
47,577,48.86799622,27.12713814,1
47,609,48.24644089,28.29873466,1
47,641,47.65059662,29.16980171,1
47,673,49.77682495,27.59963989,1
47,705,52.82946396,26.92498779,1
47,737,55.13182831,27.20492554,1
47,769,56.14034653,18.01075363,1
47,801,42.85842896,19.61919022,1
47,833,51.5293808,15.56739616,1
47,865,50.24567413,15.05514908,1
47,897,63.31223297,19.95175934,1
47,929,70.22650146,0.4884681702,1
47,961,65.78279877,1.676008224,1
47,993,64.10683441,17.47530746,1
47,1025,54.29710388,21.4792366,1
47,1057,57.22565842,15.34179306,1
47,1089,62.27667236,3.409499407,1
47,1121,65.93638611,-8.201059341,1
47,1153,66.5451355,-6.030004501,1
47,1185,66.88050842,-9.913915634,1
47,1217,67.20176697,-29.76233482,1
47,1249,67.62866211,-6.066272736,1
47,1281,69.9765625,-10.85774708,1
47,1313,74.83766174,-10.78248787,1
47,1345,78.93873596,-16.35383987,1
47,1377,85.67610931,-35.13262177,1
47,1409,71.95189667,-29.37658691,1
47,1441,68.77360535,-26.21813583,1
47,1473,72.60257721,-28.28429031,1
47,1505,53.57492065,-27.51841736,1
47,1537,55.95798111,-34.82053375,1
47,1569,63.72341537,-27.84090805,1
