PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 5, filenames: A:[5]MAX_TgUtrmcherry_TimeSrs002324_Control.avi & B:[6]MAX_TgUtrmcherry_TimeSrs002324_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,8.226325989,18.79492569,1
47,65,10.65356445,17.9190731,1
47,97,8.073742867,18.31552315,1
47,129,12.07420731,21.33963203,1
47,161,12.98897552,21.7101059,1
47,193,12.64530563,21.23480034,1
47,225,11.34185982,20.84409332,1
47,257,11.72850609,19.54785728,1
47,289,10.38932991,20.10733414,1
47,321,12.10758781,21.63366699,1
47,353,3.131340027,19.71012306,1
47,385,11.73213577,21.17823601,1
47,417,15.03850365,19.26586151,1
47,449,16.6158905,20.46340561,1
47,481,18.54370117,21.62383461,1
47,513,19.97094727,19.35595894,1
47,545,19.90867043,20.52232742,1
47,577,18.95481873,19.74181366,1
47,609,13.53331566,8.785764694,1
47,641,36.20988083,23.23012352,1
47,673,23.3568573,19.79782867,1
47,705,24.45514488,19.32805443,1
47,737,7.625968933,20.89999199,1
47,769,12.56086159,6.188373566,1
47,801,23.74794006,7.91006279,1
47,833,26.16042709,19.00579453,1
47,865,37.87325287,23.44775009,1
47,897,36.96383667,14.88717747,1
47,929,33.33206558,4.219045639,1
47,961,24.41832924,13.27759743,1
47,993,28.44452667,7.551710129,1
47,1025,31.88176346,12.27241135,1
47,1057,30.73786163,14.05016041,1
47,1089,38.61849976,8.504674911,1
47,1121,33.635849,5.878689766,1
47,1153,31.79970551,2.581129074,1
47,1185,32.54920959,-0.06751656532,1
47,1217,33.95338058,-2.079499483,1
47,1249,31.43919373,-1.174061775,1
47,1281,39.41740799,0.05009829998,1
47,1313,33.3512001,-0.2740808725,1
47,1345,33.92947769,-2.150382519,1
47,1377,30.70771217,-6.964272499,1
47,1409,29.80555916,-5.406729698,1
47,1441,27.95471764,-8.221773148,1
47,1473,30.96622467,-9.83809185,1
47,1505,32.13240051,-16.12119293,1
47,1537,6.776790619,-7.330443382,1
47,1569,7.376646042,-5.929056168,1
47,1601,25.98013306,-10.5319643,1
47,1633,24.05539513,-12.25945187,1
47,1665,19.22681046,-10.37490559,1
47,1697,15.53652191,-8.312643051,1
47,1729,26.05891609,-4.283625603,1
47,1761,46.85623932,-7.820916176,1
47,1793,29.23344803,-13.54832935,1
47,1825,25.80892372,-12.2630682,1
47,1857,29.04333878,-17.34931374,1
47,1889,26.39250946,11.45410538,1
47,1921,23.86184883,-21.17019844,1
47,1953,19.03385925,-12.36061573,1
47,1985,13.26816177,-15.17247581,1
47,2017,70.53866577,-23.20789719,1
79,33,8.976937294,19.08383179,1
79,65,6.212193489,8.982246399,1
79,97,7.891558647,17.01123428,1
79,129,10.23943615,20.18236542,1
79,161,11.11935329,21.11098099,1
79,193,11.56103134,22.02719116,1
79,225,11.79415321,23.56949997,1
79,257,13.32762623,23.75899887,1
79,289,12.41042233,21.3502636,1
79,321,12.61158085,42.35769653,1
79,353,14.20083809,22.99608231,1
79,385,16.15421486,23.46299934,1
79,417,14.50338173,23.67795944,1
79,449,16.48692513,22.673666,1
79,481,16.86880684,21.07124138,1
79,513,19.18093491,21.11091614,1
79,545,19.79632187,22.40733528,1
79,577,27.62989998,19.31969643,1
79,609,27.93722916,17.02339554,1
79,641,23.19377708,22.27302361,1
79,673,22.01866341,22.4871273,1
79,705,13.29135704,13.94423485,1
79,737,12.33063698,11.53570557,1
79,769,21.89639854,11.72167206,1
79,801,25.14209747,13.75847816,1
79,833,25.8950386,19.17261696,1
79,865,26.80891228,18.00491524,1
79,897,31.67526054,13.12852669,1
79,929,49.43276215,16.41161728,1
79,961,28.91851807,24.18697357,1
79,993,46.72305679,6.489572525,1
79,1025,28.95271301,21.73242188,1
79,1057,33.62965393,23.23981857,1
79,1089,36.43238449,9.187916756,1
79,1121,35.67235947,7.225603104,1
79,1153,35.29860306,5.016338825,1
79,1185,36.02357864,2.401793003,1
79,1217,36.37628937,0.7226291895,1
79,1249,35.52515793,-0.3341021538,1
79,1281,33.24681473,-1.185347199,1
79,1313,13.98853302,1.512590408,1
79,1345,31.83164215,-1.857934475,1
79,1377,32.32847595,0.8808040619,1
79,1409,28.2212429,-3.318383932,1
79,1441,30.71363258,-9.577543259,1
79,1473,13.55604172,1.630039692,1
79,1505,20.5968647,-6.91105938,1
79,1537,27.73864937,-11.96300602,1
79,1569,23.26347542,-10.83607292,1
79,1601,24.22767067,-10.57570267,1
79,1633,24.75979042,-10.14986992,1
79,1665,23.15487862,-10.50688362,1
79,1697,22.56806374,-11.37657452,1
79,1729,23.79137039,-10.16932869,1
79,1761,24.43771553,-11.03890038,1
79,1793,23.282938,-13.61180878,1
79,1825,25.1848526,-17.07351875,1
79,1857,24.92972183,-18.13760376,1
79,1889,28.47867584,5.474317551,1
79,1921,22.86635017,-19.59408188,1
79,1953,18.82369804,-17.52397728,1
79,1985,-1.202419281,-1.26962328,1
79,2017,3.882182121,-5.096794605,1
