PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 55, filenames: A:[55]MAX_TgUtrmcherry_TimeSrs002324_Control.avi & B:[56]MAX_TgUtrmcherry_TimeSrs002324_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,0.579875946,1.788442731,1
47,65,1.114298344,-0.08954703808,1
47,97,1.437460065,0.2096034586,1
47,129,0.1350935102,1.873566985,1
47,161,-0.2569252253,2.189054012,1
47,193,-0.3086772561,3.080999613,1
47,225,-1.305749893,5.024449348,1
47,257,-0.4603997469,1.744078398,1
47,289,-0.6725529432,1.164732456,1
47,321,-0.4626675248,0.9548426867,1
47,353,0.8463458419,0.6633731127,1
47,385,2.435791492,1.308573008,1
47,417,2.035944462,1.849972844,1
47,449,-0.7114449739,1.28681469,1
47,481,-2.375184059,5.20263052,1
47,513,-0.5533354282,1.579906464,1
47,545,0.2327356339,0.2381060421,1
47,577,0.891092062,0.4481555223,1
47,609,0.2809306979,0.8550972939,1
47,641,-0.2177351713,2.063938379,1
47,673,-0.3079537451,3.598462582,1
47,705,-0.1918161362,4.67947197,1
47,737,-0.1886920631,4.263780594,1
47,769,-0.2177249789,0.1013801098,1
47,801,0.1721732318,-0.09685230255,1
47,833,-0.1675342917,0.03798723221,1
47,865,-8.512970924,4.290813923,1
47,897,-3.676531315,3.514553547,1
47,929,-0.9787311554,1.925549269,1
47,961,0.7346146703,7.38480854,1
47,993,1.071928978,4.879486084,1
47,1025,0.5960371494,-1.230258346,1
47,1057,0.5932654738,0.7698391676,1
47,1089,0.7714674473,2.641634941,1
47,1121,0.7603565454,2.917764664,1
47,1153,-0.5313681364,2.941018581,1
47,1185,-1.871572375,5.153279781,1
47,1217,-1.790734291,5.141294003,1
47,1249,-1.628730774,2.788203239,1
47,1281,-0.5049991608,0.4209771156,1
47,1313,-1.291238904,-0.7977716923,1
47,1345,-1.219569087,-1.371088982,1
47,1377,-0.1313199997,-0.1294078827,1
47,1409,-1.496852875,-0.02767366171,1
47,1441,-1.426273823,0.3919084668,1
47,1473,0.1166859865,0.4054199457,1
47,1505,-0.3070639372,0.2008173466,1
47,1537,-1.349443436,0.7478137016,1
47,1569,-0.2241318226,1.541871309,1
47,1601,-0.2149941921,2.65379715,1
47,1633,-0.4712499976,2.645577908,1
47,1665,-0.3186584115,2.251572847,1
47,1697,-0.2335600853,2.027129173,1
47,1729,0.04756593704,1.871978521,1
47,1761,0.4268254042,1.122304797,1
47,1793,0.5928850174,0.2473720312,1
47,1825,0.1998048127,0.7284629345,1
47,1857,-0.00888749212,0.8142886162,1
47,1889,-0.002061724663,0.6415660381,1
47,1921,0.02930450439,0.03280699253,1
47,1953,0.03054779768,-0.587647438,1
47,1985,0.3706153631,0.4070599675,1
47,2017,0.6880799532,0.3815689087,1
79,33,-2.390854836,1.691553831,1
79,65,-0.5086609125,0.8301180601,1
79,97,-0.2929553092,1.222926855,1
79,129,-1.317185521,1.656516433,1
79,161,-0.4508276284,0.9639544487,1
79,193,-0.1826166809,1.910258532,1
79,225,-0.285045743,2.086150646,1
79,257,-0.92402035,1.624747515,1
79,289,-1.494873762,1.254137993,1
79,321,-0.7033640146,0.7755076289,1
79,353,0.3323682547,0.4469929338,1
79,385,0.3745896518,1.266788006,1
79,417,0.3043232858,1.4952811,1
79,449,0.4970681369,1.304993272,1
79,481,0.2921519876,1.697070003,1
79,513,-0.3796034753,1.201552987,1
79,545,-0.1483466625,0.411426425,1
79,577,0.3488556147,0.6938271523,1
79,609,0.2622020841,0.4666830897,1
79,641,0.3680202365,1.236818314,1
79,673,0.1060489938,2.197794437,1
79,705,0.2244474888,2.517752409,1
79,737,0.4261320233,2.387094975,1
79,769,-0.07469266653,1.206628799,1
79,801,-0.05585233867,0.1212539673,1
79,833,0.03244015574,0.5847388506,1
79,865,-7.962314606,9.714776039,1
79,897,0.5063978434,2.089321852,1
79,929,1.484676838,1.740520716,1
79,961,0.9368849993,0.6456626654,1
79,993,0.2494854927,0.1954449415,1
79,1025,-0.1923937351,0.02472120523,1
79,1057,0.3738527894,0.6179093719,1
79,1089,0.2837239504,2.025658131,1
79,1121,0.08124899864,2.395362854,1
79,1153,-0.640121758,2.556983709,1
79,1185,-1.100877762,3.479222059,1
79,1217,-0.6431057453,3.85428381,1
79,1249,-0.7051881552,3.433529139,1
79,1281,-0.8352472782,1.531507015,1
79,1313,-1.915013075,1.502409697,1
79,1345,-2.083113909,0.8700309396,1
79,1377,-2.268684864,0.3334698975,1
79,1409,-1.67491436,0.3757923245,1
79,1441,-1.612486005,0.9603775144,1
79,1473,-1.209289312,1.081353664,1
79,1505,-1.139251232,0.977807045,1
79,1537,-1.353571892,0.7158765793,1
79,1569,-1.455310106,0.7510052919,1
79,1601,0.3257969022,18.11294174,1
79,1633,-0.801384449,1.961370945,1
79,1665,-0.2642294168,1.386662126,1
79,1697,-0.182941407,1.169901967,1
79,1729,-0.1498473138,0.5883617401,1
79,1761,-0.1960544437,0.6213466525,1
79,1793,0.06309837103,0.2271173298,1
79,1825,-0.0186804831,0.06627321243,1
79,1857,0.05441846326,0.3569346666,1
79,1889,-0.2515038848,0.1927383542,1
79,1921,-0.4864071608,-0.111625433,1
79,1953,-0.273819387,0.2490072846,1
79,1985,0.2320764959,0.1714133322,1
79,2017,14.3777914,-2.600193024,1
111,33,-1.945240974,1.402669907,1
111,65,-1.10765028,1.660212636,1
111,97,-0.9345018864,1.414371848,1
111,129,-0.6313531995,1.078220248,1
