PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 4, filenames: A:[4]MAX_TgUtrmcherry_TimeSrs002324_Control.avi & B:[5]MAX_TgUtrmcherry_TimeSrs002324_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,12.79338932,22.73355103,1
47,65,36.16231918,28.3035717,1
47,97,17.75480652,23.57222557,1
47,129,17.44057846,22.93484688,1
47,161,16.03542137,24.6898613,1
47,193,15.42390537,27.00857735,1
47,225,13.20381069,26.70420265,1
47,257,14.33680248,25.63554764,1
47,289,17.71052742,23.79623795,1
47,321,26.5783844,6.471557617,1
47,353,23.71867752,24.90948486,1
47,385,22.16552734,24.67602921,1
47,417,24.8198967,24.97058105,1
47,449,26.4450779,12.48617744,1
47,481,29.7656498,23.15224838,1
47,513,28.17042732,21.48030663,1
47,545,31.02621651,26.27291107,1
47,577,29.00925446,21.86006355,1
47,609,27.26918411,21.22454834,1
47,641,27.80220222,23.54846573,1
47,673,32.15007782,25.16770172,1
47,705,36.05739212,7.486185074,1
47,737,34.76036072,25.1437149,1
47,769,33.56851959,18.15873337,1
47,801,35.69638824,22.35949516,1
47,833,36.03240204,22.28032303,1
47,865,42.61856079,19.51389694,1
47,897,47.37807465,20.00000381,1
47,929,37.95033264,15.88285065,1
47,961,47.10833359,10.43152618,1
47,993,64.20326233,34.87747192,1
47,1025,49.63404465,5.324993134,1
47,1057,36.73800659,7.766579628,1
47,1089,47.88858414,-3.635264158,1
47,1121,45.66885757,-7.40634346,1
47,1153,46.90604782,-2.959058285,1
47,1185,53.58929443,-0.4871685505,1
47,1217,59.42261505,-4.389316082,1
47,1249,50.58117676,-5.850777149,1
47,1281,38.09608841,-7.382097721,1
47,1313,45.76292801,-9.631175995,1
47,1345,39.28557587,-10.2711916,1
47,1377,44.39806366,-12.01362801,1
47,1409,41.34841919,-12.04557323,1
47,1441,42.74637604,-13.59168434,1
47,1473,40.66745758,-15.46080685,1
47,1505,24.34271049,-11.62887383,1
47,1537,37.06243134,-10.7259407,1
47,1569,46.40463638,-23.9312973,1
47,1601,30.76912117,-1.383329391,1
47,1633,33.57156372,-21.14899254,1
47,1665,32.64128876,-22.22226715,1
47,1697,33.16273499,-20.42923546,1
47,1729,35.51274872,-24.17746735,1
47,1761,37.94495392,-18.0124588,1
47,1793,20.39525986,-39.65268707,1
47,1825,25.84368896,-27.11423683,1
47,1857,-0.4965553284,-0.2060966492,1
47,1889,-1.714597702,18.18022537,1
47,1921,19.88695908,12.85417843,1
47,1953,48.16285706,3.387421608,1
47,1985,65.37963867,-1.652098656,1
47,2017,57.70627213,69.01010132,1
79,33,3.158343315,15.37217331,1
79,65,14.90958881,22.4069252,1
79,97,16.08349228,22.38464928,1
79,129,15.80429745,23.2895031,1
79,161,15.25631714,24.73513412,1
79,193,17.789814,26.57995224,1
79,225,17.41681862,26.08732414,1
79,257,18.64673233,26.44603539,1
79,289,22.30018425,26.86977386,1
79,321,24.89216232,26.12733269,1
79,353,23.34915543,28.11446762,1
79,385,23.92962265,28.46969795,1
79,417,24.75256348,26.55292511,1
79,449,26.45437813,27.3127079,1
79,481,23.51404572,27.58570862,1
79,513,25.26069069,24.87069321,1
79,545,27.65815353,24.38742447,1
79,577,28.90200806,21.7479496,1
79,609,29.1692524,26.6964798,1
79,641,29.37632751,26.37596893,1
79,673,32.1419487,25.94811058,1
79,705,35.23046875,26.38695717,1
79,737,36.78250122,46.36791229,1
79,769,45.42113876,27.08909798,1
79,801,42.49063492,25.79966545,1
79,833,39.04836273,23.51960564,1
79,865,38.87940979,23.09367943,1
79,897,37.34169769,23.78814888,1
79,929,35.60775757,15.9475174,1
79,961,42.82735825,17.84766388,1
79,993,63.56168747,31.32690048,1
79,1025,38.92268372,15.42408371,1
79,1057,48.47788239,13.89516735,1
79,1089,48.19613647,-0.1538435817,1
79,1121,48.59643173,-1.633833647,1
79,1153,51.93399811,-1.863667011,1
79,1185,55.83376694,-2.613375664,1
79,1217,57.27173996,-4.434835434,1
79,1249,52.99269104,-5.230029583,1
79,1281,48.06945801,-7.876831532,1
79,1313,47.12135696,-8.624921799,1
79,1345,48.40710831,0.2029752731,1
79,1377,35.38747787,-15.90268993,1
79,1409,41.52972412,-17.89847946,1
79,1441,55.27824783,2.148187637,1
79,1473,35.43541718,-20.53624725,1
79,1505,39.96131516,-19.45376015,1
79,1537,40.55420685,-17.56728172,1
79,1569,40.68349075,-21.10083389,1
79,1601,35.28358841,-18.58480453,1
79,1633,35.70317078,-19.42349434,1
79,1665,35.0298996,-20.68494034,1
79,1697,34.47420502,-32.91072845,1
79,1729,44.02869797,-22.95999718,1
79,1761,33.95412445,-26.54759216,1
79,1793,25.02954292,-19.70131683,1
79,1825,10.53999138,-8.367552757,1
79,1857,-6.106821537,6.065823555,1
79,1889,-3.585389137,1.878852844,1
79,1921,7.430336475,2.640820742,1
79,1953,16.4367981,-20.99845695,1
79,1985,21.68412018,-4.273454189,1
79,2017,-6.662484169,2.375577927,1
111,33,13.56885719,20.71388435,1
111,65,15.79756355,21.33837891,1
111,97,16.342659,22.69897461,1
111,129,16.27474022,22.69116783,1
111,161,19.36672211,23.86716461,1
111,193,19.37564468,25.04184151,1
111,225,19.78183556,25.43877602,1
111,257,20.88443565,27.06612206,1
111,289,21.50983047,28.3415699,1
111,321,22.00579262,29.10366821,1
111,353,23.11397552,29.00793076,1
111,385,24.51817513,28.92891121,1
111,417,25.34692001,26.90905762,1
111,449,27.12625885,28.24641418,1
111,481,27.6670208,28.6874752,1
111,513,27.85635185,29.03199959,1
111,545,28.67456818,25.68048668,1
111,577,29.99424553,25.55629539,1
111,609,30.36740303,27.62713051,1
111,641,31.24223137,28.07702255,1
111,673,32.20236206,27.17508888,1
111,705,35.06198502,26.63902283,1
111,737,37.91149521,22.93298531,1
111,769,40.92395401,26.07811356,1
111,801,41.52806091,26.09168816,1
111,833,41.89083862,24.95876503,1
111,865,36.78212738,43.15154266,1
111,897,45.53550339,27.89887238,1
111,929,45.39719009,29.54221344,1
111,961,43.50497437,6.079015732,1
111,993,49.63599777,22.7592411,1
111,1025,52.36485672,14.20368481,1
111,1057,48.09885406,22.52642822,1
111,1089,48.94723511,2.330374241,1
111,1121,50.85114288,-0.6028705835,1
111,1153,53.75073242,-3.354506016,1
111,1185,56.45586777,-2.261352062,1
111,1217,54.89166641,-3.494298935,1
111,1249,54.29359436,-5.938071251,1
111,1281,53.66593552,-8.04375267,1
111,1313,51.79625702,-8.545842171,1
111,1345,49.24840546,-9.573274612,1
111,1377,54.07659149,-19.92587471,1
111,1409,35.39085388,0.1324748993,1
111,1441,56.35583496,1.609773636,1
111,1473,60.6064682,-7.783504486,1
111,1505,59.05726242,-12.78912354,1
111,1537,37.5228653,-17.84386635,1
111,1569,37.40072632,-18.40936661,1
111,1601,38.3850441,-18.67930222,1
111,1633,37.69333267,-18.51807213,1
111,1665,35.99738693,-19.82224846,1
111,1697,34.88571167,-32.45225525,1
111,1729,35.24328613,-33.41459274,1
111,1761,33.82216644,-22.19968987,1
111,1793,21.28880119,-13.1633625,1
111,1825,11.24798107,-6.793241501,1
111,1857,-0.1395993233,-2.704746485,1
111,1889,12.81102848,12.57656384,1
111,1921,-11.1287384,7.261599541,1
111,1953,-7.994616508,0.2555987835,1
111,1985,4.454428196,-0.4237272143,1
111,2017,-9.74741745,-3.477939606,1
143,33,15.27955246,19.71205711,1
143,65,14.5007782,22.63478851,1
143,97,15.35522652,23.81905365,1
143,129,14.79508209,22.40844727,1
143,161,23.17621994,37.9801178,1
143,193,20.51968193,23.9178524,1
143,225,33.02296448,23.85366249,1
143,257,21.1928215,27.09740257,1
