PIVlab, ASCII chart output - 23-Oct-2024
FRAME: 1, filenames: A:[1]AVI_Pos00d_TimeSrs0002_TgUtrmcherry_K4K8MO.avi & B:[2]AVI_Pos00d_TimeSrs0002_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
111,1889,NaN,NaN,2
111,1921,20.88092422,-8.346380234,1
111,1953,NaN,NaN,2
111,1985,0.8455815315,-0.005731776357,1
111,2017,-0.2942341566,-0.1657649577,1
143,33,1.094225287,2.819087982,1
143,65,NaN,NaN,2
143,97,NaN,NaN,2
143,129,NaN,NaN,2
143,161,NaN,NaN,2
143,193,NaN,NaN,2
143,225,3.471751213,29.82874107,1
143,257,NaN,NaN,2
143,289,4.665252686,36.07926178,1
143,321,NaN,NaN,2
143,353,NaN,NaN,2
143,385,NaN,NaN,2
143,417,8.361896515,38.34923935,1
143,449,11.21688366,38.09341431,1
143,481,12.95591545,37.49902725,1
143,513,14.50040436,38.54669189,1
143,545,16.48903084,38.15734482,1
143,577,18.31498718,38.35653305,1
143,609,19.85156059,39.26167297,1
143,641,NaN,NaN,2
143,673,23.29349899,39.18110657,1
143,705,NaN,NaN,2
143,737,24.43177223,37.41756439,1
143,769,26.5222702,31.93130302,1
143,801,26.57204819,31.48106003,1
143,833,29.13181496,35.06322861,1
143,865,32.47071075,36.85639572,1
143,897,NaN,NaN,2
143,929,NaN,NaN,2
143,961,NaN,NaN,2
143,993,43.72533798,36.32327652,1
143,1025,43.04628372,33.15804291,1
143,1057,43.22790909,31.75969696,1
143,1089,45.04420471,28.9243145,1
143,1121,46.11572647,27.13505745,1
143,1153,44.42086029,25.47234344,1
143,1185,50.02169418,24.07848167,1
143,1217,NaN,NaN,2
143,1249,NaN,NaN,2
143,1281,58.30021667,26.02012444,1
143,1313,NaN,NaN,2
143,1345,NaN,NaN,2
143,1377,59.81233978,4.278799057,1
143,1409,59.19562531,3.650110245,1
143,1441,NaN,NaN,2
143,1473,NaN,NaN,2
143,1505,NaN,NaN,2
143,1537,NaN,NaN,2
143,1569,NaN,NaN,2
143,1601,NaN,NaN,2
143,1633,NaN,NaN,2
143,1665,NaN,NaN,2
143,1697,NaN,NaN,2
143,1729,NaN,NaN,2
143,1761,NaN,NaN,2
143,1793,NaN,NaN,2
143,1825,NaN,NaN,2
143,1857,NaN,NaN,2
143,1889,NaN,NaN,2
143,1921,NaN,NaN,2
143,1953,NaN,NaN,2
143,1985,-0.9043649435,0.04432360083,1
143,2017,-0.8940176964,-0.2941396832,1
175,33,0.1915006638,0.9014863968,1
175,65,-0.4385236204,6.86321497,1
175,97,NaN,NaN,2
175,129,0.6397014856,24.19142342,1
175,161,NaN,NaN,2
175,193,1.915335536,33.61531067,1
175,225,NaN,NaN,2
175,257,NaN,NaN,2
175,289,5.331016064,35.30754089,1
175,321,5.509932995,35.17610168,1
175,353,7.769967556,35.02244186,1
175,385,NaN,NaN,2
175,417,NaN,NaN,2
175,449,NaN,NaN,2
175,481,12.77710342,37.26398468,1
175,513,13.68717098,37.94404984,1
175,545,12.64199257,39.69598007,1
175,577,14.27665329,38.56991959,1
175,609,NaN,NaN,2
175,641,21.76245499,38.14707947,1
175,673,22.7477417,39.34846497,1
175,705,23.85701752,39.47956848,1
175,737,25.29920387,38.21931839,1
175,769,NaN,NaN,2
175,801,NaN,NaN,2
175,833,NaN,NaN,2
175,865,33.99050522,36.75402451,1
175,897,34.67641449,33.67041779,1
175,929,NaN,NaN,2
175,961,43.1763916,33.74059296,1
175,993,43.45133209,36.96947479,1
175,1025,NaN,NaN,2
175,1057,43.73545456,32.16074371,1
175,1089,45.14974213,29.65424156,1
175,1121,NaN,NaN,2
175,1153,NaN,NaN,2
175,1185,NaN,NaN,2
175,1217,NaN,NaN,2
175,1249,NaN,NaN,2
175,1281,NaN,NaN,2
175,1313,NaN,NaN,2
175,1345,58.16890335,9.51211071,1
175,1377,NaN,NaN,2
175,1409,NaN,NaN,2
175,1441,NaN,NaN,2
175,1473,NaN,NaN,2
175,1505,NaN,NaN,2
175,1537,NaN,NaN,2
175,1569,NaN,NaN,2
175,1601,NaN,NaN,2
175,1633,NaN,NaN,2
175,1665,NaN,NaN,2
175,1697,26.54398346,10.49300575,1
175,1729,24.62565422,11.42866325,1
175,1761,NaN,NaN,2
175,1793,NaN,NaN,2
175,1825,NaN,NaN,2
