PIVlab, ASCII chart output - 23-Oct-2024
FRAME: 8, filenames: A:[8]AVI_Pos00d_TimeSrs0002_TgUtrmcherry_K4K8MO.avi & B:[9]AVI_Pos00d_TimeSrs0002_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,NaN,NaN,2
47,65,-1.615350723,-0.08872574568,1
47,97,-2.34743619,-0.4131994247,1
47,129,-3.5789814,-0.3170660734,1
47,161,-4.634735107,-0.4400027394,1
47,193,-6.032440662,-0.9985585809,1
47,225,-6.912881374,-1.683428884,1
47,257,-6.481647491,-1.503217697,1
47,289,-5.036637306,-1.499134302,1
47,321,-3.553115606,-1.126032829,1
47,353,-1.93021965,0.556076467,1
47,385,-0.3156590462,2.559605122,1
47,417,-0.7834226489,3.058748722,1
47,449,-1.082529664,2.278725147,1
47,481,NaN,NaN,2
47,513,-1.414435625,-0.1220617294,1
47,545,-1.781377554,-1.105473995,1
47,577,NaN,NaN,2
47,609,NaN,NaN,2
47,641,11.50910854,-9.529146194,1
47,673,NaN,NaN,2
47,705,NaN,NaN,2
47,737,NaN,NaN,2
47,769,0.1163764,-2.587958336,1
47,801,-1.340458393,-0.8041489124,1
47,833,NaN,NaN,2
47,865,-2.395065784,1.204971433,1
47,897,NaN,NaN,2
47,929,-1.562658072,-0.4949017763,1
47,961,-2.30831933,0.7187786102,1
47,993,2.018220901,0.7208425999,1
47,1025,NaN,NaN,2
47,1057,NaN,NaN,2
47,1089,NaN,NaN,2
47,1121,-17.40200233,-1.332983971,1
47,1153,NaN,NaN,2
47,1185,NaN,NaN,2
47,1217,NaN,NaN,2
47,1249,NaN,NaN,2
47,1281,1.519469738,-0.24968189,1
47,1313,2.975487232,-0.3142635226,1
47,1345,0.5245940685,0.9493213296,1
47,1377,NaN,NaN,2
47,1409,NaN,NaN,2
47,1441,-2.863795042,2.515562057,1
47,1473,1.802578926,0.189005971,1
47,1505,3.48119545,1.487273693,1
47,1537,3.700978756,1.689267278,1
47,1569,4.636046886,-2.829789162,1
47,1601,5.861093521,-1.743911982,1
47,1633,NaN,NaN,2
47,1665,NaN,NaN,2
47,1697,6.402420044,-4.795909405,1
47,1729,4.397445679,-4.310119629,1
47,1761,10.22147369,-3.720425606,1
47,1793,7.359534264,-1.671415329,1
47,1825,NaN,NaN,2
47,1857,2.859255552,15.63037491,1
47,1889,NaN,NaN,2
47,1921,NaN,NaN,2
47,1953,0.6811070442,-6.910010815,1
47,1985,-1.281906128,-5.191065311,1
47,2017,-1.360593081,-2.363649607,1
79,33,-1.944413662,0.6900727749,1
79,65,-1.923683405,-0.1365972757,1
79,97,-1.862129688,-0.1264531314,1
79,129,-1.98180747,-0.2993622422,1
79,161,-3.131672382,-0.5623039007,1
79,193,-3.932797432,-1.092246056,1
79,225,-4.47328043,-1.434083104,1
79,257,-4.776424408,-1.158799291,1
79,289,-3.923728466,-0.7062027454,1
79,321,-2.796232462,0.1207792163,1
79,353,-1.66758275,2.650816917,1
79,385,0.1575453281,2.212491035,1
79,417,0.2185189724,2.061411142,1
79,449,-1.143686533,1.537278175,1
79,481,NaN,NaN,2
79,513,-2.374413013,-1.334241867,1
79,545,-2.84997201,-0.1685525775,1
79,577,-3.816900492,0.949919939,1
79,609,-4.057509899,0.2188842297,1
79,641,-4.240056992,0.5042626858,1
79,673,-4.340575218,-0.01342582703,1
79,705,-3.41603899,-1.246557713,1
79,737,NaN,NaN,2
79,769,-0.7715368867,-1.172362685,1
79,801,NaN,NaN,2
79,833,-1.797769785,-0.4756582975,1
79,865,-2.245820045,1.770552754,1
79,897,-1.719677806,1.434165001,1
79,929,-1.392881274,-0.4745392799,1
79,961,NaN,NaN,2
79,993,-1.198198557,1.353552818,1
79,1025,1.128314972,1.617655277,1
79,1057,NaN,NaN,2
79,1089,NaN,NaN,2
79,1121,NaN,NaN,2
79,1153,2.19294405,0.3318078518,1
79,1185,3.265385628,0.01436653733,1
79,1217,NaN,NaN,2
79,1249,2.766744852,2.073337078,1
79,1281,1.976202965,-0.4212229252,1
79,1313,1.985790253,-1.043976307,1
79,1345,1.963764668,-0.4857279956,1
79,1377,1.740177035,-0.3808715343,1
79,1409,NaN,NaN,2
79,1441,3.598692894,1.860641003,1
79,1473,NaN,NaN,2
79,1505,2.014681816,0.6583921909,1
79,1537,2.833118916,-1.676846504,1
79,1569,1.728886127,-3.628853321,1
79,1601,NaN,NaN,2
79,1633,6.493740559,-1.154214501,1
79,1665,6.117757797,-2.252280712,1
79,1697,7.035886765,-2.949828148,1
79,1729,7.780340195,-5.713676929,1
79,1761,NaN,NaN,2
79,1793,3.388204575,-5.548222542,1
79,1825,NaN,NaN,2
79,1857,NaN,NaN,2
79,1889,4.834763527,-7.640246391,1
79,1921,NaN,NaN,2
79,1953,NaN,NaN,2
79,1985,NaN,NaN,2
79,2017,0.1717307568,-0.2158999443,1
111,33,-2.075045824,0.09587940574,1
111,65,-2.476443768,1.385105848,1
111,97,-2.735856771,0.1012916863,1
111,129,-2.79502368,-0.8293642998,1
111,161,-3.380710602,-0.9620972276,1
111,193,-3.577394485,-1.773376465,1
111,225,-3.103185177,-1.146228909,1
111,257,-4.068108559,-0.7989933491,1
111,289,-3.98059082,-0.2641878128,1
111,321,-2.355288744,0.5144788027,1
111,353,-2.002439976,2.997249126,1
111,385,-0.08514225483,2.463609934,1
111,417,-0.3735677004,0.6525651217,1
111,449,-1.826351523,0.4038169384,1
111,481,NaN,NaN,2
111,513,NaN,NaN,2
111,545,NaN,NaN,2
111,577,-4.665513992,1.440317392,1
111,609,-4.0414505,1.660206556,1
111,641,-3.600168943,1.798248291,1
111,673,-3.927542686,1.563864589,1
111,705,-4.012547493,0.7956513166,1
111,737,-2.251544237,-0.3012334108,1
111,769,-1.059805155,-0.3823343515,1
111,801,NaN,NaN,2
111,833,-1.689372301,1.005804896,1
111,865,-9.627471924,1.74952817,1
111,897,NaN,NaN,2
111,929,-0.8472479582,-0.5588386059,1
111,961,NaN,NaN,2
111,993,NaN,NaN,2
111,1025,-1.880405784,1.137067318,1
111,1057,NaN,NaN,2
111,1089,NaN,NaN,2
111,1121,-1.062796593,0.7561628222,1
111,1153,2.435235023,1.192126513,1
111,1185,2.658938169,1.085376978,1
111,1217,1.822147608,-0.01280558109,1
111,1249,1.679130435,-0.3610047698,1
111,1281,1.421422243,-0.07531285286,1
111,1313,2.170611382,-0.7807093859,1
111,1345,3.069905281,-0.2285724878,1
111,1377,3.40513134,-0.5492620468,1
111,1409,NaN,NaN,2
111,1441,7.46724844,1.096601725,1
111,1473,NaN,NaN,2
111,1505,3.693551064,-2.753820419,1
