PIVlab, ASCII chart output - 23-Oct-2024
FRAME: 20, filenames: A:[20]AVI_Pos00d_TimeSrs0002_TgUtrmcherry_K4K8MO.avi & B:[21]AVI_Pos00d_TimeSrs0002_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,NaN,NaN,2
47,65,-2.431290865,-0.7219634056,1
47,97,-1.102741003,1.671901226,1
47,129,NaN,NaN,2
47,161,NaN,NaN,2
47,193,NaN,NaN,2
47,225,-4.606847763,5.161536694,1
47,257,-4.846838474,3.45303154,1
47,289,NaN,NaN,2
47,321,-2.587882042,2.34346962,1
47,353,-1.195624471,0.659217,1
47,385,-1.143648624,-0.4174466133,1
47,417,0.08295720816,-1.98304677,1
47,449,NaN,NaN,2
47,481,1.005008221,-0.1186078787,1
47,513,2.559226751,-2.226595879,1
47,545,2.423752546,-1.84842968,1
47,577,1.153168082,1.159998894,1
47,609,1.546392441,-0.02932673693,1
47,641,2.312962532,-0.7504322529,1
47,673,NaN,NaN,2
47,705,-1.901822567,-2.030886412,1
47,737,-3.330412865,-1.996060848,1
47,769,-0.792265892,-0.8750221729,1
47,801,-0.4798593521,-1.257107258,1
47,833,-0.8369960785,-1.858894825,1
47,865,NaN,NaN,2
47,897,NaN,NaN,2
47,929,1.380999327,-1.617107391,1
47,961,1.951788902,-3.376354218,1
47,993,-0.6383738518,-0.3439438343,1
47,1025,NaN,NaN,2
47,1057,NaN,NaN,2
47,1089,NaN,NaN,2
47,1121,-0.1020629406,-1.073065519,1
47,1153,-0.01839178801,0.4130434394,1
47,1185,-0.6692445278,1.134309411,1
47,1217,-0.2625513077,1.48210299,1
47,1249,-0.2439992428,-2.76001358,1
47,1281,-2.094768524,-3.814733982,1
47,1313,-0.436658144,-1.679152727,1
47,1345,0.3669644594,0.3790591955,1
47,1377,0.02892875671,1.592972279,1
47,1409,-1.095360756,1.214164972,1
47,1441,NaN,NaN,2
47,1473,-0.1691887379,0.1734087467,1
47,1505,NaN,NaN,2
47,1537,-0.4842748642,-0.6970086098,1
47,1569,NaN,NaN,2
47,1601,-0.2697027028,0.3966119885,1
47,1633,0.5169203281,-0.453463316,1
47,1665,-1.85219264,-0.5169780254,1
47,1697,NaN,NaN,2
47,1729,-1.396135092,0.9468016624,1
47,1761,-0.1310521364,3.755630493,1
47,1793,NaN,NaN,2
47,1825,1.368943453,0.1377501488,1
47,1857,NaN,NaN,2
47,1889,2.41425848,1.872540236,1
47,1921,NaN,NaN,2
47,1953,NaN,NaN,2
47,1985,0.8494137526,-0.7312920094,1
47,2017,-0.8375163078,0.6279697418,1
79,33,NaN,NaN,2
79,65,1.234614849,-0.1418172866,1
79,97,NaN,NaN,2
79,129,NaN,NaN,2
79,161,-2.171504974,-2.209559917,1
79,193,-3.303437471,0.3598602414,1
79,225,-3.072253466,1.562255502,1
79,257,NaN,NaN,2
79,289,-3.172398329,1.772336006,1
79,321,-0.1985800266,-0.9239034653,1
79,353,-0.372481823,0.8032922745,1
79,385,-0.4087847471,0.5905921459,1
79,417,-0.1907137334,-0.7872678041,1
79,449,NaN,NaN,2
79,481,NaN,NaN,2
79,513,0.1920264959,-0.6197453141,1
79,545,-0.6764461994,-0.9125809669,1
79,577,-0.7893243432,2.417792797,1
79,609,-0.3466591835,-0.3132652342,1
79,641,-0.2237442732,-0.6845164299,1
79,673,-1.528479815,-1.905144453,1
79,705,-3.642044544,-1.728201866,1
79,737,-1.223893166,-0.8572022915,1
79,769,1.762147903,0.05885708332,1
79,801,NaN,NaN,2
79,833,NaN,NaN,2
79,865,NaN,NaN,2
79,897,NaN,NaN,2
79,929,-0.4658318162,0.2149791718,1
79,961,-0.768032372,-1.616888881,1
79,993,0.6795680523,-1.176427603,1
79,1025,NaN,NaN,2
79,1057,NaN,NaN,2
79,1089,NaN,NaN,2
79,1121,NaN,NaN,2
79,1153,-1.123941898,-0.6950795054,1
79,1185,-1.128546,0.1245529056,1
79,1217,-0.9306981564,0.2175545692,1
79,1249,-1.452135682,-1.730477095,1
79,1281,-3.735066175,-2.811386108,1
79,1313,-1.481162548,-2.099089861,1
79,1345,-1.859921813,-0.9544479847,1
79,1377,NaN,NaN,2
79,1409,-0.9198620319,-2.452748299,1
79,1441,0.0156494379,-0.8068848252,1
79,1473,-0.2513694763,-1.073206544,1
79,1505,-1.18753612,0.6941657066,1
79,1537,0.5049444437,2.199664593,1
79,1569,1.660227776,-0.3421726227,1
79,1601,-0.1936520338,-0.4311345816,1
79,1633,-0.6118400097,-0.5452722907,1
79,1665,-0.6605197787,-0.3997526765,1
79,1697,-0.2897433639,-0.5555529594,1
79,1729,0.1561915278,-0.873724103,1
79,1761,0.8094067574,-0.2470793724,1
79,1793,0.6186299324,0.8700064421,1
79,1825,0.4190583229,-2.733528614,1
79,1857,0.6945121288,-1.463716626,1
79,1889,0.862383306,-2.448276281,1
79,1921,0.1955047846,-3.517606258,1
79,1953,NaN,NaN,2
79,1985,1.424195647,-0.5409374237,1
79,2017,NaN,NaN,2
111,33,0.167910412,2.716460943,1
111,65,0.9026364684,-1.728364587,1
111,97,0.03111532331,-3.02339673,1
111,129,-0.9815694094,-1.471318364,1
111,161,-0.8005563021,-0.2894978523,1
111,193,-0.1649093628,-2.043108463,1
111,225,-0.6968989372,-0.8460122347,1
111,257,-2.81176734,-0.425974369,1
111,289,-1.688838482,-0.9039306641,1
111,321,NaN,NaN,2
111,353,-0.5249196291,0.4283559024,1
111,385,-0.07485413551,0.05472615361,1
111,417,-0.1119873524,0.1683191955,1
111,449,-0.6862422824,0.1404626369,1
111,481,NaN,NaN,2
111,513,-0.7270078063,-0.7292751074,1
111,545,-1.030265093,-1.459885955,1
111,577,-1.016836524,-0.6896577477,1
111,609,-1.100130796,0.0354475975,1
111,641,-1.300948262,-0.6355479956,1
111,673,-2.09231782,-0.7799324989,1
111,705,-4.230132103,-0.5827876329,1
111,737,NaN,NaN,2
111,769,-2.903735638,-1.208766818,1
111,801,-3.7421422,-2.57047081,1
111,833,NaN,NaN,2
111,865,-1.397787452,0.06980067492,1
111,897,-1.197657108,0.4537523389,1
111,929,-0.9056786299,-0.7339512706,1
111,961,-0.9125038981,-1.846216679,1
111,993,-0.05024927855,-1.137475848,1
111,1025,-0.1838953495,-0.7371037006,1
111,1057,0.3308528066,-2.353953838,1
111,1089,NaN,NaN,2
111,1121,NaN,NaN,2
111,1153,NaN,NaN,2
111,1185,NaN,NaN,2
111,1217,-3.011181593,-0.5678569674,1
111,1249,-4.865347862,-2.07933712,1
111,1281,NaN,NaN,2
111,1313,-1.674444318,-1.867780685,1
