PIVlab, ASCII chart output - 23-Oct-2024
FRAME: 5, filenames: A:[5]AVI_Pos00d_TimeSrs0002_TgUtrmcherry_K4K8MO.avi & B:[6]AVI_Pos00d_TimeSrs0002_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,NaN,NaN,2
47,65,-2.023044586,-0.2460557222,1
47,97,-2.084299803,0.1363380551,1
47,129,-3.533655167,0.314435482,1
47,161,-4.697492599,-1.518639803,1
47,193,-4.897876263,0.09216427803,1
47,225,NaN,NaN,2
47,257,-2.31431222,1.941629171,1
47,289,-2.123310089,1.611108065,1
47,321,-5.550279617,-0.1128507853,1
47,353,-6.823842049,-0.2183437347,1
47,385,NaN,NaN,2
47,417,NaN,NaN,2
47,449,NaN,NaN,2
47,481,NaN,NaN,2
47,513,NaN,NaN,2
47,545,NaN,NaN,2
47,577,-6.768479347,-0.7684547901,1
47,609,-5.594573021,-2.056553602,1
47,641,-7.65504837,-0.6252940297,1
47,673,NaN,NaN,2
47,705,-2.879360676,3.047917843,1
47,737,-3.086329937,4.154342651,1
47,769,NaN,NaN,2
47,801,NaN,NaN,2
47,833,-4.210224152,-1.411108017,1
47,865,-3.979271889,-0.6384004951,1
47,897,-2.468305588,1.50246191,1
47,929,NaN,NaN,2
47,961,2.078370571,-2.440870047,1
47,993,NaN,NaN,2
47,1025,-2.915354729,-1.050499439,1
47,1057,NaN,NaN,2
47,1089,NaN,NaN,2
47,1121,NaN,NaN,2
47,1153,NaN,NaN,2
47,1185,NaN,NaN,2
47,1217,NaN,NaN,2
47,1249,NaN,NaN,2
47,1281,5.325582504,-2.732509136,1
47,1313,6.678839207,-2.432290554,1
47,1345,NaN,NaN,2
47,1377,8.19776535,-1.501200676,1
47,1409,NaN,NaN,2
47,1441,NaN,NaN,2
47,1473,NaN,NaN,2
47,1505,7.240997314,-2.256978512,1
47,1537,NaN,NaN,2
47,1569,NaN,NaN,2
47,1601,12.54954338,-1.006327152,1
47,1633,8.226698875,-2.376562119,1
47,1665,7.231789589,-0.01811885834,1
47,1697,8.984792709,-1.127648354,1
47,1729,NaN,NaN,2
47,1761,NaN,NaN,2
47,1793,NaN,NaN,2
47,1825,12.3132534,-3.564948082,1
47,1857,11.10243797,-4.514938354,1
47,1889,NaN,NaN,2
47,1921,NaN,NaN,2
47,1953,NaN,NaN,2
47,1985,NaN,NaN,2
47,2017,-2.309360027,0.6932692528,1
79,33,-3.192634583,0.7957312465,1
79,65,-3.402785778,0.1537088752,1
79,97,-3.934239864,-0.3714821935,1
79,129,-4.011437416,0.1535403281,1
79,161,-3.460507631,1.018066287,1
79,193,NaN,NaN,2
79,225,-2.783189297,1.014914036,1
79,257,-3.286417484,1.19486475,1
79,289,-3.58538723,0.9227156639,1
79,321,NaN,NaN,2
79,353,-5.241419792,1.315088511,1
79,385,-3.903150082,-1.273191929,1
79,417,-5.22138834,-2.460321903,1
79,449,NaN,NaN,2
79,481,-10.06537437,14.32174873,1
79,513,NaN,NaN,2
79,545,NaN,NaN,2
79,577,-5.066686153,-1.796777248,1
79,609,-4.627597809,-2.712536335,1
79,641,-4.029027939,-2.073704481,1
79,673,-0.8899111748,0.1785833836,1
79,705,-0.08935189247,1.379302144,1
79,737,NaN,NaN,2
79,769,NaN,NaN,2
79,801,NaN,NaN,2
79,833,NaN,NaN,2
79,865,NaN,NaN,2
79,897,-1.628838539,0.7883996964,1
79,929,NaN,NaN,2
79,961,0.8774686456,-0.4839753509,1
79,993,0.652192235,-0.7397776246,1
79,1025,-0.2758707404,-0.1554365754,1
79,1057,NaN,NaN,2
79,1089,NaN,NaN,2
79,1121,NaN,NaN,2
79,1153,NaN,NaN,2
79,1185,NaN,NaN,2
79,1217,4.794012547,-0.3175836802,1
79,1249,NaN,NaN,2
79,1281,NaN,NaN,2
79,1313,6.631260872,0.1272108555,1
79,1345,NaN,NaN,2
79,1377,NaN,NaN,2
79,1409,NaN,NaN,2
79,1441,11.32932758,-5.703791618,1
79,1473,11.39687252,-5.38944912,1
79,1505,NaN,NaN,2
79,1537,NaN,NaN,2
79,1569,12.75993633,-2.098869324,1
79,1601,11.00596046,-2.882684946,1
79,1633,10.33139324,-4.436057091,1
79,1665,9.760193825,-2.837561607,1
79,1697,10.14113331,-2.486782074,1
79,1729,9.951712608,-3.528279066,1
79,1761,9.494608879,0.7966032028,1
79,1793,9.567723274,-1.973737717,1
79,1825,9.577541351,-1.066434383,1
79,1857,7.33318615,-4.038715839,1
79,1889,8.674755096,-6.350266457,1
79,1921,NaN,NaN,2
79,1953,NaN,NaN,2
79,1985,-1.240128994,0.6127256751,1
79,2017,-1.261111498,-0.4012522697,1
111,33,-3.882457495,0.6385067105,1
111,65,-3.663409948,0.5027086139,1
111,97,-5.357563496,-1.340023518,1
111,129,-4.855017185,-0.1845707893,1
111,161,-1.478922606,1.727175593,1
111,193,-4.188436508,2.880569696,1
111,225,-3.960516214,-0.02064684033,1
111,257,-3.775019169,0.3100764155,1
111,289,-3.852267504,0.06711477041,1
111,321,NaN,NaN,2
111,353,-3.524488688,-0.878857255,1
111,385,-1.606059074,-0.2521034479,1
111,417,-4.886815071,-1.022304654,1
111,449,NaN,NaN,2
111,481,NaN,NaN,2
111,513,-0.5058689117,11.53042698,1
111,545,NaN,NaN,2
111,577,-5.847715855,-1.722481489,1
111,609,-4.851126671,-1.764034152,1
111,641,-3.826169491,-1.03373909,1
111,673,-2.217020988,1.187378883,1
111,705,-3.133938313,0.4200121164,1
111,737,NaN,NaN,2
111,769,-2.006524563,-0.6656864882,1
111,801,NaN,NaN,2
111,833,NaN,NaN,2
111,865,-1.455497384,0.4470070601,1
111,897,-0.8924179077,0.5144862533,1
111,929,NaN,NaN,2
111,961,1.132612109,0.3639515042,1
111,993,0.6564569473,-2.110235929,1
111,1025,1.193309307,0.1521508992,1
111,1057,NaN,NaN,2
111,1089,NaN,NaN,2
111,1121,2.079820156,2.861194611,1
111,1153,NaN,NaN,2
111,1185,NaN,NaN,2
111,1217,NaN,NaN,2
111,1249,NaN,NaN,2
111,1281,NaN,NaN,2
111,1313,NaN,NaN,2
111,1345,8.990159988,-5.391508579,1
111,1377,10.05805779,-5.575164795,1
111,1409,11.00167847,-4.690795898,1
111,1441,NaN,NaN,2
111,1473,11.99889851,-4.16553545,1
111,1505,12.48140812,-3.722242832,1
111,1537,12.70160675,-4.892393112,1
111,1569,12.14734077,-4.701367378,1
111,1601,11.57874012,-3.34867835,1
111,1633,11.24739552,-2.500985861,1
111,1665,10.94785976,-2.558808088,1
111,1697,10.70360947,-2.655875683,1
