PIVlab, ASCII chart output - 23-Oct-2024
FRAME: 9, filenames: A:[9]AVI_Pos00d_TimeSrs0002_TgUtrmcherry_K4K8MO.avi & B:[10]AVI_Pos00d_TimeSrs0002_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,NaN,NaN,2
47,65,NaN,NaN,2
47,97,-7.094701767,-3.456540346,1
47,129,-6.016962051,-2.273893595,1
47,161,-8.894010544,-1.10664618,1
47,193,-7.909428596,2.036088943,1
47,225,-4.85960865,3.408660889,1
47,257,-1.094273567,2.849930763,1
47,289,0.455063343,5.619838238,1
47,321,-3.836643457,4.767436981,1
47,353,-9.551395416,3.708817482,1
47,385,NaN,NaN,2
47,417,-4.907405376,2.692844391,1
47,449,-3.631550789,1.954493999,1
47,481,-2.894145966,1.018379569,1
47,513,-3.016042233,0.2478787899,1
47,545,-5.533639908,-0.4686675072,1
47,577,NaN,NaN,2
47,609,NaN,NaN,2
47,641,NaN,NaN,2
47,673,-4.7580266,1.202867746,1
47,705,NaN,NaN,2
47,737,-2.341755867,0.05666875839,1
47,769,-0.628115356,1.245459199,1
47,801,-2.353690386,-0.004096031189,1
47,833,-2.03537035,-0.9505933523,1
47,865,NaN,NaN,2
47,897,NaN,NaN,2
47,929,0.09977447987,0.3789006472,1
47,961,0.3669848442,0.06619298458,1
47,993,-0.3265016079,0.04034125805,1
47,1025,0.04562878609,0.3115918636,1
47,1057,NaN,NaN,2
47,1089,0.6546362042,-3.317615986,1
47,1121,2.556634903,-3.253841639,1
47,1153,0.9762363434,-0.9843025208,1
47,1185,2.097044945,-4.183129311,1
47,1217,3.397063732,-2.41370821,1
47,1249,2.505835533,0.7438099384,1
47,1281,NaN,NaN,2
47,1313,NaN,NaN,2
47,1345,-0.3229529858,3.104409218,1
47,1377,NaN,NaN,2
47,1409,NaN,NaN,2
47,1441,0.5038487911,-1.208772659,1
47,1473,-2.132811069,-0.1137857437,1
47,1505,0.2601075172,0.388679862,1
47,1537,1.625549793,0.7444299459,1
47,1569,3.628281593,0.256190896,1
47,1601,2.585086823,-1.864408016,1
47,1633,-0.006939411163,-3.17869854,1
47,1665,NaN,NaN,2
47,1697,2.884763718,-2.030269623,1
47,1729,NaN,NaN,2
47,1761,NaN,NaN,2
47,1793,NaN,NaN,2
47,1825,-0.7498157024,-7.764141083,1
47,1857,NaN,NaN,2
47,1889,NaN,NaN,2
47,1921,NaN,NaN,2
47,1953,-0.6534868479,-0.7845708728,1
47,1985,-1.127837181,0.2445264459,1
47,2017,2.487336397,-3.13190794,1
79,33,-1.398019314,2.949710131,1
79,65,-2.42793417,0.005500972271,1
79,97,-7.271817684,-0.7482638955,1
79,129,-7.883974075,-0.7123724222,1
79,161,-7.653805256,-0.08908164501,1
79,193,-6.264968872,1.640574574,1
79,225,-6.134100914,1.559414864,1
79,257,-2.730571747,0.7232193947,1
79,289,-1.600423098,1.984561443,1
79,321,-3.538236618,1.292689323,1
79,353,NaN,NaN,2
79,385,NaN,NaN,2
79,417,-2.360625744,2.796237946,1
79,449,-2.639298916,1.944912195,1
79,481,-2.629029274,1.625383377,1
79,513,-1.838432074,2.167696714,1
79,545,-2.219797134,1.935244083,1
79,577,NaN,NaN,2
79,609,-3.702794552,3.269342661,1
79,641,-3.044807911,1.391598582,1
79,673,NaN,NaN,2
79,705,NaN,NaN,2
79,737,NaN,NaN,2
79,769,NaN,NaN,2
79,801,NaN,NaN,2
79,833,1.71320653,-3.596496344,1
79,865,0.5740578175,-2.999676466,1
79,897,0.322616756,-2.204966545,1
79,929,1.567247629,-0.5722213387,1
79,961,1.701349974,-1.554205894,1
79,993,1.542829156,-0.1665458083,1
79,1025,0.5302987099,0.1144697666,1
79,1057,NaN,NaN,2
79,1089,0.9692725539,-1.795767903,1
79,1121,NaN,NaN,2
79,1153,0.8136413097,-2.611174583,1
79,1185,-0.4306540489,-2.869130373,1
79,1217,-0.4601078033,-1.904528856,1
79,1249,1.974395752,0.09035247564,1
79,1281,NaN,NaN,2
79,1313,NaN,NaN,2
79,1345,3.522288322,4.162340164,1
79,1377,NaN,NaN,2
79,1409,0.4094538689,0.774838984,1
79,1441,NaN,NaN,2
79,1473,1.548514605,-2.411917686,1
79,1505,2.347836018,-1.194892883,1
79,1537,2.532333612,-0.3814707696,1
79,1569,2.277192593,-0.4356700182,1
79,1601,1.479704857,-1.235060692,1
79,1633,-0.01696372032,-2.613470078,1
79,1665,1.573676586,-1.019046307,1
79,1697,0.9084992409,-1.628724813,1
79,1729,-0.4942777157,-4.196846008,1
79,1761,NaN,NaN,2
79,1793,NaN,NaN,2
79,1825,3.363001823,-3.103893042,1
79,1857,NaN,NaN,2
79,1889,NaN,NaN,2
79,1921,NaN,NaN,2
79,1953,NaN,NaN,2
79,1985,0.1635349393,-0.0305814445,1
79,2017,NaN,NaN,2
111,33,-4.715151787,0.8023564219,1
111,65,-3.741841793,0.877951026,1
111,97,-7.547626972,0.3268225193,1
111,129,NaN,NaN,2
111,161,NaN,NaN,2
111,193,NaN,NaN,2
111,225,NaN,NaN,2
111,257,-3.298356533,0.9343078136,1
111,289,-2.585882187,0.6996883154,1
111,321,-1.055653095,-0.4837536812,1
111,353,-1.379124284,2.89221859,1
111,385,-1.488871694,1.458271623,1
111,417,-2.076553345,1.228584528,1
111,449,-2.960293055,1.712442875,1
111,481,-2.558199644,2.745908499,1
111,513,-2.058712482,4.489758492,1
111,545,-1.810004473,3.159890652,1
111,577,-3.782793283,3.208763123,1
111,609,-2.468867302,3.994910717,1
111,641,-1.786033511,3.471552372,1
111,673,-0.2886052132,2.416154146,1
111,705,0.08663773537,1.471341491,1
111,737,NaN,NaN,2
111,769,-7.923519135,-13.9748373,1
111,801,NaN,NaN,2
111,833,2.471916199,-4.179063797,1
111,865,2.404439449,-3.72150135,1
111,897,NaN,NaN,2
111,929,0.8801475167,-1.499100685,1
111,961,0.4625118971,-0.3701202869,1
111,993,NaN,NaN,2
111,1025,-0.2752183676,-0.7417991161,1
111,1057,0.1193161607,-1.18040812,1
111,1089,1.078222871,-1.380173802,1
111,1121,NaN,NaN,2
111,1153,NaN,NaN,2
111,1185,0.8828334808,-1.676811457,1
111,1217,0.1441144943,-1.341645241,1
111,1249,NaN,NaN,2
111,1281,NaN,NaN,2
111,1313,1.207826018,2.243770123,1
111,1345,-0.2765562534,3.690105438,1
111,1377,NaN,NaN,2
111,1409,NaN,NaN,2
111,1441,-0.5201220512,-1.320690274,1
111,1473,2.062681437,-1.542664409,1
111,1505,2.178534746,-0.9658591747,1
111,1537,1.025771856,-1.08300817,1
