PIVlab, ASCII chart output - 07-Feb-2024
FRAME: 3, filenames: A:[3]MAX_TimeSrs026_TgUtrmcherry_Control.avi & B:[4]MAX_TimeSrs026_TgUtrmcherry_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-1.863269567,4.90618372,1
47,65,-0.2350809872,-0.2024556249,1
47,97,0.7690477371,-1.236599922,1
47,129,0.4955539703,-0.6017702818,1
47,161,0.01012766361,1.092424393,1
47,193,-0.6703323126,3.086111784,1
47,225,-0.3251046538,1.36912334,1
47,257,0.8263444901,0.06894242764,1
47,289,2.112976551,0.8638501763,1
47,321,2.584382534,0.6385987401,1
47,353,2.019491673,-0.438665092,1
47,385,0.2278820872,-0.01536566019,1
47,417,-0.856832087,1.406482697,1
47,449,-0.2557047606,1.672576189,1
47,481,0.2362938672,0.7298928499,1
47,513,0.09611552954,0.7962515354,1
47,545,-0.5746035576,1.989786029,1
47,577,-0.9285757542,2.096700191,1
47,609,-0.7331357598,1.014112592,1
47,641,-0.01672038436,-0.1947828531,1
47,673,0.3967835307,0.8455523252,1
47,705,2.372464657,2.765971899,1
47,737,3.454868078,3.335572958,1
47,769,-0.1134968251,0.4411785603,1
47,801,-0.6488073468,0.7134227753,1
47,833,0.2973307371,1.054200888,1
47,865,1.750049114,3.169805527,1
47,897,1.164180756,3.161234856,1
47,929,0.1210244894,1.465799809,1
47,961,-0.419256866,1.725105286,1
47,993,-0.1169748902,1.598683715,1
47,1025,1.679124355,1.331181526,1
47,1057,1.029465795,2.386737823,1
47,1089,0.6013768911,2.861301422,1
47,1121,1.598894596,1.294424772,1
47,1153,3.26388073,0.2521915436,1
47,1185,5.217843056,2.291801453,1
47,1217,2.459209442,2.002422571,1
47,1249,1.846783161,4.256174088,1
47,1281,17.50614548,6.99548912,1
47,1313,3.573738575,-1.081133842,1
47,1345,4.990560532,-1.086302757,1
47,1377,4.592856407,1.312935114,1
47,1409,3.322969198,3.469973803,1
47,1441,3.259163618,2.785095692,1
47,1473,2.453805923,1.053514481,1
47,1505,5.398639679,-17.43299675,1
47,1537,-2.895700932,-0.03347492218,1
47,1569,-1.652861118,0.6553379297,1
47,1601,-0.7438268661,2.219883919,1
47,1633,0.6860809326,2.634718657,1
47,1665,3.177061796,0.6762546301,1
47,1697,2.73864007,-0.660713613,1
47,1729,2.28874588,-1.244365931,1
47,1761,3.82721138,-1.570971966,1
47,1793,5.091790199,-2.220006704,1
47,1825,4.313999176,-1.953425646,1
47,1857,4.848516464,-1.579672098,1
47,1889,3.306313992,-2.461332321,1
47,1921,0.7960820198,-0.4205861092,1
47,1953,0.6373522282,-0.383122921,1
47,1985,0.6704230309,-0.8988753557,1
47,2017,-7.316439629,0.2659664154,1
79,33,0.5736902356,1.580744267,1
79,65,-0.1261086613,-0.1862999648,1
79,97,0.3117144108,-0.599601686,1
79,129,0.5292409658,-0.6950762272,1
79,161,0.9534762502,0.2680261433,1
79,193,7.160416603,0.138410449,1
79,225,-0.3494800031,0.03211522102,1
79,257,0.2905652523,0.4358556867,1
79,289,0.6627785563,0.8726472259,1
79,321,0.6827585697,1.001654863,1
79,353,0.1663863659,1.676507235,1
79,385,-0.4916805327,1.380172133,1
79,417,-0.8526130915,1.268308282,1
79,449,0.06078034639,1.346072435,1
79,481,0.3740389347,1.181389093,1
79,513,0.07244557142,1.215473771,1
79,545,-0.521479845,2.804329634,1
79,577,-1.2295084,1.972194195,1
79,609,-3.296004295,3.274530888,1
79,641,-1.201594591,1.466683149,1
79,673,1.808590412,1.401743412,1
79,705,2.443557024,2.188662767,1
79,737,1.218897343,2.953128338,1
79,769,-0.0231532976,1.423977494,1
79,801,-0.1240826994,0.679052949,1
79,833,-0.04691103101,1.171397209,1
79,865,1.339309454,2.395309687,1
79,897,2.295145035,2.275713444,1
79,929,-0.00201651454,-0.2961496115,1
79,961,-0.3388011754,0.7185782194,1
79,993,0.08230865002,1.549709916,1
79,1025,0.882044673,-0.4871468544,1
79,1057,1.670897007,1.888446093,1
79,1089,1.468267202,2.151915073,1
