PIVlab, ASCII chart output - 07-Feb-2024
FRAME: 7, filenames: A:[7]MAX_TimeSrs026_TgUtrmcherry_Control.avi & B:[8]MAX_TimeSrs026_TgUtrmcherry_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-1.454143047,1.392620206,1
47,65,0.2071980685,-0.1920647025,1
47,97,-0.1506009698,-0.1323554516,1
47,129,0.6301798224,1.33650279,1
47,161,-0.05054317415,2.249106407,1
47,193,-0.3447494507,0.9888875484,1
47,225,-0.5421528816,0.2210014015,1
47,257,-0.2137731314,-0.3562966585,1
47,289,-0.104187727,-0.2293351889,1
47,321,-0.2044312954,0.8298425674,1
47,353,-0.02162790298,1.646562815,1
47,385,-0.1292262077,1.278652668,1
47,417,-0.3488886356,1.686552525,1
47,449,1.330736876,1.326443791,1
47,481,2.327394724,1.929738522,1
47,513,1.987801552,3.731624126,1
47,545,1.656141281,11.14956856,1
47,577,0.724378109,1.981251478,1
47,609,0.4098031521,-0.2311939597,1
47,641,1.038361073,-0.271170795,1
47,673,2.883068562,0.7348088622,1
47,705,0.6832622886,1.167131186,1
47,737,-0.7561203837,-0.6820070744,1
47,769,-0.8485726118,-0.4136779308,1
47,801,-0.1497138739,-0.343539238,1
47,833,1.399087548,1.007905006,1
47,865,2.890442848,1.667399168,1
47,897,2.257673502,-1.801008701,1
47,929,-13.4489603,-11.91275024,1
47,961,2.2765131,1.16786921,1
47,993,3.826825142,3.32476902,1
47,1025,2.260596275,0.719509542,1
47,1057,1.149078727,-1.079703212,1
47,1089,1.538585663,-0.1139999628,1
47,1121,2.282810688,0.8120744824,1
47,1153,3.380403042,1.421312094,1
47,1185,2.490809202,0.4592477083,1
47,1217,0.8195874691,0.08596551418,1
47,1249,3.546777725,-5.496599197,1
47,1281,1.751425028,0.2663949728,1
47,1313,3.009085655,1.360025644,1
47,1345,4.133041382,2.498681545,1
47,1377,2.643186331,0.8776843548,1
47,1409,2.149739265,2.646929264,1
47,1441,1.956560373,2.48781395,1
47,1473,2.362578869,1.120865703,1
47,1505,2.489996672,0.003390401602,1
47,1537,0.5080578327,-0.9589617252,1
47,1569,10.29538536,13.02218533,1
47,1601,1.066637993,-0.8223098516,1
47,1633,-0.1432914734,-2.074250698,1
47,1665,0.4290964603,-2.949577808,1
47,1697,3.473115921,-1.845189571,1
47,1729,3.329086542,-0.4240316749,1
47,1761,3.738411665,-0.2548089623,1
47,1793,1.11047411,-0.2462435067,1
47,1825,1.880164146,0.6673236489,1
47,1857,1.351423621,1.149920225,1
47,1889,-0.4889036417,-0.3526663482,1
47,1921,-0.06276810169,-1.505333781,1
47,1953,0.1732997894,-0.9188230038,1
47,1985,-0.488348484,-0.183362186,1
47,2017,0.3533970118,0.2711925507,1
79,33,-0.8577206135,0.5547032952,1
79,65,-0.06304834783,0.3262330294,1
79,97,-0.06076022983,0.9780950546,1
79,129,-0.5234307051,1.388440251,1
79,161,-0.711753428,1.438503981,1
79,193,0.03761863708,0.4253251553,1
79,225,-0.3274777532,0.01539629698,1
79,257,0.7343483567,-0.7286002636,1
79,289,1.807930946,-0.7910552621,1
79,321,1.982068896,-0.2765393257,1
79,353,1.267927408,0.2254736125,1
79,385,0.1043027639,1.187896729,1
79,417,-0.9125261307,1.584582448,1
79,449,0.6416546702,1.306081176,1
79,481,1.131336451,1.372782946,1
79,513,1.104899764,2.267880917,1
79,545,0.7645101547,2.789177418,1
79,577,3.665510654,1.206737041,1
79,609,1.354035139,0.187777698,1
79,641,0.9636100531,0.1704977155,1
79,673,1.066831827,0.6728402972,1
79,705,0.5631713867,0.7351652384,1
79,737,0.4730223119,0.07657811046,1
79,769,1.216577768,-0.1125885844,1
79,801,1.759294748,1.291991949,1
79,833,2.304275751,2.07249403,1
79,865,3.097780704,1.793924093,1
79,897,3.344587088,0.7616653442,1
79,929,3.604088783,-0.4110299349,1
79,961,3.910599232,0.2949779034,1
79,993,6.810688019,2.286306858,1
79,1025,5.224040031,1.258065462,1
79,1057,1.793988705,0.2772923112,1
79,1089,1.538561821,0.7499750853,1
79,1121,2.634512424,1.161247253,1
79,1153,4.34028244,0.7736657858,1
79,1185,2.589004755,-0.1241621971,1
79,1217,2.631433725,0.463853538,1
79,1249,0.3720593452,-0.2310179472,1
79,1281,2.68770957,0.00863713026,1
79,1313,3.97699666,1.41351819,1
79,1345,3.243058205,1.353402257,1
79,1377,2.583387852,1.382001281,1
79,1409,2.435328722,1.554657459,1
79,1441,2.187479734,1.279034257,1
79,1473,2.01255846,0.6259129047,1
79,1505,1.334878445,-0.9255710244,1
79,1537,0.8316155672,-0.8651998043,1
79,1569,3.502026558,0.2472288609,1
79,1601,2.643469095,0.93600595,1
79,1633,2.600313663,2.300330162,1
79,1665,3.432692528,2.807560921,1
79,1697,1.178743839,-14.99227047,1
79,1729,2.594270229,-0.1779492795,1
79,1761,2.466931105,0.1163366884,1
79,1793,1.929342985,0.04021809995,1
79,1825,0.7753118277,0.4569233656,1
79,1857,0.6721156836,0.5686751604,1
79,1889,0.3524222374,0.04006964713,1
79,1921,0.2410961986,-0.2555021048,1
79,1953,1.218838692,0.0444920063,1
79,1985,0.8479876518,0.188578099,1
79,2017,-19.95172691,-1.222457051,1
111,33,0.1374852061,0.3825426102,1
111,65,0.4123596847,1.422387481,1
111,97,0.3118651807,1.468462825,1
111,129,0.02620915696,2.084615231,1
111,161,0.3463526666,1.682458997,1
111,193,-0.1436825544,0.560033083,1
111,225,-0.2122070193,0.3193992674,1
111,257,0.9840540886,-0.1503656209,1
111,289,2.458426714,-0.3047228456,1
111,321,3.305273056,0.1154530197,1
111,353,1.998348713,-0.2633373737,1
111,385,0.9307978749,-0.281572789,1
111,417,0.9520864487,-0.5892238617,1
111,449,0.4921028614,0.8510667682,1
111,481,0.3083924353,1.435313225,1
111,513,0.09473964572,0.9442039728,1
111,545,0.4200201333,0.7795721292,1
111,577,0.7998144031,1.651903391,1
111,609,0.6035375595,0.7958407998,1
111,641,0.5610524416,0.8127872348,1
111,673,0.9038633704,0.6715790033,1
111,705,2.161579132,0.7822745442,1
111,737,1.183764696,2.109643221,1
111,769,1.502301693,-0.4327393174,1
111,801,2.751776695,1.354794145,1
111,833,2.169152737,2.361248016,1
111,865,2.917819023,2.860656261,1
111,897,6.845509529,2.673232317,1
111,929,7.855053902,0.8205883503,1
111,961,7.724364281,0.436534524,1
111,993,6.993368149,0.9028362036,1
111,1025,3.603337288,0.813090384,1
111,1057,1.01551199,1.508193851,1
111,1089,1.464366198,1.466054916,1
111,1121,2.05248642,1.228239894,1
111,1153,1.748934746,0.05048120022,1
111,1185,2.56175518,0.06073948741,1
111,1217,2.974418163,0.9024253488,1
111,1249,1.198501587,0.3336388469,1
111,1281,0.9626786709,0.3613751531,1
111,1313,3.713757992,1.009369016,1
111,1345,3.228036165,0.9283707142,1
111,1377,2.846708298,1.485004902,1
111,1409,2.837164164,0.9156095982,1
111,1441,2.596781254,0.3581318855,1
111,1473,2.572721481,0.2074661255,1
111,1505,0.5932323933,-0.5319221616,1
111,1537,-1.294504404,-0.664373219,1
111,1569,5.045189857,0.1531942487,1
111,1601,5.63861084,-1.719671965,1
111,1633,5.777794838,4.197833538,1
111,1665,7.479384422,3.851424217,1
111,1697,3.269312382,-1.726937056,1
111,1729,1.887201548,-0.1552171409,1
111,1761,2.205016136,0.2530054748,1
111,1793,1.867004991,-0.01341596246,1
111,1825,1.350638747,-0.2913319468,1
111,1857,0.9102436304,0.1244997084,1
111,1889,0.9427610636,0.3480172455,1
111,1921,0.9652496576,0.5256676078,1
111,1953,-0.0970364809,0.5366789699,1
111,1985,0.8881917,0.4264820814,1
111,2017,0.3767863214,-0.9303870201,1
143,33,0.9368900657,0.1349143982,1
143,65,0.5799823403,0.7726043463,1
143,97,-0.1809757948,1.362411499,1
143,129,-0.3007519245,2.792796135,1
143,161,0.3688182831,2.054842949,1
143,193,0.2398763895,0.9142746925,1
143,225,0.05330967903,0.4530530274,1
143,257,0.9372205734,0.4051629007,1
143,289,2.206446409,0.8497664928,1
143,321,2.651203156,0.1488428265,1
143,353,1.414744258,-0.4272536337,1
143,385,0.6062912345,-0.3422950506,1
143,417,0.5905149579,-0.3266942501,1
143,449,0.3032732606,-0.2346984744,1
143,481,-0.6462009549,0.4880994558,1
143,513,-0.1329364181,0.8067513108,1
143,545,0.2307242751,0.4796233177,1
143,577,0.1461247802,0.6330683231,1
143,609,-0.04094618559,0.917986989,1
143,641,0.2187973261,0.9680513144,1
143,673,0.8634412289,0.8320019245,1
143,705,1.188969254,1.043562889,1
143,737,0.9889124632,2.89196372,1
143,769,3.363728046,2.833050013,1
143,801,-14.10776711,8.725069046,1
143,833,1.708871126,2.355951071,1
143,865,4.102561951,4.560303688,1
143,897,5.105583668,3.986325264,1
143,929,6.302001476,2.212693214,1
143,961,7.074624062,-0.1056981087,1
143,993,5.304802895,0.2345867157,1
143,1025,2.942380667,1.120975256,1
143,1057,1.841868401,1.660036325,1
143,1089,1.999622345,1.701079488,1
143,1121,1.646578074,1.182862043,1
143,1153,1.953974485,0.6789539456,1
143,1185,3.463679314,0.4368877411,1
143,1217,3.587996721,0.03690443933,1
143,1249,4.517409325,-0.1663765311,1
143,1281,4.978372574,-0.476652205,1
143,1313,4.366829872,1.666250825,1
143,1345,3.167685986,1.921214819,1
143,1377,3.256463051,2.056509495,1
143,1409,4.201097488,0.7901993394,1
143,1441,2.96061039,-0.1342751384,1
143,1473,2.602865219,0.1968748868,1
143,1505,1.465457201,-0.2478245497,1
143,1537,-0.3367660046,-0.3974477947,1
143,1569,2.037822485,0.2997467816,1
143,1601,4.004504681,0.5132983923,1
143,1633,4.487665176,0.5578036904,1
143,1665,5.103226662,-0.09996029735,1
143,1697,3.745497227,-0.3016151786,1
143,1729,2.993950844,0.1098902971,1
143,1761,2.821064472,0.4882995486,1
143,1793,2.485663414,-0.7452905178,1
143,1825,2.854163647,-1.908053637,1
143,1857,1.852794886,-0.1656927019,1
143,1889,1.213916063,0.6507285237,1
143,1921,1.110741377,0.6427976489,1
143,1953,1.108219862,0.09929797053,1
143,1985,1.122382522,-0.468529582,1
143,2017,0.6872683764,-0.7731300592,1
175,33,0.7614498138,0.1395871639,1
175,65,0.883892715,0.5586093068,1
175,97,0.7399331927,0.9338145256,1
175,129,-1.471244335,3.901552677,1
175,161,-1.142599583,4.274882317,1
175,193,0.1244764328,1.009393334,1
175,225,0.4753565192,0.1962886453,1
175,257,1.139088273,0.8151781559,1
175,289,1.699627876,1.046423674,1
175,321,0.8489873409,0.2801604867,1
175,353,1.010638714,-0.1496710479,1
175,385,0.8938608766,-0.6409634948,1
175,417,0.6033568382,-0.451962471,1
175,449,0.6469426155,-0.3044410944,1
175,481,-0.2248895764,-0.04581394792,1
175,513,-0.1654866636,0.8934788704,1
175,545,0.1680196375,2.215609312,1
175,577,-0.1505779922,0.742828846,1
175,609,0.2357889116,1.127292991,1
175,641,0.4187494218,1.205586195,1
175,673,0.658957541,0.8651058674,1
175,705,1.641401529,0.5539425611,1
175,737,1.601701021,0.9349865913,1
175,769,4.555446625,1.260486364,1
175,801,1.551165938,1.799044132,1
175,833,3.18276453,11.16788101,1
175,865,3.424772024,4.48591423,1
175,897,3.204205275,3.302088499,1
175,929,4.59228754,2.347423553,1
175,961,4.718585968,1.224978089,1
175,993,3.295242071,0.410405755,1
175,1025,3.630176306,0.7093829513,1
175,1057,3.465595722,0.6588523388,1
175,1089,2.439446211,1.657872438,1
175,1121,2.183988571,2.026321411,1
175,1153,2.205539465,0.7717198133,1
175,1185,2.397301435,0.5008676648,1
175,1217,3.126713514,-0.01561665535,1
175,1249,4.685028553,-0.4028025866,1
175,1281,5.05522728,0.2052682638,1
175,1313,3.916782618,1.729126096,1
175,1345,3.546966314,2.427458763,1
175,1377,3.919346094,2.856156588,1
175,1409,4.312711716,-0.6716746688,1
175,1441,3.018834352,-1.394046426,1
175,1473,2.107630491,-0.05375540257,1
175,1505,1.592579365,0.7205543518,1
175,1537,1.069459438,1.046545982,1
175,1569,2.99668479,0.5303922892,1
175,1601,4.446623802,0.9782013297,1
175,1633,4.612661839,0.3532628417,1
175,1665,4.424637318,0.3045686483,1
175,1697,3.983146191,0.6289119124,1
175,1729,4.146595001,-0.990223825,1
175,1761,4.073622704,-1.084589005,1
175,1793,2.469955683,-1.941342592,1
175,1825,4.276175976,-3.405133247,1
175,1857,3.492574692,-2.198581934,1
175,1889,1.5784266,0.241393894,1
175,1921,1.485417485,0.2336214185,1
175,1953,1.519631982,-0.3361527026,1
175,1985,1.50622046,-0.4144839346,1
175,2017,2.632489681,-0.1386778951,1
207,33,0.4603394866,0.1973562241,1
207,65,0.731924057,0.2301257253,1
207,97,0.5206861496,0.3788042068,1
207,129,0.2902443409,2.444928169,1
207,161,-0.0437643528,4.260846615,1
207,193,-0.369505167,0.8844707012,1
207,225,0.2685115337,0.2223477364,1
207,257,0.6927741766,1.100099564,1
207,289,0.4697597027,2.075683117,1
207,321,-1.320332646,1.062021017,1
207,353,0.414215982,-0.05510869622,1
207,385,1.262891054,-0.7993617058,1
207,417,9.587528229,6.964416027,1
207,449,6.153092861,5.767326355,1
207,481,0.9614497423,0.2367507219,1
207,513,1.02758956,0.8861836195,1
207,545,0.6324109435,1.93841207,1
207,577,0.1335856915,1.115435004,1
207,609,0.4838912785,1.200624466,1
