PIVlab, ASCII chart output - 07-Feb-2024
FRAME: 9, filenames: A:[9]MAX_TimeSrs026_TgUtrmcherry_Control.avi & B:[10]MAX_TimeSrs026_TgUtrmcherry_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,2.329618931,11.3793745,1
47,65,2.285572052,-1.17629981,1
47,97,0.800168395,-3.914166927,1
47,129,-0.1364228725,-0.5621843338,1
47,161,-0.1565858126,2.538133383,1
47,193,-0.3468070626,1.28903532,1
47,225,0.389451921,0.3352534771,1
47,257,-0.136598587,0.04795432091,1
47,289,-0.123026371,0.5703206062,1
47,321,1.899629354,0.7681362629,1
47,353,2.441347599,0.8071004152,1
47,385,-7.78746891,7.556462765,1
47,417,21.81702614,-1.48395288,1
47,449,1.198864937,1.341048479,1
47,481,0.7893164158,0.9921908379,1
47,513,0.02765822411,1.278570294,1
47,545,-0.4931088686,0.9477998018,1
47,577,-0.01481923461,0.005307912827,1
47,609,-9.415525436,12.32449341,1
47,641,4.090168476,1.944189548,1
47,673,1.979590297,-2.470034599,1
47,705,0.6483333111,-0.6311407089,1
47,737,0.3771628141,0.9339290857,1
47,769,1.013778687,0.74472332,1
47,801,0.522921741,0.6359524727,1
47,833,-0.338617146,0.3952006698,1
47,865,0.1210425496,0.6717450023,1
47,897,0.6123570204,1.094190836,1
47,929,6.986706257,-1.174331188,1
47,961,0.7827358246,1.953343868,1
47,993,0.8476986885,2.267444611,1
47,1025,0.6638263464,1.36932075,1
47,1057,0.5504150391,1.178185225,1
47,1089,0.8983745575,2.311462879,1
47,1121,1.200200915,3.150979996,1
47,1153,1.037224293,3.728705883,1
47,1185,2.076412678,3.394461155,1
47,1217,3.893697739,0.6714320183,1
47,1249,2.916772127,1.37733674,1
47,1281,1.584448457,0.6524429321,1
47,1313,1.70673275,-0.1464481354,1
47,1345,1.588122368,1.720408678,1
47,1377,2.152672529,2.735210896,1
47,1409,2.176895618,2.05196023,1
47,1441,1.282726288,1.17839098,1
47,1473,1.184374809,-0.06674098969,1
47,1505,1.835831404,-0.1325523853,1
47,1537,3.374604225,-0.8342599869,1
47,1569,2.976775408,-0.6088688374,1
47,1601,1.059908032,-0.3954896629,1
47,1633,0.4162003994,0.2687526643,1
47,1665,0.7676290274,0.1502482891,1
47,1697,1.774980068,-1.013244033,1
47,1729,1.361996174,-0.8184714317,1
47,1761,1.315324783,-0.8422845602,1
47,1793,0.8186700344,-1.272966862,1
47,1825,0.1643352509,0.002534508705,1
47,1857,-0.3800208569,0.4121819735,1
47,1889,-0.200273633,-0.4820616245,1
47,1921,0.8823190331,-0.8461410403,1
47,1953,0.8079170585,-1.29093194,1
47,1985,-0.3004455566,-0.3731921315,1
47,2017,-2.351398468,0.2998023033,1
79,33,0.599101603,2.228775263,1
79,65,0.9315678477,-0.8148308396,1
79,97,0.6234346628,-0.6124289036,1
79,129,-0.09660637379,1.740168571,1
79,161,-0.6935396194,1.872860193,1
79,193,-1.426130652,0.0541998148,1
79,225,-0.5454523563,0.1936490536,1
79,257,-0.6089936495,0.2232993841,1
79,289,-0.7596573234,0.764190197,1
79,321,-0.6550452113,1.07146728,1
79,353,-0.7849872112,0.579574585,1
79,385,-0.6937963963,0.8470808268,1
79,417,-0.4586994946,2.029249907,1
79,449,-0.2700458765,0.9098700285,1
79,481,0.2844588459,0.4895734191,1
79,513,0.1401153505,0.7037786841,1
79,545,-0.8799879551,0.4535142779,1
79,577,-1.549988389,-1.804133415,1
79,609,0.2744017243,-1.389761567,1
79,641,2.317223072,1.008170128,1
79,673,0.4848617613,-0.02512705326,1
79,705,-0.2622433901,-0.3698845506,1
79,737,0.1997529715,-3.524903297,1
79,769,-0.1573017091,-4.126698494,1
79,801,0.4468097091,0.733123064,1
79,833,1.377979755,0.8742446303,1
79,865,1.254120588,0.8038488626,1
79,897,2.850798368,0.5810340047,1
79,929,0.8057872057,0.06427907944,1
79,961,-0.2409411669,0.729544878,1
79,993,0.1952992678,0.9721639156,1
79,1025,0.6847430468,0.02953207493,1
79,1057,0.4387434721,0.1809046268,1
79,1089,0.8030529022,1.277987957,1
79,1121,1.633940339,2.356969357,1
79,1153,2.089085579,2.892935514,1
79,1185,2.705580711,2.694401979,1
79,1217,4.837482929,5.522904873,1
79,1249,2.920696735,0.751835227,1
79,1281,3.161593676,1.458357573,1
79,1313,3.272426128,1.081445217,1
79,1345,3.100790739,2.304944754,1
79,1377,3.692330837,2.797100067,1
79,1409,2.893888474,2.040677309,1
79,1441,2.358683586,1.536032438,1
79,1473,2.826645613,1.129378915,1
79,1505,3.902196884,0.6792291403,1
79,1537,4.601642132,0.5839933753,1
79,1569,4.027388573,0.6586011648,1
79,1601,2.663377523,-0.3603929877,1
79,1633,1.999646187,-0.01052038372,1
79,1665,1.641327858,0.5517613292,1
79,1697,1.67261529,0.7471647263,1
79,1729,2.699364901,-0.6549829841,1
79,1761,2.637281895,-1.971155763,1
79,1793,2.150188923,-0.7890176773,1
79,1825,1.634956002,-0.001169264317,1
79,1857,0.7579013109,0.6145306826,1
79,1889,0.2149560452,-0.006990283728,1
79,1921,1.216688156,-0.3171592355,1
79,1953,1.280469656,-0.5528678894,1
79,1985,0.7204552293,-0.4707980156,1
79,2017,18.45797348,-0.927819252,1
111,33,9.756382942,0.4012989998,1
111,65,1.763577819,-10.76490593,1
111,97,-0.5431737304,0.3604656458,1
111,129,-0.4251082838,1.656978488,1
111,161,-0.498332113,1.463735342,1
111,193,-0.289893508,0.3329238892,1
111,225,-0.2457282394,0.3162998259,1
111,257,-0.3507670164,0.4857696295,1
111,289,-0.7501049042,0.6732174158,1
111,321,-1.2013731,0.8703664541,1
111,353,-1.209903002,1.04826045,1
111,385,-1.111054659,1.007523894,1
111,417,-1.260744214,1.576564074,1
111,449,-1.21220088,0.5988591313,1
111,481,-5.563462257,2.903923512,1
111,513,-5.68211174,2.406714916,1
111,545,-0.708062768,0.5818763971,1
111,577,-2.454703808,-1.724151969,1
111,609,-0.6962246299,-0.9108361006,1
111,641,-0.2629334927,-0.3110817075,1
111,673,-0.5433133841,0.1958107352,1
111,705,-0.3158926666,0.1412737817,1
111,737,-0.1558716893,0.08518025279,1
111,769,-0.9855858088,1.822420835,1
111,801,-1.483082771,2.711206436,1
111,833,-1.217572451,1.336689949,1
111,865,-7.54257679,7.686166286,1
111,897,0.05993653834,0.2262435555,1
111,929,-1.251346231,-1.154510736,1
111,961,-0.9540438652,0.3503322899,1
111,993,0.0461461544,0.4177209139,1
111,1025,0.9548048973,0.4604260325,1
111,1057,0.9177956581,0.7257031202,1
111,1089,0.9630293846,0.3852860928,1
111,1121,1.999340892,1.306096077,1
111,1153,3.290377855,2.321898699,1
111,1185,3.166284323,2.580859184,1
111,1217,3.288863897,2.479929447,1
111,1249,4.313096046,1.789109468,1
111,1281,5.866405964,1.857676029,1
111,1313,3.658127308,2.641878605,1
111,1345,3.501440525,3.115062952,1
111,1377,3.735865355,2.39538908,1
111,1409,3.116093159,2.076527596,1
111,1441,2.846795559,1.782586455,1
111,1473,3.176105499,1.779642701,1
111,1505,3.480425358,1.461603284,1
111,1537,3.876992941,0.6155562401,1
111,1569,3.816754818,0.3015165925,1
111,1601,2.592036724,0.4420472682,1
111,1633,1.788309574,0.4070392847,1
111,1665,0.8308010101,0.5692895055,1
111,1697,1.100057006,1.22826004,1
111,1729,1.965078592,0.02809751034,1
111,1761,2.537009001,-1.540618181,1
111,1793,3.092307329,-0.6729482412,1
111,1825,2.999886274,-0.527857542,1
111,1857,1.504707813,0.04415512085,1
111,1889,1.131641865,-0.1389581561,1
111,1921,1.257167578,-0.02124360204,1
111,1953,1.242830157,-0.3822605312,1
111,1985,1.082170963,-0.428547442,1
111,2017,0.7725687027,-0.4305922985,1
143,33,-0.4721058607,0.002397060394,1
143,65,18.4024601,-2.144809008,1
143,97,-0.1995333135,0.9724507332,1
143,129,-0.2259748578,2.077870846,1
143,161,0.3472969234,2.138200283,1
143,193,0.4737151861,1.194419146,1
