 ,Mean,Slice,MinThr,MaxThr,microns
1,174.812,1,-3.403E38,3.4e38,0.000
2,179.520,2,-3.403E38,3.4e38,1.045
3,174.439,3,-3.403E38,3.4e38,2.090
4,173.859,4,-3.403E38,3.4e38,3.134
5,173.782,5,-3.403E38,3.4e38,4.179
6,173.779,6,-3.403E38,3.4e38,5.224
7,174.573,7,-3.403E38,3.4e38,6.269
8,174.858,8,-3.403E38,3.4e38,7.313
9,176.614,9,-3.403E38,3.4e38,8.358
10,176.660,10,-3.403E38,3.4e38,9.403
11,176.587,11,-3.403E38,3.4e38,10.448
12,176.512,12,-3.403E38,3.4e38,11.492
13,177.291,13,-3.403E38,3.4e38,12.537
14,178.542,14,-3.403E38,3.4e38,13.582
15,178.639,15,-3.403E38,3.4e38,14.627
16,178.748,16,-3.403E38,3.4e38,15.671
17,178.689,17,-3.403E38,3.4e38,16.716
18,178.043,18,-3.403E38,3.4e38,17.761
19,180.619,19,-3.403E38,3.4e38,18.806
20,181.060,20,-3.403E38,3.4e38,19.850
21,182.106,21,-3.403E38,3.4e38,20.895
22,182.862,22,-3.403E38,3.4e38,21.940
23,185.404,23,-3.403E38,3.4e38,22.985
24,185.926,24,-3.403E38,3.4e38,24.029
25,188.044,25,-3.403E38,3.4e38,25.074
26,189.358,26,-3.403E38,3.4e38,26.119
27,192.764,27,-3.403E38,3.4e38,27.164
28,191.340,28,-3.403E38,3.4e38,28.208
29,192.972,29,-3.403E38,3.4e38,29.253
30,191.757,30,-3.403E38,3.4e38,30.298
31,192.958,31,-3.403E38,3.4e38,31.343
32,192.822,32,-3.403E38,3.4e38,32.387
33,194.957,33,-3.403E38,3.4e38,33.432
34,195.591,34,-3.403E38,3.4e38,34.477
35,196.519,35,-3.403E38,3.4e38,35.522
36,194.917,36,-3.403E38,3.4e38,36.566
37,196.208,37,-3.403E38,3.4e38,37.611
38,197.027,38,-3.403E38,3.4e38,38.656
39,198.035,39,-3.403E38,3.4e38,39.701
40,198.223,40,-3.403E38,3.4e38,40.745
41,192.927,41,-3.403E38,3.4e38,41.790
42,190.234,42,-3.403E38,3.4e38,42.835
43,187.451,43,-3.403E38,3.4e38,43.880
44,188.159,44,-3.403E38,3.4e38,44.924
45,189.680,45,-3.403E38,3.4e38,45.969
46,186.569,46,-3.403E38,3.4e38,47.014
