 ,Mean,Slice,MinThr,MaxThr,microns
1,301.81,1,-3.40E+38,3.40E+38,0
2,256.453,2,-3.40E+38,3.40E+38,1
3,331.423,3,-3.40E+38,3.40E+38,2
4,329.526,4,-3.40E+38,3.40E+38,3
5,311.411,5,-3.40E+38,3.40E+38,4
6,215.968,6,-3.40E+38,3.40E+38,5
7,0,7,-3.40E+38,3.40E+38,6
8,0,8,-3.40E+38,3.40E+38,6.999
9,0,9,-3.40E+38,3.40E+38,7.999
10,0,10,-3.40E+38,3.40E+38,8.999
11,345.561,11,-3.40E+38,3.40E+38,9.999
12,347.025,12,-3.40E+38,3.40E+38,10.999
13,309.693,13,-3.40E+38,3.40E+38,11.999
14,341.108,14,-3.40E+38,3.40E+38,12.999
15,343.135,15,-3.40E+38,3.40E+38,13.999
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
