 ,Mean,Slice,MinThr,MaxThr,microns
1,419.305,1,-3.40E+38,3.40E+38,0
2,364.18,2,-3.40E+38,3.40E+38,0.985
3,363.008,3,-3.40E+38,3.40E+38,1.97
4,273.176,4,-3.40E+38,3.40E+38,2.955
5,231.119,5,-3.40E+38,3.40E+38,3.941
6,163.094,6,-3.40E+38,3.40E+38,4.926
7,401.177,7,-3.40E+38,3.40E+38,5.911
8,395.688,8,-3.40E+38,3.40E+38,6.896
9,392.622,9,-3.40E+38,3.40E+38,7.881
10,389.24,10,-3.40E+38,3.40E+38,8.866
11,387.644,11,-3.40E+38,3.40E+38,9.851
12,386.025,12,-3.40E+38,3.40E+38,10.837
13,369.727,13,-3.40E+38,3.40E+38,11.822
14,389.365,14,-3.40E+38,3.40E+38,12.807
15,268.276,15,-3.40E+38,3.40E+38,13.792
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
