 ,Mean,Slice,MinThr,MaxThr,microns
1,408.387,1,60.471,1.00E+30,0
2,406.954,2,60.471,1.00E+30,1.001
3,401.932,3,60.471,1.00E+30,2.003
4,395.578,4,60.471,1.00E+30,3.004
5,388.117,5,60.471,1.00E+30,4.005
6,384.041,6,60.471,1.00E+30,5.007
7,374.558,7,60.471,1.00E+30,6.008
8,377.765,8,60.471,1.00E+30,7.01
9,382.117,9,60.471,1.00E+30,8.011
10,385.579,10,60.471,1.00E+30,9.012
11,387.238,11,60.471,1.00E+30,10.014
12,389.612,12,60.471,1.00E+30,11.015
13,384.401,13,60.471,1.00E+30,12.016
14,372.424,14,60.471,1.00E+30,13.018
15,326.354,15,60.471,1.00E+30,14.019
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
