 ,Mean,Slice,MinThr,MaxThr,microns
1,375.544,1,45.427,1.00E+30,0
2,385.912,2,45.427,1.00E+30,1.226
3,384.652,3,45.427,1.00E+30,2.452
4,384.026,4,45.427,1.00E+30,3.678
5,372.536,5,45.427,1.00E+30,4.904
6,362.518,6,45.427,1.00E+30,6.13
7,379.373,7,45.427,1.00E+30,7.356
8,376.282,8,45.427,1.00E+30,8.582
9,378.037,9,45.427,1.00E+30,9.808
10,379.216,10,45.427,1.00E+30,11.034
11,376.789,11,45.427,1.00E+30,12.259
12,387.01,12,45.427,1.00E+30,13.485
13,390.982,13,45.427,1.00E+30,14.711
14,391.937,14,45.427,1.00E+30,15.937
15,389.324,15,45.427,1.00E+30,17.163
