 ,Mean,Slice,MinThr,MaxThr,microns
1,300.707,1,-3.40E+38,3.40E+38,0
2,303.372,2,-3.40E+38,3.40E+38,0.961
3,306.007,3,-3.40E+38,3.40E+38,1.922
4,305.696,4,-3.40E+38,3.40E+38,2.882
5,308.394,5,-3.40E+38,3.40E+38,3.843
6,291.952,6,-3.40E+38,3.40E+38,4.804
7,317.175,7,-3.40E+38,3.40E+38,5.765
8,320.404,8,-3.40E+38,3.40E+38,6.726
9,323.305,9,-3.40E+38,3.40E+38,7.687
10,331.52,10,-3.40E+38,3.40E+38,8.647
11,332.112,11,-3.40E+38,3.40E+38,9.608
12,346.195,12,-3.40E+38,3.40E+38,10.569
13,357.755,13,-3.40E+38,3.40E+38,11.53
14,366.11,14,-3.40E+38,3.40E+38,12.491
15,372.07,15,-3.40E+38,3.40E+38,13.452
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
