 ,Mean,Slice,MinThr,MaxThr,microns
1,469.8,1,135.059,1.00E+30,0
2,467.632,2,135.059,1.00E+30,1.022
3,473.676,3,135.059,1.00E+30,2.044
4,476.871,4,135.059,1.00E+30,3.066
5,477.587,5,135.059,1.00E+30,4.087
6,476.023,6,135.059,1.00E+30,5.109
7,476.349,7,135.059,1.00E+30,6.131
8,476.541,8,135.059,1.00E+30,7.153
9,462.695,9,135.059,1.00E+30,8.175
10,341.009,10,135.059,1.00E+30,9.197
11,211.097,11,135.059,1.00E+30,10.219
12,204.139,12,135.059,1.00E+30,11.24
13,187.26,13,135.059,1.00E+30,12.262
14,180.567,14,135.059,1.00E+30,13.284
15,175.706,15,135.059,1.00E+30,14.306
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
