x - $F_{YSL} = $0.1425μN,y - $F_{YSL} = $0.1425μN,x - _child1,y - _child1,x - _child2,y - _child2,x - $F_{YSL} = $0.285μN,y - $F_{YSL} = $0.285μN,x - _child4,y - _child4,x - _child5,y - _child5,x - $F_{YSL} = $0.57μN,y - $F_{YSL} = $0.57μN,x - _child7,y - _child7,x - _child8,y - _child8,x - $F_{YSL} = $1.14μN,y - $F_{YSL} = $1.14μN,x - _child10,y - _child10,x - _child11,y - _child11
-150.0,0.0,-150.0,2.1031443620981296,-150.0,0.0,-150.0,0.0,-150.0,4.206288724196259,-150.0,0.0,-150.0,0.0,-150.0,8.412577448392518,-150.0,0.0,-150.0,0.0,-150.0,16.825154896785037,-150.0,0.0
-149.51079024102978,0.024267267390943204,-147.29458917835672,2.1031443620981296,-147.29458917835672,0.02796609420226045,-149.02051616942225,0.04853453478186154,-147.29458917835672,4.206288724196259,-147.29458917835672,0.025266366540586095,-148.03677508829477,0.09706906956373729,-147.29458917835672,8.412577448392518,-147.29458917835672,0.02641590018374712,-146.05652117439075,0.19413813912745326,-147.29458917835672,16.825154896785037,-147.29458917835672,0.029186833966927922
-148.83999850913872,0.049602222161272636,-144.58917835671343,2.1031443620981296,-144.58917835671343,0.0559321884045209,-147.6728100184114,0.09920444432253817,-144.58917835671343,4.206288724196259,-144.58917835671343,0.05053273308117219,-145.31687203735845,0.19840888864506567,-144.58917835671343,8.412577448392518,-144.58917835671343,0.05283180036749424,-140.518752076859,0.3968177772901278,-144.58917835671343,16.825154896785037,-144.58917835671343,0.058373667933855844
-148.16249220459432,0.0749371769317122,-141.88376753507015,2.1031443620981296,-141.88376753507015,0.08389828260678135,-146.30316535442586,0.1498743538634173,-141.88376753507015,4.206288724196259,-141.88376753507015,0.07579909962175829,-142.5190544898001,0.29974870772681683,-141.88376753507015,8.412577448392518,-141.88376753507015,0.07924770055124136,-134.68900410339342,0.5994974154536372,-141.88376753507015,16.825154896785037,-141.88376753507015,0.08756050190078377
-147.47903412699117,0.10027213170214822,-139.17835671342687,2.1031443620981296,-139.17835671342687,0.1118643768090418,-144.9097787455905,0.20054426340429288,-139.17835671342687,4.206288724196259,-139.17835671342687,0.10106546616234438,-139.62639945761336,0.4010885268085751,-139.17835671342687,8.412577448392518,-139.17835671342687,0.10566360073498848,-128.48016678095613,0.8021770536171466,-139.17835671342687,16.825154896785037,-139.17835671342687,0.11674733586771169
-146.78799270694947,0.12560708647258778,-136.47294589178358,2.1031443620981296,-136.47294589178358,0.13983047101130225,-143.48605962967878,0.25121417294516846,-136.47294589178358,4.206288724196259,-136.47294589178358,0.12633183270293047,-136.61241612247653,0.5024283458903369,-136.47294589178358,8.412577448392518,-136.47294589178358,0.1320795009187356,-121.78601969742883,1.004856691780656,-136.47294589178358,16.825154896785037,-136.47294589178358,0.1459341698346396
-146.08770466900663,0.1509420412430238,-133.7675350701403,2.1031443620981296,-133.7675350701403,0.1677965652135627,-142.02535405358583,0.30188408248604404,-133.7675350701403,4.206288724196259,-133.7675350701403,0.15159819924351658,-133.4504869694619,0.6037681649720845,-133.7675350701403,8.412577448392518,-133.7675350701403,0.15849540110248272,-114.50008938808412,1.207536329944169,-133.7675350701403,16.825154896785037,-133.7675350701403,0.17512100380156753
-145.3765063178499,0.17627699601346336,-131.06212424849699,2.1031443620981296,-131.06212424849699,0.19576265941582344,-140.52100722478875,0.3525539920269196,-131.06212424849699,4.206288724196259,-131.06212424849699,0.17686456578410292,-130.11399280593304,0.7051079840538392,-131.06212424849699,8.412577448392518,-131.06212424849699,0.18491130128623012,-106.51589903728794,1.410215968107675,-131.06212424849699,16.825154896785037,-131.06212424849699,0.20430783776849576
-144.652733952607,0.20161195078389937,-128.3567134268537,2.1031443620981296,-128.3567134268537,0.2237287536180839,-138.96636433964903,0.40322390156779875,-128.3567134268537,4.206288724196259,-128.3567134268537,0.20213093232468904,-126.57631441703771,0.8064478031355904,-128.3567134268537,8.412577448392518,-128.3567134268537,0.21132720146997724,-97.72697178503373,1.6128956062711843,-128.3567134268537,16.825154896785037,-128.3567134268537,0.23349467173542368
-143.91472387233208,0.22694690555433894,-125.65130260521042,2.1031443620981296,-125.65130260521042,0.25169484782034435,-137.354770594381,0.4538938111086743,-125.65130260521042,4.206288724196259,-125.65130260521042,0.22739729886527513,-122.8108325876293,0.9077876222173487,-125.65130260521042,8.412577448392518,-125.65130260521042,0.23774310165372436,-88.02683077072726,1.8155752444346973,-125.65130260521042,16.825154896785037,-125.65130260521042,0.2626815057023516
