PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 4, filenames: A:[4]MAX_TimeSrs019_TgUtrmcherry_Control.avi & B:[5]MAX_TimeSrs019_TgUtrmcherry_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,1.036916971,16.45884895,1
47,65,0.2736387253,-1.303263664,1
47,97,-1.966216087,-13.60709381,1
47,129,-8.329137802,-26.62076187,1
47,161,-1.923896074,-15.62708855,1
47,193,-1.578153133,-15.79898453,1
47,225,-0.6024876833,-14.450284,1
47,257,-0.2604891062,-12.59763241,1
47,289,-0.5364450216,-11.08949089,1
47,321,0.0889223814,-12.23494911,1
47,353,1.142788649,-12.61171246,1
47,385,0.6934937835,-10.07172394,1
47,417,-1.261965275,-10.83100033,1
47,449,-2.628126144,-11.62587643,1
47,481,-2.024457455,-9.964538574,1
47,513,-0.08030605316,-11.38587666,1
47,545,2.398350239,-11.29827213,1
47,577,3.661265135,-13.70217896,1
47,609,2.599780798,-14.67760563,1
47,641,-2.86081481,-26.25814438,1
47,673,-0.420702219,-15.54347801,1
47,705,1.358731985,-16.82744789,1
47,737,3.71330142,-16.24175835,1
47,769,3.886761665,-15.18070984,1
47,801,2.468477726,-16.41534805,1
47,833,26.03875732,-10.12262154,1
47,865,0.556930542,-0.1191711426,1
47,897,3.544102669,-15.05943108,1
47,929,2.161328793,-16.92486763,1
47,961,2.505520821,-16.62420082,1
47,993,1.922122955,-15.8321209,1
47,1025,1.833542585,-14.82130814,1
47,1057,0.8347594738,-15.21992302,1
47,1089,1.214745998,-14.8217392,1
47,1121,0.512357235,-13.21915531,1
47,1153,-0.3257308006,-12.70598793,1
47,1185,1.14949584,-14.59527969,1
47,1217,3.224584103,-15.71640396,1
47,1249,3.334486961,-17.31529617,1
47,1281,3.390127659,-17.14061737,1
47,1313,1.214998722,-11.95812798,1
47,1345,-0.5304638147,-10.3806076,1
47,1377,-0.1015373468,-11.78634071,1
47,1409,0.4550435543,-10.85244083,1
47,1441,-0.4647737741,-7.744282722,1
47,1473,-1.810522318,-8.491436005,1
47,1505,-0.89791888,-10.57440567,1
47,1537,-1.037018538,-11.29575729,1
47,1569,-2.460090876,-9.956712723,1
47,1601,-2.085793734,-6.436530113,1
47,1633,-1.574302673,-5.06039381,1
47,1665,-0.8370712996,-4.464929104,1
47,1697,-0.6228103638,-4.648530006,1
47,1729,-1.823454142,-3.692961693,1
47,1761,-6.663455009,-5.887701988,1
47,1793,-2.235565901,-1.822750568,1
47,1825,-2.564148664,-0.5614097118,1
47,1857,-1.160235882,-0.8527412415,1
47,1889,-3.926375389,-3.388829231,1
47,1921,-4.533377647,-0.4935040474,1
47,1953,-4.078145027,3.113748074,1
47,1985,-3.988541126,0.1985449493,1
47,2017,-5.412380219,-9.117456436,1
79,33,0.7394906282,2.199713707,1
79,65,-0.5244849324,-14.45131969,1
79,97,-0.8728253841,-13.05187988,1
79,129,-4.515470028,-14.65584278,1
79,161,-4.768873692,-18.46033859,1
79,193,-0.8733157516,-15.35992336,1
79,225,-0.1428697109,-14.37306023,1
79,257,-0.005878716707,-13.88114834,1
79,289,-0.4552138448,-12.73922443,1
79,321,0.2667235136,-12.62298584,1
79,353,0.9220604897,-13.11839581,1
79,385,1.064612985,-11.60767174,1
79,417,0.4441506267,-11.30031681,1
79,449,-0.3066628575,-11.74248505,1
79,481,-0.3499862552,-11.67036438,1
79,513,0.1114599705,-12.03107548,1
79,545,1.110938787,-12.63626003,1
79,577,1.90571475,-12.38698292,1
79,609,3.106191635,-12.53907013,1
79,641,1.994862318,-13.4600029,1
79,673,1.604819298,-14.89928818,1
79,705,2.326408386,-15.92622757,1
79,737,3.743678093,-16.03101349,1
79,769,3.68083477,-15.22970581,1
79,801,3.989430904,-15.82568932,1
79,833,2.919412136,-15.80929279,1
79,865,5.393592358,-16.52258682,1
79,897,4.575743198,-17.17492485,1
79,929,3.44756937,-16.00935555,1
79,961,2.674037933,-15.48500633,1
79,993,3.071455717,-15.75402832,1
