PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 8, filenames: A:[8]MAX_TimeSrs019_TgUtrmcherry_Control.avi & B:[9]MAX_TimeSrs019_TgUtrmcherry_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,0.3673019409,24.24271774,1
47,65,-0.1921191216,-1.948737144,1
47,97,0.5746695995,-6.903270245,1
47,129,1.513229966,-0.6949338913,1
47,161,1.079637408,-1.110131264,1
47,193,0.96109128,-0.7412214279,1
47,225,0.229839921,-3.892583609,1
47,257,2.251070261,-5.192355156,1
47,289,0.6517598629,-5.453735352,1
47,321,0.2788465023,-4.613530159,1
47,353,0.6922292709,-2.479769468,1
47,385,1.616164207,-0.8418123722,1
47,417,2.441617727,-2.576518059,1
47,449,2.003338814,-4.618796349,1
47,481,2.207502365,-4.532627106,1
47,513,3.201167822,-5.042951107,1
47,545,3.298418522,-4.112183571,1
47,577,2.896362305,-2.863853216,1
47,609,2.213659525,-5.222944736,1
47,641,2.439156055,-4.815714836,1
47,673,1.036696911,-0.7859683037,1
47,705,1.638097525,-0.591211319,1
47,737,-0.2329695225,-0.6199367046,1
47,769,-0.2527060509,-0.6819541454,1
47,801,0.3926101923,-2.58398056,1
47,833,1.031559825,-4.821121216,1
47,865,1.823508978,-5.082400799,1
47,897,3.804043293,-4.940477371,1
47,929,3.747918129,-5.425940514,1
47,961,1.670793056,-5.194829464,1
47,993,3.786521912,-6.461499691,1
47,1025,3.270675659,-6.13755846,1
47,1057,1.148355722,-6.460310936,1
47,1089,0.6051681042,-6.817776203,1
47,1121,0.7231154442,-7.559671879,1
47,1153,0.9108197689,-7.575997829,1
47,1185,1.310419321,-6.513275623,1
47,1217,4.681282997,-6.251542091,1
47,1249,3.912052631,-8.477229118,1
47,1281,2.203150749,-7.433301926,1
47,1313,2.815270185,-6.080431938,1
47,1345,2.837305069,-5.112535477,1
47,1377,3.154108047,-5.740332603,1
47,1409,4.243407249,-5.83489275,1
47,1441,4.38034153,-5.616985798,1
47,1473,3.636903524,-6.021923065,1
47,1505,2.292408943,-5.517503738,1
47,1537,1.877666235,-5.051839828,1
47,1569,3.460794926,-4.410782814,1
47,1601,3.269399643,-4.823984146,1
47,1633,3.323857307,-4.997092247,1
47,1665,3.186694145,-4.632027626,1
47,1697,2.409244537,-3.717552185,1
47,1729,1.436897516,-3.16619873,1
47,1761,0.8794259429,-1.426999569,1
47,1793,0.1868729591,-0.2679934502,1
47,1825,0.4398880005,-0.2822284698,1
47,1857,0.325876236,0.1386295557,1
47,1889,0.7868051529,-0.5132982731,1
47,1921,0.5303580165,-0.4159050584,1
47,1953,0.7866494656,-0.5488559008,1
47,1985,0.860108614,-0.8930132389,1
47,2017,0.08554708958,-2.562288284,1
79,33,3.1372118,9.86141777,1
79,65,0.5752265453,-1.230320334,1
79,97,2.689353943,-2.335889339,1
79,129,3.893983364,-4.147464275,1
79,161,2.40064621,-5.2035532,1
79,193,1.245056272,-1.305702686,1
79,225,-2.059753895,-4.552039146,1
79,257,2.251155138,-4.444004536,1
79,289,2.314895153,-4.298081875,1
79,321,0.7756112814,-3.702828646,1
79,353,1.848333836,-3.018636703,1
79,385,2.68994236,-2.535661221,1
79,417,2.878782034,-2.816388607,1
79,449,2.477402687,-3.368729353,1
79,481,2.273050547,-3.366986752,1
79,513,2.739186287,-3.297616243,1
79,545,2.682133198,-3.795442581,1
79,577,2.364614248,-4.564496994,1
79,609,2.779422998,-3.428489685,1
79,641,2.086776733,-4.513311386,1
79,673,1.539369106,-4.160292625,1
