PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 1, filenames: A:[1]MAX_TimeSrs019_TgUtrmcherry_Control.avi & B:[2]MAX_TimeSrs019_TgUtrmcherry_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,55.13181305,77.02606201,1
47,65,52.31043243,56.74799347,1
47,97,53.0058136,55.68116379,1
47,129,57.2961235,56.60161972,1
47,161,56.39077759,59.89957047,1
47,193,57.11711884,57.5382843,1
47,225,59.34825134,57.87879181,1
47,257,61.54671097,57.45373154,1
47,289,64.15164185,57.079216,1
47,321,65.93539429,57.38432312,1
47,353,66.27294922,55.43804932,1
47,385,65.52256012,54.93832397,1
47,417,64.47505188,57.58101654,1
47,449,65.04367065,54.20705795,1
47,481,70.37236023,52.79595184,1
47,513,69.50857544,56.53704071,1
47,545,70.96263123,54.06249619,1
47,577,72.91591644,51.92952347,1
47,609,62.55223846,35.9067688,1
47,641,73.02989197,56.05571747,1
47,673,72.27070618,56.28303146,1
47,705,77.58969879,48.71556091,1
47,737,82.45948792,45.85115814,1
47,769,86.18891907,44.2557869,1
47,801,88.70327759,43.9125824,1
47,833,91.57112122,40.68767166,1
47,865,94.30082703,34.12360001,1
47,897,93.79966736,29.08403397,1
47,929,86.25889587,28.79978943,1
47,961,98.3522644,33.88359451,1
47,993,85.15332031,22.66695404,1
47,1025,86.58625793,18.24683571,1
47,1057,85.64871979,17.59716034,1
47,1089,83.76609802,15.03581047,1
47,1121,82.82567596,8.817710876,1
47,1153,87.17715454,2.827995777,1
47,1185,90.75858307,-1.11860013,1
47,1217,91.85150909,-3.283040524,1
47,1249,92.86698914,-4.2212677,1
47,1281,92.36251831,-7.332979202,1
47,1313,91.71870422,-10.07639313,1
47,1345,90.99311829,-23.06446648,1
47,1377,89.99880981,-24.91724014,1
47,1409,87.60726929,-28.86714363,1
47,1441,84.2323761,-35.05704117,1
47,1473,84.3730545,-41.70959091,1
47,1505,85.79788208,-69.75213623,1
47,1537,86.6489563,-42.2525177,1
47,1569,93.99751282,-59.20981598,1
47,1601,84.4717865,-52.48827362,1
47,1633,89.03930664,-49.70741272,1
47,1665,89.8245163,-17.80193329,1
47,1697,100.0989075,-46.41360855,1
47,1729,89.44451904,-62.69051743,1
47,1761,87.66917419,-68.45410156,1
47,1793,89.94060516,-77.57837677,1
47,1825,96.53112793,-74.36448669,1
47,1857,95.74311829,-77.60247803,1
47,1889,59.34325409,-94.71593475,1
47,1921,76.12852478,-99.42845154,1
47,1953,70.41552734,-80.22341919,1
47,1985,76.72633362,-95.16597748,1
47,2017,77.44219208,-117.2315826,1
79,33,55.44145966,72.98989105,1
79,65,54.96638489,57.33943176,1
79,97,57.75239563,56.80316925,1
79,129,60.15244675,56.89316559,1
79,161,60.46682358,57.11557007,1
79,193,59.2140007,57.62693787,1
79,225,60.37682724,57.48441315,1
79,257,60.95557785,56.67173767,1
