PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 10, filenames: A:[10]MAX_TimeSrs019_TgUtrmcherry_Control.avi & B:[11]MAX_TimeSrs019_TgUtrmcherry_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,10.79331589,2.586057425,1
47,65,0.7729889154,-13.51079369,1
47,97,1.13660562,-5.96883297,1
47,129,0.2103236914,-0.19231987,1
47,161,0.4883197546,-0.6979393959,1
47,193,15.21177673,-14.00567245,1
47,225,0.9936908484,-4.633849144,1
47,257,2.353405476,-2.525946617,1
47,289,2.656567812,-3.771778584,1
47,321,2.093831062,-3.727039337,1
47,353,2.351686478,-5.328306198,1
47,385,1.879339457,-6.303927898,1
47,417,1.417490005,-4.726486206,1
47,449,1.760607719,-2.046820402,1
47,481,2.44341135,-2.553453922,1
47,513,4.200470448,-3.451578856,1
47,545,5.961713791,-4.54000473,1
47,577,4.404649258,-5.124918461,1
47,609,3.065495014,-2.337359428,1
47,641,5.213349342,-2.205196142,1
47,673,4.886431694,-3.804956913,1
47,705,3.632248402,-3.954246044,1
47,737,3.916727066,-2.800699711,1
47,769,4.803471565,-2.546225071,1
47,801,1.038149357,-0.8601574898,1
47,833,6.569470406,-3.840516567,1
47,865,6.301120758,-4.749030113,1
47,897,3.659913063,-5.055211067,1
47,929,2.432383537,-4.81490469,1
47,961,2.503517628,-5.078486919,1
47,993,1.528490782,-5.183145046,1
47,1025,1.311906815,-4.989823341,1
47,1057,2.509348392,-4.262239933,1
47,1089,1.310795546,-6.17684269,1
47,1121,3.178154707,-4.859118462,1
47,1153,3.252343178,-3.871621609,1
47,1185,2.820811272,-4.27641058,1
47,1217,3.075107098,-5.921807766,1
47,1249,3.187328339,-5.976103306,1
47,1281,4.347709179,-6.196609974,1
47,1313,4.775299549,-6.752894878,1
47,1345,4.406627655,-5.706926346,1
47,1377,4.538401127,-4.547007561,1
47,1409,6.190841198,-7.193693638,1
47,1441,8.145002365,-7.656031609,1
47,1473,8.359135628,-3.816106796,1
47,1505,6.303042889,-5.624950886,1
47,1537,4.6864748,-7.288317204,1
47,1569,3.926960945,-7.774528503,1
47,1601,2.983045578,-8.336218834,1
47,1633,2.417300701,-8.782892227,1
47,1665,2.0573349,-7.724212646,1
47,1697,2.072363377,-5.659306526,1
47,1729,1.371871948,-4.960836411,1
47,1761,0.5586301088,-4.800783157,1
47,1793,-0.3586006165,-4.323317528,1
47,1825,0.7629027367,-5.316893578,1
47,1857,2.584638834,-6.064133644,1
47,1889,0.8776651621,-7.997218132,1
47,1921,-0.5551598072,7.533257484,1
47,1953,1.813874125,-3.741669893,1
47,1985,2.25483036,-5.384289742,1
47,2017,3.429776192,-8.553058624,1
79,33,8.963653564,5.629896164,1
79,65,1.990033388,-7.699704647,1
79,97,2.286590576,-8.779317856,1
79,129,-0.4671173096,-1.161215305,1
79,161,5.377812862,11.85435581,1
79,193,0.6066980362,-17.80186081,1
79,225,-1.948471546,12.5494709,1
79,257,2.297893763,-3.77451849,1
79,289,3.236350536,-4.097022533,1
79,321,2.479675531,-4.119076729,1
79,353,2.375618219,-4.672510147,1
79,385,2.406577826,-4.531528473,1
79,417,2.455851316,-4.06268692,1
79,449,2.571257114,-2.610516071,1
79,481,3.284665585,-3.291447639,1
79,513,5.148564339,-4.289103985,1
79,545,6.486860752,-3.926218271,1
79,577,6.010031223,-4.234674931,1
79,609,6.952112675,-4.301258564,1
79,641,7.003387928,-3.333158731,1
79,673,5.447723389,-3.352019787,1
79,705,4.485377789,-3.806965828,1
79,737,4.497240067,-4.252543449,1
79,769,0.4284231663,-0.3099446297,1
79,801,1.677639961,0.01708388329,1
79,833,5.620083332,-2.593523502,1
79,865,3.832054138,-4.958577156,1
79,897,2.132030487,-6.407427311,1
79,929,2.175155401,-6.023916245,1
79,961,1.744042873,-3.22147274,1
79,993,0.8355107307,-3.901165009,1
79,1025,1.493157864,-5.571637154,1
79,1057,2.6065135,-5.202400208,1
79,1089,4.076155663,-4.79714632,1
79,1121,3.057664871,-5.073640823,1
79,1153,3.802343369,-4.316860676,1
79,1185,4.422210693,-5.614050388,1
79,1217,2.449640512,-6.613108158,1
79,1249,1.281621456,-5.740621567,1
79,1281,3.888273716,-5.904084682,1
79,1313,4.805657387,-6.100974083,1
79,1345,4.868834972,-6.08429575,1
79,1377,4.832276344,-6.461887836,1
79,1409,4.785624027,-7.452158451,1
79,1441,5.690552711,-8.1590271,1
79,1473,6.463833332,-7.226952553,1
79,1505,5.693781376,-7.201946735,1
79,1537,4.460594654,-7.685752869,1
79,1569,3.288170099,-7.977369785,1
79,1601,2.857406139,-7.902527332,1
79,1633,3.101943254,-8.00104332,1
79,1665,3.513953209,-7.613829136,1
79,1697,1.887829304,-6.831492424,1
79,1729,0.8201688528,-6.583916664,1
79,1761,0.3905580044,-5.328855991,1
79,1793,1.142124176,-4.954155922,1
79,1825,2.290433407,-6.552619457,1
79,1857,2.218218088,-6.465948582,1
79,1889,1.479823589,-6.930936813,1
79,1921,1.751727223,-9.622106552,1
79,1953,1.218168497,-6.927961826,1
79,1985,1.350832105,-5.302724361,1
79,2017,2.644126415,-6.203033447,1
111,33,4.277701378,6.670428276,1
111,65,1.62149632,-3.839651346,1
111,97,1.385878563,-5.116909504,1
111,129,1.405356884,-7.211435318,1
111,161,1.553914666,-7.875036716,1
111,193,1.41862011,13.28652573,1
111,225,2.944457054,-5.760751247,1
111,257,2.904018641,-5.052237988,1
111,289,3.133333683,-4.476237774,1
111,321,2.933960199,-4.19355011,1
111,353,2.562434912,-4.308269978,1
111,385,2.755164623,-4.014506817,1
111,417,3.250349045,-3.733084679,1
111,449,3.300095081,-3.751608372,1
111,481,3.593167305,-4.169938087,1
111,513,4.526229858,-3.935584545,1
111,545,5.027653694,-2.324890852,1
111,577,5.588442326,-3.668840408,1
111,609,6.236610413,-5.654972553,1
111,641,6.798395634,-5.008734703,1
111,673,6.208533287,-4.458733082,1
111,705,5.437700272,-3.893861771,1
111,737,5.327427864,-2.478721857,1
111,769,4.529215813,-3.177177429,1
111,801,4.119479179,0.779542923,1
111,833,4.140983105,-4.541356087,1
111,865,3.199742079,-5.297671795,1
111,897,2.514259815,-6.216739178,1
111,929,2.355184793,-6.564679146,1
111,961,2.324447632,-4.504999638,1
111,993,3.377937317,-4.736750126,1
111,1025,3.646275043,-5.610650063,1
111,1057,3.69773531,-5.496809483,1
111,1089,4.073221207,-4.703856468,1
111,1121,4.601442337,-4.439741135,1
111,1153,4.95999527,-2.956230164,1
111,1185,3.25344348,-6.893694878,1
111,1217,2.236684799,-8.365543365,1
111,1249,0.5968239307,-7.670107365,1
111,1281,3.400401115,-6.629095554,1
111,1313,4.496398449,-6.527437687,1
111,1345,4.776786327,-6.93621254,1
111,1377,5.022054672,-7.21217823,1
