PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 9, filenames: A:[9]MAX_TimeSrs019_TgUtrmcherry_Control.avi & B:[10]MAX_TimeSrs019_TgUtrmcherry_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-0.01524353027,-0.1175713539,1
47,65,0.4776058197,-8.366266251,1
47,97,4.122247696,-7.778795242,1
47,129,2.605135679,-6.459159851,1
47,161,2.745587826,-8.557353973,1
47,193,3.032876015,-6.255049706,1
47,225,4.375805378,-5.276476383,1
47,257,4.9522295,-3.423398256,1
47,289,3.707597971,-4.034883499,1
47,321,4.325097084,-4.367032051,1
47,353,4.254751205,-3.691371918,1
47,385,3.225260973,-3.459589481,1
47,417,2.91009903,-3.187285423,1
47,449,2.874739647,-3.759301186,1
47,481,1.463072777,-6.13196373,1
47,513,2.199000835,-6.387650013,1
47,545,3.661187172,-4.15311718,1
47,577,5.485221863,-4.196722984,1
47,609,5.504623413,-3.673966408,1
47,641,4.608507633,-4.266697884,1
47,673,5.203995705,-4.350769043,1
47,705,3.925396919,-5.815689087,1
47,737,5.332746029,-6.390660286,1
47,769,3.190633774,-5.517266273,1
47,801,3.522009373,-5.515373707,1
47,833,2.786628246,-4.208831787,1
47,865,3.311553955,-4.960095406,1
47,897,4.812914371,-5.869857311,1
47,929,4.212259769,-6.126717091,1
47,961,3.192858219,-6.321390629,1
47,993,4.476731777,-5.936705589,1
47,1025,5.619855404,-5.814116955,1
47,1057,5.311006069,-6.480395317,1
47,1089,3.760044575,-7.303868294,1
47,1121,3.116015911,-6.287583351,1
47,1153,1.172323227,-7.101722717,1
47,1185,2.018041849,-7.377438545,1
47,1217,2.909227371,-5.835675716,1
47,1249,3.001763821,-5.141789913,1
47,1281,3.432645321,-4.370860577,1
47,1313,4.497497082,-4.295091629,1
47,1345,5.608120918,-5.179006577,1
47,1377,5.799636364,-6.535708427,1
47,1409,6.045021057,-6.279788017,1
47,1441,5.545675278,-6.621976376,1
47,1473,5.233919621,-6.651033878,1
47,1505,4.949736118,-6.671557426,1
47,1537,4.534472942,-7.282221794,1
47,1569,4.336953163,-7.448493958,1
47,1601,3.778909683,-7.8639431,1
47,1633,4.266267776,-6.878008366,1
47,1665,4.851751328,-5.399412155,1
47,1697,4.547588348,-5.344408035,1
47,1729,3.466807842,-6.526208401,1
47,1761,2.374750137,-6.845234394,1
47,1793,-0.3952465057,-0.6684188843,1
47,1825,2.923072577,-5.945896626,1
47,1857,3.245206833,-5.290839195,1
47,1889,2.433815002,-5.142206669,1
47,1921,0.7196184397,-6.833912849,1
47,1953,-0.4772814512,-5.907647133,1
47,1985,-0.04436063766,-3.975509167,1
47,2017,-0.6959342957,-0.7809500694,1
79,33,11.42106438,4.980622768,1
79,65,8.976852417,-1.326218843,1
79,97,5.200770378,-5.25644207,1
79,129,4.688410759,-6.9666605,1
79,161,3.712191582,-6.832076073,1
79,193,4.240893841,-6.278270245,1
79,225,-15.11794853,-13.60198975,1
79,257,5.052366734,-5.17416954,1
79,289,4.153254509,-5.225440502,1
79,321,4.222046852,-5.133513927,1
79,353,4.244942188,-4.315441132,1
79,385,3.834827423,-4.405464649,1
79,417,3.470483065,-4.805868626,1
79,449,3.439010143,-4.734554291,1
79,481,3.918306828,-5.152468204,1
79,513,3.53249836,-4.54666853,1
79,545,4.131176949,-3.705825806,1
79,577,4.948847771,-3.579639435,1
79,609,6.214533806,-4.69863081,1
79,641,5.37827158,-4.565947056,1
79,673,3.016113758,-4.700511932,1
79,705,2.442204952,-5.367643833,1
79,737,6.373839378,-4.973434448,1
79,769,4.676338196,-6.507329941,1
79,801,4.86636734,-7.246362686,1
79,833,3.80572319,-6.446448803,1
79,865,4.19689846,-5.808071613,1
79,897,4.546047688,-6.121355057,1
79,929,4.306424141,-6.588314533,1
79,961,2.916899681,-6.074475765,1
79,993,4.685122967,-5.665826797,1
79,1025,5.873071194,-6.240839958,1
79,1057,4.707815647,-6.70184803,1
79,1089,5.537301064,-6.573363781,1
