PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 32, filenames: A:[32]MAX_TimeSrs019_TgUtrmcherry_Control.avi & B:[33]MAX_TimeSrs019_TgUtrmcherry_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-28.55083084,26.59117889,1
47,65,-11.870574,25.04771996,1
47,97,-3.903757095,-5.556568623,1
47,129,-1.089514375,-11.95085239,1
47,161,-1.005753875,-10.11960125,1
47,193,-1.286403894,-9.696844101,1
47,225,-1.205699205,-8.995670319,1
47,257,-0.6766161919,-8.773468971,1
47,289,-2.605085373,-9.434949875,1
47,321,-3.649110317,-11.04488373,1
47,353,-2.355710268,-11.29313374,1
47,385,-1.454672694,-10.20671272,1
47,417,0.1945594847,-9.046917915,1
47,449,1.360462666,-7.027656555,1
47,481,1.452591419,-5.517053604,1
47,513,0.6471956968,-6.767552376,1
47,545,-0.8958134651,-8.757835388,1
47,577,-1.728242636,-8.531133652,1
47,609,-2.665916681,-7.748538017,1
47,641,0.7033189535,-18.77013397,1
47,673,-1.360333681,-8.329917908,1
47,705,-1.929387331,-9.194993019,1
47,737,-1.47885561,-9.341814995,1
47,769,-0.142949909,-9.734564781,1
47,801,0.06861400604,-10.104702,1
47,833,-1.027840495,-9.407258987,1
47,865,0.5559141636,-8.316065788,1
47,897,1.260582328,-8.497596741,1
47,929,0.8012566566,-9.475081444,1
47,961,0.1301175952,-9.16040802,1
47,993,0.4879350662,-10.0746212,1
47,1025,-0.9750358462,-8.476136208,1
47,1057,-2.385494947,-7.76143074,1
47,1089,-1.66762495,-7.769281387,1
47,1121,-1.240504146,-6.857347965,1
47,1153,0.8289592862,-6.834804535,1
47,1185,1.521798015,-6.636916161,1
47,1217,0.8888984919,-5.970676899,1
47,1249,0.4990378618,-7.050952435,1
47,1281,0.7605871558,-8.610481262,1
47,1313,-0.2311588228,-8.541889191,1
47,1345,-1.0573138,-6.926734447,1
47,1377,-0.9959093332,-6.765879154,1
47,1409,-0.8381023407,-6.037340641,1
47,1441,0.9701602459,-4.81039381,1
47,1473,0.9896290302,-5.991770267,1
47,1505,-0.2217005491,-5.329162121,1
47,1537,-0.6058889627,-5.607144356,1
47,1569,-0.6089445353,-6.817891121,1
47,1601,-0.3008594513,-6.810448647,1
47,1633,-0.5627294779,-2.836192608,1
47,1665,-0.3101277351,-1.356257915,1
47,1697,-0.338842988,-4.158088684,1
47,1729,-1.160159826,-5.168784618,1
