PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 5, filenames: A:[5]MAX_TimeSrs019_TgUtrmcherry_Control.avi & B:[6]MAX_TimeSrs019_TgUtrmcherry_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-0.9806125164,64.98872375,1
47,65,0.6774162054,3.179318428,1
47,97,-0.363445282,-17.21962357,1
47,129,0.1139354706,-16.80234528,1
47,161,0.2073265314,-16.70038605,1
47,193,7.747723103,-9.879826546,1
47,225,0.1578272581,0.04151439667,1
47,257,0.7723975182,-10.12108994,1
47,289,1.298032045,-8.602306366,1
47,321,1.579416633,-9.749526978,1
47,353,2.370227337,-8.808584213,1
47,385,1.467268586,-11.1299305,1
47,417,-1.349679232,-11.701684,1
47,449,-3.315587044,-11.44253922,1
47,481,-0.6362657547,-12.56388283,1
47,513,-0.9815480709,-11.05865955,1
47,545,0.4305024147,-9.659863472,1
47,577,2.805282593,-10.05653954,1
47,609,2.399621248,-11.27905464,1
47,641,1.399330139,-12.66048622,1
47,673,2.529208422,-13.6425724,1
47,705,4.162454128,-12.12208462,1
47,737,3.579507828,-11.79421997,1
47,769,2.468052626,-12.19983768,1
47,801,2.702217579,-13.00613976,1
47,833,3.445374489,-12.83145046,1
47,865,3.438292027,-14.89145947,1
47,897,4.304419518,-14.06269932,1
47,929,5.801017284,-12.84309578,1
47,961,6.42593956,-12.62812138,1
47,993,6.054363251,-13.61340714,1
47,1025,4.900294304,-13.62717724,1
47,1057,3.955698967,-12.97834682,1
47,1089,3.106509924,-12.57464981,1
47,1121,2.843957424,-12.24763203,1
47,1153,2.473095417,-11.77222443,1
47,1185,3.361841679,-11.40041542,1
47,1217,4.31041193,-10.25408745,1
47,1249,3.410066843,-10.31685448,1
47,1281,1.9982512,-10.53122616,1
47,1313,0.5096548796,-9.825848579,1
47,1345,-0.5134983063,-9.200005531,1
47,1377,-0.2294969559,-10.17799091,1
47,1409,1.35567987,-11.09409904,1
47,1441,-0.328881979,-8.466118813,1
47,1473,-0.6825778484,-11.10042953,1
47,1505,-2.791157961,-10.93148232,1
47,1537,-3.681181908,-10.33679104,1
47,1569,-3.037204742,-9.635788918,1
47,1601,-2.848944664,-10.07062531,1
47,1633,-2.128136873,-8.324969292,1
47,1665,-1.362720251,-7.252668381,1
47,1697,-1.364840269,-5.076824665,1
47,1729,-1.078031778,-4.295403004,1
47,1761,-2.280826092,-4.144980431,1
47,1793,-2.195055485,-3.659418821,1
47,1825,-0.555685997,-1.289627075,1
47,1857,-0.6136858463,0.1360449791,1
47,1889,-1.035760045,1.021760106,1
47,1921,-0.9634563923,0.3241609335,1
47,1953,-1.452056646,-0.900942862,1
47,1985,-3.073868513,-2.29699111,1
47,2017,-3.930786133,-0.2251081467,1
79,33,3.492716551,22.79891968,1
79,65,1.404442549,-16.12179756,1
79,97,0.9420806766,-18.13388824,1
79,129,2.424782276,-15.66363621,1
79,161,2.930872679,-11.05572224,1
79,193,6.553623199,-8.630971909,1
79,225,-9.66841507,6.809414864,1
79,257,-0.09656262398,-10.32449341,1
79,289,1.183671474,-10.54330063,1
79,321,4.13727951,-12.85839462,1
79,353,4.031710625,-10.654706,1
79,385,2.274509192,-10.83098984,1
79,417,0.9932184219,-11.21029568,1
79,449,0.2509205341,-11.40114498,1
79,481,0.9223685265,-11.27980328,1
79,513,0.8958061337,-9.725644112,1
79,545,1.804387331,-9.392463684,1
79,577,2.353230238,-9.013007164,1
79,609,1.338973999,-10.04304028,1
79,641,1.45241642,-11.69678688,1
79,673,2.65155983,-12.72562504,1
79,705,4.439975739,-13.5321579,1
79,737,4.366398811,-11.69771957,1
79,769,3.085122585,-11.81089211,1
79,801,3.072546482,-12.77123642,1
79,833,2.793734074,-13.36587334,1
79,865,3.268280506,-14.00473499,1
79,897,2.905730724,-13.66609383,1
79,929,2.335584164,-13.71476746,1
79,961,0.8985214233,-14.21726608,1
79,993,1.768584251,-13.91717815,1
79,1025,3.98564291,-13.75285625,1
79,1057,4.200888634,-13.64064598,1
