PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 14, filenames: A:[14]MAX_TimeSrs019_TgUtrmcherry_Control.avi & B:[15]MAX_TimeSrs019_TgUtrmcherry_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
111,929,3.784371853,-4.921524525,1
111,961,3.175451756,-4.897761345,1
111,993,3.043800592,-4.452172279,1
111,1025,2.280702829,-4.16885519,1
111,1057,0.6287913322,-4.596179962,1
111,1089,2.558739662,-4.565822124,1
111,1121,1.771747351,-4.268677711,1
111,1153,0.3289824724,-3.860357285,1
111,1185,0.9504196644,-3.430270195,1
111,1217,2.762312412,-3.926136971,1
111,1249,2.15403533,-4.038628578,1
111,1281,1.990351677,-2.763253689,1
111,1313,2.16530633,-1.921644211,1
111,1345,2.228832483,-3.358839512,1
111,1377,2.359639406,-3.569854259,1
111,1409,3.785928011,-3.173178673,1
111,1441,4.388987064,-3.172214031,1
111,1473,3.891999722,-3.906503677,1
111,1505,3.412281513,-4.724559307,1
111,1537,3.199024439,-4.893711567,1
111,1569,2.928495884,-4.404101372,1
111,1601,2.296993256,-3.985929012,1
111,1633,2.223109245,-3.711565018,1
111,1665,2.111368179,-3.393318653,1
111,1697,0.05227208138,-1.066469431,1
111,1729,0.6653385162,-2.220908403,1
111,1761,-0.04143023491,-1.230107069,1
111,1793,0.8319253922,-0.1454780102,1
111,1825,1.516866446,-2.402928591,1
111,1857,1.52463758,-5.177501678,1
111,1889,1.455268145,-2.402452946,1
111,1921,2.473758936,-2.655171394,1
111,1953,2.158555031,-2.639989853,1
111,1985,1.69886446,-3.28414917,1
111,2017,1.372172117,-0.8845396042,1
143,33,-1.454532743,2.844279051,1
143,65,0.1615574956,-6.524973869,1
143,97,0.7903368473,-3.914567947,1
143,129,0.7942150235,-3.201026201,1
143,161,1.252922773,-2.71390295,1
143,193,2.13070488,-2.78452754,1
143,225,2.66445303,-2.864792347,1
143,257,3.386632442,-2.804013968,1
143,289,3.557735205,-3.577232122,1
143,321,3.562386036,-3.593605042,1
143,353,3.657855988,-4.665126324,1
143,385,4.221545219,-5.742985249,1
143,417,4.794155121,-5.061545372,1
143,449,4.48492527,-6.04072094,1
143,481,4.731617928,-6.514665604,1
143,513,4.486337662,-6.097025394,1
143,545,4.111165047,-5.885293961,1
143,577,4.245739937,-5.477343082,1
143,609,5.41749239,-5.724702358,1
143,641,7.643137932,-6.764110088,1
143,673,5.402048588,-4.331955433,1
143,705,5.843696117,-3.831480503,1
143,737,5.400580406,-4.27959919,1
143,769,4.495696545,-5.387989998,1
143,801,4.534719944,-5.085203171,1
143,833,4.543757915,-5.084078312,1
143,865,4.326793194,-5.292407036,1
143,897,4.186555862,-5.003135204,1
143,929,4.289509773,-4.910871029,1
143,961,3.308124542,-4.682048798,1
143,993,2.483042002,-4.522969723,1
143,1025,1.917502403,-4.334038734,1
143,1057,2.488401651,-4.777842522,1
143,1089,3.381196499,-4.235555649,1
143,1121,1.970558047,-3.481984377,1
143,1153,0.2878966331,-3.838581562,1
143,1185,0.9096269608,-3.913426399,1
143,1217,1.910993457,-4.376075745,1
143,1249,1.938485622,-4.034335136,1
143,1281,2.130478382,-3.082800388,1
143,1313,2.59126091,-2.781315327,1
143,1345,2.564937592,-3.342591763,1
143,1377,2.740946054,-3.417638779,1
143,1409,3.334318638,-3.295584917,1
143,1441,3.820723057,-3.795906782,1
143,1473,3.772907019,-4.205400467,1
143,1505,3.271351099,-4.447507381,1
143,1537,3.003301382,-4.558951855,1
143,1569,2.742981434,-4.173512459,1
143,1601,2.85313344,-3.969863892,1
143,1633,2.744271517,-4.146450043,1
143,1665,3.085813999,-4.583848953,1
143,1697,3.537798643,-3.44912076,1
143,1729,0.9458537102,-2.039013386,1
143,1761,1.817060471,-7.418135166,1
143,1793,0.8159109354,0.1906347275,1
143,1825,1.132084489,-0.8713781834,1
143,1857,1.040468454,-2.237837076,1
143,1889,1.521853924,-2.497483253,1
143,1921,2.959600687,-2.882986069,1
143,1953,2.869257212,-2.776754141,1
143,1985,2.756327629,-4.163397789,1
143,2017,2.228317499,-0.9465987682,1
175,33,-0.3134440482,2.61254096,1
175,65,0.1596699953,-3.310738087,1
175,97,0.7522528172,-1.910180807,1
175,129,0.7810006142,-2.986331463,1
175,161,1.301092863,-3.146066189,1
175,193,2.15346384,-3.275474072,1
175,225,2.519321442,-4.371019363,1
175,257,3.183361292,-5.205592155,1
175,289,4.165363789,-3.801771641,1
175,321,4.115908623,-3.701644182,1
175,353,3.870312691,-4.772991657,1
175,385,5.13441515,-5.73031044,1
175,417,7.254258156,-4.944679737,1
175,449,5.023820877,-4.882825375,1
175,481,4.734820366,-5.422131538,1
175,513,4.495119095,-5.480962753,1
175,545,4.20480299,-5.330798626,1
175,577,4.596936226,-5.372330666,1
175,609,4.766234398,-5.158425808,1
175,641,4.344882011,-4.833325863,1
175,673,3.967609406,-3.398395061,1
175,705,4.909799576,-3.220695496,1
175,737,7.816932678,-3.961385727,1
175,769,4.999554157,-4.421059132,1
175,801,4.261666298,-4.805724621,1
175,833,4.486069679,-5.29001379,1
175,865,4.339531422,-5.216695309,1
175,897,3.634700298,-4.784731388,1
175,929,3.258140802,-4.804788113,1
175,961,2.823436975,-4.718723297,1
175,993,2.555809736,-4.505246162,1
175,1025,2.60358572,-4.68337059,1
175,1057,2.46129632,-5.350746155,1
175,1089,2.332411766,-3.971199989,1
175,1121,1.971036911,-3.022129059,1
175,1153,0.8827900887,-4.259029865,1
175,1185,1.577534914,-4.975725174,1
175,1217,1.884721041,-4.957756042,1
175,1249,1.9885993,-4.764621258,1
175,1281,2.331428528,-3.797985077,1
175,1313,2.84378171,-2.570402384,1
175,1345,2.363536596,-2.532489061,1
175,1377,2.2935462,-3.198908806,1
175,1409,2.533204079,-3.949962616,1
175,1441,2.635927916,-4.554727554,1
175,1473,3.778488159,-4.977597713,1
175,1505,3.925753832,-4.026498795,1
175,1537,3.501355886,-3.5429883,1
175,1569,3.086577177,-3.534071684,1
175,1601,2.92798996,-3.334182739,1
175,1633,2.579901695,-3.363959312,1
175,1665,3.233957767,-4.022763252,1
175,1697,3.391984224,-3.679555178,1
175,1729,3.089704275,-2.860322237,1
175,1761,3.550498486,-3.522693396,1
175,1793,1.804802299,-1.76988554,1
175,1825,1.631479979,-2.18020463,1
175,1857,1.774409771,-2.555934429,1
175,1889,2.05632019,-1.617268085,1
175,1921,14.15177345,-1.685520649,1
175,1953,2.72142911,-1.339042783,1
175,1985,1.629621506,-0.7190239429,1
175,2017,0.1056768894,-1.113733292,1
207,33,0.9979972839,2.641855955,1
207,65,-0.004472643137,0.05604282022,1
207,97,-0.3087150455,-1.691470623,1
207,129,0.4861607552,-2.991038799,1
207,161,1.90476346,-3.399890184,1
207,193,2.032989025,-3.289378643,1
207,225,1.736141682,-4.757255554,1
207,257,2.017982006,-4.672472954,1
207,289,3.062935829,-3.45412302,1
207,321,4.206893921,-3.861272812,1
207,353,4.766461372,-5.596085548,1
207,385,3.850533485,-4.657131195,1
207,417,3.661708355,-3.098103523,1
207,449,3.217038155,-1.086603642,1
207,481,4.192173004,-2.469598293,1
207,513,4.192131519,-4.656039715,1
207,545,4.811352253,-4.87390995,1
207,577,5.454394341,-5.376076221,1
207,609,4.806473732,-5.15688467,1
207,641,3.338657856,-4.497497559,1
207,673,3.12057066,-4.466692924,1
207,705,3.528476238,-4.103383064,1
207,737,6.357200623,-4.235796452,1
207,769,4.784232616,-4.747801781,1
207,801,4.263363838,-5.124444008,1
207,833,4.347410679,-5.574362755,1
207,865,4.212248325,-5.502652168,1
207,897,4.264612198,-5.362782955,1
207,929,2.613019466,-5.210622787,1
207,961,1.989910126,-4.884230614,1
207,993,2.620733738,-4.814383507,1
207,1025,2.496494055,-4.825954914,1
207,1057,1.233730793,-4.478548527,1
