PIVlab, ASCII chart output - 12-Jun-2024
FRAME: 7, filenames: A:[7]MAX_Pos00d_TimeSrs0004_TgKrt18GFP_K4K8MO.avi & B:[8]MAX_Pos00d_TimeSrs0004_TgKrt18GFP_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
23,17,-2.818954945,-10.86499882,1
23,33,-2.150417328,-1.033863544,1
23,49,-3.187361002,2.657932758,1
23,65,-1.017335534,3.563715935,1
23,81,1.384165764,3.524064779,1
23,97,1.810093403,3.594695568,1
23,113,1.050625205,5.023398876,1
23,129,-0.0400570035,13.25009918,1
23,145,1.672267914,6.741764069,1
23,161,-2.210064411,5.671780586,1
23,177,-3.319430351,6.383791924,1
23,193,-1.41654551,6.889276505,1
23,209,0.3811582923,4.438695431,1
23,225,2.0960989,1.890202045,1
23,241,1.369325161,1.97747016,1
23,257,-7.504683495,8.591583252,1
23,273,1.369730949,7.401510239,1
23,289,0.4451473951,8.88549614,1
23,305,0.8079638481,7.212859154,1
23,321,2.331951141,1.509757519,1
23,337,2.67763567,0.343108654,1
23,353,3.077689409,1.160471678,1
23,369,1.19086504,3.060432911,1
23,385,0.8370805979,2.828228474,1
23,401,10.33759594,-3.729030132,1
23,417,2.599891186,-0.2446619272,1
23,433,7.470182896,-0.4424082041,1
23,449,4.142110348,1.213094115,1
23,465,0.5814282894,0.4855501652,1
23,481,-2.585197449,-8.077939034,1
23,497,-1.026608706,-8.546426773,1
23,513,5.665909767,8.36825943,1
23,529,5.378063202,9.339906693,1
23,545,-4.445147514,7.319452763,1
23,561,3.116816998,0.2763665915,1
23,577,5.688053131,-2.703716755,1
23,593,5.624320984,-2.058906317,1
23,609,3.2046628,-2.454521656,1
23,625,11.73130703,0.4200997353,1
23,641,3.342469931,0.1052303314,1
23,657,3.119111538,-1.460642576,1
23,673,2.941228867,-0.5672426224,1
23,689,3.140105724,0.1617418826,1
23,705,3.262233734,0.4265578985,1
23,721,1.970807314,0.8698141575,1
23,737,2.100977898,1.478622913,1
23,753,0.1104679108,7.047810078,1
23,769,5.653567314,-2.770424843,1
23,785,4.793801785,-4.405350685,1
23,801,4.449661255,-2.50211525,1
23,817,3.7301507,-2.025465965,1
23,833,5.507745743,-1.236832738,1
23,849,-3.8138659,-4.731604099,1
23,865,5.300451756,-1.03134048,1
23,881,5.635359764,2.460386753,1
23,897,5.246036053,4.55165863,1
23,913,4.671522617,3.111608505,1
23,929,3.803314686,0.8530781269,1
