PIVlab, ASCII chart output - 12-Jun-2024
FRAME: 5, filenames: A:[5]MAX_Pos00d_TimeSrs0004_TgKrt18GFP_K4K8MO.avi & B:[6]MAX_Pos00d_TimeSrs0004_TgKrt18GFP_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
23,17,-1.30386591,-4.53713131,1
23,33,4.954064369,1.761217833,1
23,49,-0.8916060925,1.054361582,1
23,65,-1.256331563,0.767316103,1
23,81,0.07990419865,0.16205585,1
23,97,1.225795984,0.02076053619,1
23,113,1.528705597,1.402283192,1
23,129,3.626734018,1.695990801,1
23,145,3.056494713,3.157050848,1
23,161,2.250980854,0.9650797844,1
23,177,2.051072359,0.2278369665,1
23,193,2.424016714,0.7667694092,1
23,209,2.590013981,0.5499124527,1
23,225,-5.71573782,-1.194820642,1
23,241,-6.118645191,-1.233203173,1
23,257,1.963806033,1.796587229,1
23,273,1.420112491,1.619278193,1
23,289,0.9504437447,1.234546661,1
23,305,1.979050159,1.849504232,1
23,321,1.927680016,1.111904025,1
23,337,3.296840191,-1.329934835,1
23,353,4.218132019,-1.163335085,1
23,369,2.728913307,0.6764404178,1
23,385,-5.571293831,5.773602486,1
23,401,10.6559124,0.2125195265,1
23,417,11.2840662,-2.057662249,1
23,433,10.26365948,-6.498659134,1
23,449,0.3898253441,7.91488266,1
23,465,3.442000389,3.33463335,1
23,481,2.714435816,5.048428059,1
23,497,1.551439524,2.047562599,1
23,513,1.198758841,-0.760920167,1
23,529,0.2740347385,-0.1552766562,1
23,545,0.2266662121,1.515062809,1
23,561,-0.2476606369,-0.2603696585,1
23,577,4.632604599,-0.9955995083,1
23,593,4.03892231,1.736364841,1
23,609,7.668981552,-5.727010727,1
23,625,4.285679817,-0.5169680119,1
23,641,9.768716812,13.50349712,1
23,657,5.979215622,5.454174042,1
23,673,4.593765259,2.888902664,1
23,689,3.886195183,-0.3382704258,1
23,705,2.00196743,-2.920299292,1
23,721,3.474609852,7.81604147,1
23,737,11.82851124,-2.444942713,1
23,753,3.310558796,0.166809082,1
23,769,4.163830757,2.368570089,1
23,785,11.21355057,7.893873692,1
23,801,9.386740685,6.03413105,1
23,817,6.410089016,2.886781693,1
23,833,4.9386549,2.302765369,1
23,849,5.246687412,1.207772255,1
23,865,2.814584494,0.7466175556,1
23,881,0.2736680508,2.455543756,1
23,897,-0.5206495523,4.472898006,1
23,913,1.66119945,5.393518925,1
23,929,3.523886681,4.294130325,1
23,945,3.385200024,1.409946203,1
23,961,4.030261993,-5.559443474,1
23,977,8.518435478,-1.087704897,1
23,993,3.544268608,0.7404142618,1
23,1009,-0.8000985384,11.73568535,1
23,1025,1.584743619,6.011475563,1
23,1041,2.860423326,8.146360397,1
23,1057,2.838884115,6.994900703,1
23,1073,0.7700215578,5.442729473,1
23,1089,2.063601255,1.519913673,1
23,1105,4.959830761,3.927890778,1
23,1121,6.321207047,4.226857185,1
23,1137,6.474441528,3.07474184,1
23,1153,3.42681098,2.012362719,1
23,1169,3.052975893,2.994789362,1
23,1185,4.213154793,2.601563454,1
23,1201,5.67573452,0.1105155945,1
23,1217,6.3445611,-1.366253495,1
23,1233,4.448189735,-1.268540025,1
23,1249,10.11422634,6.122406483,1
23,1265,6.09378767,-2.691030025,1
23,1281,1.885248661,-6.618817329,1
23,1297,5.819748878,1.779539227,1
23,1313,2.714914322,-7.645005226,1
23,1329,1.5837152,3.820959806,1
