PIVlab, ASCII chart output - 12-Jun-2024
FRAME: 31, filenames: A:[31]MAX_Pos00d_TimeSrs0004_TgKrt18GFP_K4K8MO.avi & B:[32]MAX_Pos00d_TimeSrs0004_TgKrt18GFP_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
23,17,1.768811703,-3.516779423,1
23,33,0.8528239727,-6.189380646,1
23,49,-11.55477333,0.4756108522,1
23,65,-13.05752087,-2.212349415,1
23,81,-3.547241211,-10.8232584,1
23,97,-7.243391991,0.8386051655,1
23,113,-9.939853668,0.5004379749,1
23,129,-11.72823811,-5.387410164,1
23,145,-12.23602676,-5.979212284,1
23,161,-12.98635387,-1.0085181,1
23,177,-15.22787857,0.7067530155,1
23,193,-13.27424622,0.2950205803,1
23,209,-9.167963982,0.2385468483,1
23,225,-6.489709854,1.761364698,1
23,241,-3.965032578,3.130225182,1
23,257,-1.46575141,4.720495224,1
23,273,-1.07395649,4.481935978,1
23,289,-1.666550875,3.796667576,1
23,305,-1.726732135,2.973440647,1
23,321,-1.840868354,1.522082806,1
23,337,-5.106140614,11.18600273,1
23,353,3.07369113,9.005926132,1
23,369,-0.2640414238,0.4385683537,1
23,385,-8.30257988,1.096989274,1
23,401,-7.012195587,0.1160096526,1
23,417,-5.914609909,0.05205070972,1
23,433,-10.91945839,3.823531389,1
23,449,-11.70839787,1.829066515,1
23,465,-2.026443243,0.9683117867,1
23,481,-1.73558116,2.6475389,1
23,497,-1.417232037,0.0833799839,1
23,513,-1.501770973,-2.1797328,1
23,529,-3.845617771,0.5346531868,1
23,545,-1.611179352,-0.3160316944,1
23,561,-3.967904568,1.434482098,1
23,577,-5.374378204,2.526881933,1
23,593,-17.07386398,0.9826586246,1
23,609,-16.35702896,1.822012901,1
23,625,-5.784506321,2.415019035,1
23,641,-3.180470943,0.6060965061,1
23,657,-3.856694937,0.6187931299,1
23,673,-1.720877647,0.6183407903,1
23,689,-5.735341549,5.883144855,1
23,705,0.4089927673,1.137010813,1
23,721,-0.7203576565,2.054742336,1
23,737,-1.570556521,3.504242659,1
23,753,-0.4759169817,7.902885914,1
23,769,-1.366093278,5.837713242,1
23,785,8.650307655,2.554056168,1
23,801,0.7163784504,1.225821495,1
23,817,-1.309612513,0.3148152828,1
23,833,-12.29338646,5.46434021,1
23,849,-5.339795113,0.8660411835,1
23,865,-3.652328491,1.316061497,1
23,881,-3.052593231,0.2133959532,1
23,897,-3.884479284,10.85382271,1
23,913,1.296361923,-1.281196594,1
23,929,-0.09446239471,-2.839735746,1
23,945,-3.462363243,-3.538271427,1
23,961,4.894494057,5.040107727,1
23,977,-1.842621922,2.653128147,1
23,993,-8.532170296,1.817030907,1
23,1009,-6.262476444,2.04758811,1
23,1025,-0.3088054657,-0.08808758855,1
23,1041,-0.3714799881,-2.128249645,1
23,1057,-3.362257957,4.359283447,1
23,1073,-5.911755562,-7.490791321,1
23,1089,-2.816223383,3.485536814,1
23,1105,-3.777662277,4.418626785,1
23,1121,-2.684030533,5.188450813,1
23,1137,-0.2554352283,4.609353065,1
23,1153,-6.694122314,9.511302948,1
23,1169,-9.247154236,-1.799121857,1
23,1185,-5.399905205,2.095638037,1
23,1201,-4.679904938,1.457468748,1
23,1217,-2.45125699,3.061140776,1
23,1233,-0.720323801,2.719229221,1
23,1249,0.7784962654,0.5386141539,1
23,1265,0.6197974682,9.676822662,1
23,1281,-0.9625070095,1.813662529,1
23,1297,-2.028996706,2.534085989,1
23,1313,-2.847655296,3.625383377,1
23,1329,2.214972496,5.515788078,1
23,1345,-11.94914055,9.890039444,1
23,1361,-9.708860397,10.19164085,1
23,1377,-1.509770393,1.922193527,1
23,1393,-1.881557941,2.518529177,1
23,1409,-3.833135605,2.436784744,1
23,1425,-3.067830086,1.807243824,1
