PIVlab, ASCII chart output - 12-Jun-2024
FRAME: 11, filenames: A:[11]MAX_Pos00d_TimeSrs0004_TgKrt18GFP_K4K8MO.avi & B:[12]MAX_Pos00d_TimeSrs0004_TgKrt18GFP_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
23,17,1.101229191,0.5079469681,1
23,33,-2.646309137,2.088029861,1
23,49,-3.749641895,3.931519508,1
23,65,-2.799537182,4.232878208,1
23,81,-2.269428253,2.786449909,1
23,97,-1.992020607,2.496599197,1
23,113,-0.262773037,3.95285821,1
23,129,-3.254116058,3.745496273,1
23,145,-2.478431225,2.978453875,1
23,161,-2.679050922,3.172142982,1
23,177,-4.120710373,3.613651991,1
23,193,-6.282103539,5.35961628,1
23,209,-5.235308647,6.30334568,1
23,225,-2.587289572,6.314601421,1
23,241,-0.1090221405,5.048888206,1
23,257,-8.37199688,4.298141479,1
23,273,-9.725259781,9.66352272,1
23,289,-3.146387577,7.781713486,1
23,305,-3.226724625,6.240571499,1
23,321,-2.410511017,3.320839882,1
23,337,-1.553908825,4.864146233,1
23,353,-0.6824929118,7.794881344,1
23,369,0.6734310985,10.79983902,1
23,385,-7.146496773,8.96983242,1
23,401,-10.67870712,7.774944305,1
23,417,1.584552765,9.087985992,1
23,433,-2.958776712,6.262514114,1
23,449,-0.6740873456,5.159647465,1
23,465,1.536340237,6.313689232,1
23,481,-1.994853735,0.5109634399,1
23,497,0.2223439217,7.361707211,1
23,513,-2.546011686,4.204329491,1
23,529,-1.176774979,4.336094379,1
23,545,-2.648460865,5.425382614,1
23,561,2.020710468,6.039110184,1
23,577,6.548594475,5.532120705,1
23,593,-1.690354347,1.294349194,1
23,609,-6.316193581,12.67591858,1
23,625,-0.9355932474,6.728055,1
23,641,-0.8496967554,6.517102242,1
23,657,-1.011183023,4.857816696,1
23,673,-2.519560337,5.563423634,1
23,689,-3.309064388,4.41017437,1
23,705,-2.484125614,5.151551247,1
23,721,-2.584061861,6.690602303,1
23,737,-1.709060907,7.039638519,1
23,753,0.2583099604,6.001915932,1
23,769,4.236094475,13.80469036,1
23,785,-4.96279192,-2.132076263,1
23,801,-2.613050938,12.3455925,1
23,817,0.6871819496,3.68575573,1
23,833,3.940482616,11.97585297,1
23,849,5.501190662,14.00561905,1
23,865,1.851830006,7.303162575,1
23,881,0.6381639242,7.427736282,1
23,897,-0.1581703424,6.889986038,1
23,913,1.023312092,7.200786591,1
23,929,2.017315626,7.325605869,1
23,945,0.9008760452,8.388132095,1
23,961,5.057433128,14.49241257,1
23,977,-0.2847008109,6.844245911,1
23,993,-0.09554332495,5.041670799,1
23,1009,-1.38950336,7.036530495,1
23,1025,-3.962196827,8.284788132,1
23,1041,4.665622234,8.756087303,1
23,1057,-5.338995457,4.386346817,1
23,1073,-0.3348851204,0.1642961502,1
23,1089,-0.8231425285,4.977273464,1
23,1105,0.02239716053,3.573794365,1
23,1121,0.3856762648,1.841882467,1
23,1137,1.12103951,4.693743706,1
23,1153,0.6777424812,7.989414692,1
23,1169,1.486966848,7.851366043,1
23,1185,5.221763134,12.45792198,1
23,1201,0.1805814505,14.28618717,1
23,1217,3.964601994,4.772091389,1
23,1233,14.52626514,12.5687027,1
23,1249,13.8209095,4.362257004,1
23,1265,8.393890381,5.581999779,1
23,1281,4.592731476,5.685688496,1
23,1297,2.154340982,6.411212921,1
23,1313,3.174157858,6.949854851,1
23,1329,3.914624453,4.225757599,1
23,1345,-2.039724827,-5.401273251,1
23,1361,3.878706217,-6.635993958,1
23,1377,-2.680108786,-5.57585907,1
23,1393,-4.344145775,-3.610796452,1
23,1409,-7.970190048,6.440529346,1
23,1425,-3.382644415,1.371416569,1
23,1441,0.1347980499,8.371963501,1
23,1457,0.3137249947,7.056631088,1
23,1473,0.8552712202,4.658129692,1
23,1489,1.304520726,3.67137289,1
