PIVlab, ASCII chart output - 12-Jun-2024
FRAME: 17, filenames: A:[17]MAX_Pos00d_TimeSrs0004_TgKrt18GFP_K4K8MO.avi & B:[18]MAX_Pos00d_TimeSrs0004_TgKrt18GFP_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
23,17,-5.834543228,0.08565711975,1
23,33,-2.945552826,3.828703642,1
23,49,-2.847666264,10.80597973,1
23,65,-2.00463295,10.62924194,1
23,81,-1.7721138,8.530778885,1
23,97,1.374586105,-4.916627407,1
23,113,-3.619627953,8.33257103,1
23,129,-1.416030169,-5.596362591,1
23,145,-5.90552187,-5.977181435,1
23,161,-5.213930607,5.618947029,1
23,177,5.370522499,-0.2936110497,1
23,193,-1.936835527,-18.19721413,1
23,209,-2.757499456,-5.643938065,1
23,225,-3.706153393,-4.094547272,1
23,241,-1.101958513,-4.473086357,1
23,257,1.634253502,-6.883907318,1
23,273,1.357504368,-7.242630005,1
23,289,3.040989876,-6.855125427,1
23,305,3.044786453,-5.474759102,1
23,321,3.573121548,-4.751426697,1
23,337,4.532729626,-6.202795506,1
23,353,4.05866909,-7.108833313,1
23,369,-2.951372862,-5.69811964,1
23,385,-4.358465195,-2.898953438,1
23,401,-2.197166443,-2.632019997,1
23,417,0.5247523785,4.374887943,1
23,433,0.4823592901,-1.352389812,1
23,449,2.10447216,-1.873422146,1
23,465,1.528275967,-3.266622066,1
23,481,-1.307761908,-4.913343906,1
23,497,-2.050002575,-5.63272047,1
23,513,-1.200588822,-4.045902252,1
23,529,0.1628589034,-0.4488320351,1
23,545,0.2833298445,-1.894225121,1
23,561,-1.828731775,-2.566702366,1
23,577,-8.403902054,-1.458199024,1
23,593,-6.460651398,-2.129160404,1
23,609,-4.141651154,-2.059444904,1
23,625,-2.383406639,-1.326753139,1
23,641,-2.070732117,-1.699403524,1
23,657,-0.3468180299,-2.135870695,1
23,673,-8.382951736,-0.1247873306,1
23,689,-10.38018322,1.423187494,1
23,705,-12.66809177,0.8732874393,1
23,721,-10.51719761,0.02792358398,1
23,737,-3.101183414,-3.718166828,1
23,753,-1.536253452,-2.258817673,1
23,769,-0.5477108955,-11.9509201,1
23,785,0.8557403088,6.530877113,1
23,801,2.755303621,7.448611259,1
23,817,0.2889252901,-0.8848471045,1
23,833,-3.164740324,-0.1851280332,1
23,849,7.083487511,2.57916975,1
23,865,-0.1738390923,-9.361218452,1
23,881,-12.12180614,-6.272154331,1
23,897,-4.897413731,-9.364835739,1
