PIVlab, ASCII chart output - 12-Jun-2024
FRAME: 9, filenames: A:[9]MAX_Pos00d_TimeSrs0004_TgKrt18GFP_K4K8MO.avi & B:[10]MAX_Pos00d_TimeSrs0004_TgKrt18GFP_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
23,17,1.226698756,3.724365234,1
23,33,5.162493706,-4.698931694,1
23,49,-7.711877346,-2.935406208,1
23,65,-0.8634551764,2.002531528,1
23,81,-1.138317585,2.3581357,1
23,97,-1.203226089,3.477325916,1
23,113,-0.6485408545,3.203593254,1
23,129,-0.9952058196,4.775655746,1
23,145,-3.262730598,5.519275665,1
23,161,0.769048214,4.039818287,1
23,177,-1.992987275,8.915982246,1
23,193,0.4418480396,-10.43732738,1
23,209,6.318862438,-2.907249689,1
23,225,8.112633705,-1.814157248,1
23,241,11.48157692,-0.8867821693,1
23,257,4.70915699,2.513684273,1
23,273,-1.506328344,2.287034035,1
23,289,-1.945870876,4.026879787,1
23,305,-2.285410404,3.709191084,1
23,321,-7.598713398,2.977362871,1
23,337,5.307190895,1.758984089,1
23,353,-3.264231682,0.4448227882,1
23,369,-0.3003149629,4.749175072,1
23,385,-5.03365612,5.655083656,1
23,401,-5.64569664,7.109565735,1
23,417,-2.201914072,4.378060818,1
23,433,3.533550978,-1.173376083,1
23,449,-2.712655067,-0.6040773392,1
23,465,-1.843363166,4.521873474,1
23,481,-0.7056996822,3.32745266,1
23,497,6.177380562,2.294371605,1
23,513,3.105475903,-6.158715725,1
23,529,1.527246475,2.43277669,1
23,545,1.005600691,4.643640518,1
23,561,2.431962967,3.947108269,1
23,577,2.816230297,1.001955032,1
23,593,3.283630371,-0.1463439465,1
23,609,3.703287125,0.99591434,1
23,625,7.513138771,6.604923248,1
23,641,0.9936211109,1.125676155,1
23,657,1.465574026,1.086248398,1
23,673,2.686855316,1.963760138,1
23,689,2.974123001,2.816310406,1
23,705,1.794041514,2.487731457,1
23,721,1.503117442,1.314404011,1
23,737,0.7255034447,2.052508354,1
23,753,2.068263531,2.630349636,1
23,769,2.840090275,3.639245033,1
23,785,3.288783073,2.735253334,1
23,801,3.843631983,2.425001144,1
23,817,3.849048853,1.523388624,1
23,833,-4.555984974,5.982438087,1
23,849,6.994477272,-7.406815052,1
23,865,2.928230047,0.1142084599,1
23,881,2.810258627,1.250394225,1
23,897,3.027858973,3.635134697,1
23,913,5.61090374,6.795777321,1
23,929,-1.106686831,0.6757354736,1
23,945,3.617000818,13.42328167,1
23,961,2.303339958,6.095072746,1
23,977,-6.648620129,5.922253609,1
23,993,1.556704044,3.45315218,1
23,1009,3.562805653,0.964319706,1
23,1025,8.110499382,-7.699938774,1
23,1041,7.837853909,-6.938189507,1
23,1057,1.311650276,0.44379282,1
23,1073,2.4122715,1.693049669,1
23,1089,4.069140434,2.222575188,1
23,1105,5.332065105,1.307322264,1
23,1121,4.748222351,2.331969023,1
23,1137,5.557553291,3.247770309,1
23,1153,6.299530506,4.438745499,1
23,1169,5.229899406,5.831227303,1
23,1185,4.626939774,1.557390928,1
23,1201,6.751561165,2.246841431,1
23,1217,9.978687286,4.564266205,1
23,1233,8.102113724,4.357701778,1
23,1249,4.56264019,2.643480778,1
23,1265,3.81649065,3.821841717,1
23,1281,4.717368126,4.262966156,1
23,1297,3.707363129,2.441739321,1
23,1313,3.529289961,1.00351727,1
23,1329,1.648389339,1.559512258,1
23,1345,1.974453211,2.748512268,1
23,1361,3.97271347,1.132186055,1
