PIVlab, ASCII chart output - 12-Jun-2024
FRAME: 30, filenames: A:[30]MAX_Pos00d_TimeSrs0004_TgKrt18GFP_K4K8MO.avi & B:[31]MAX_Pos00d_TimeSrs0004_TgKrt18GFP_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
23,17,-5.577787399,4.260188103,1
23,33,0.3457808495,-4.358359337,1
23,49,6.277358532,6.478665352,1
23,65,7.468812466,-9.516652107,1
23,81,10.75958729,0.2051028013,1
23,97,1.314549327,3.160737514,1
23,113,0.8146467209,7.013318539,1
23,129,0.002284646034,7.241799355,1
23,145,-2.938943386,-5.916999817,1
23,161,-4.441759109,0.721791029,1
23,177,-2.142763376,-2.468694448,1
23,193,-0.7924673557,-1.730511904,1
23,209,-5.113147259,-1.181060314,1
23,225,-4.308899403,1.947167635,1
23,241,-2.531511545,3.915796757,1
23,257,0.6182067394,6.347076416,1
23,273,0.6936048269,6.30405283,1
23,289,-0.2946785092,0.4149004817,1
23,305,0.8313906193,-0.6493653655,1
23,321,2.021977425,-0.210370779,1
23,337,1.734121084,3.102252483,1
23,353,8.861115456,6.314184666,1
23,369,4.568637848,-2.392926216,1
23,385,1.110886335,5.495505333,1
23,401,-6.387546539,8.609909058,1
23,417,-7.233547211,-2.900069237,1
23,433,9.471979141,7.317752838,1
23,449,1.609830856,7.866336823,1
23,465,-1.964682937,2.127105713,1
23,481,-4.511479378,1.098933697,1
23,497,3.393845797,10.66956139,1
23,513,1.065510273,2.451292038,1
23,529,3.217588902,0.002931833267,1
23,545,10.5259409,-0.9704532623,1
23,561,3.604332924,1.922641277,1
23,577,4.528426647,1.767727613,1
23,593,4.88478899,1.123884082,1
23,609,2.590910912,1.317126751,1
23,625,2.649484396,2.278837681,1
23,641,3.233192444,2.53816843,1
23,657,-0.7070922852,2.685127735,1
23,673,3.426105499,3.532623291,1
23,689,2.275829315,2.729030848,1
23,705,4.813904762,7.563406944,1
23,721,1.086531401,-2.285209894,1
23,737,0.4626693726,0.3698028326,1
23,753,-0.4073342085,1.220686793,1
23,769,-3.811077833,1.832089663,1
23,785,-4.101180077,3.131519079,1
23,801,-5.858118534,3.166231632,1
23,817,-11.24446964,5.163407803,1
23,833,-1.653597832,1.298663139,1
23,849,-9.681568146,-4.577970505,1
23,865,-0.5425124168,3.540728569,1
23,881,-0.7222707272,1.565258741,1
23,897,2.744775772,-4.293985844,1
23,913,2.043612957,-3.422472477,1
23,929,-1.230588436,-1.59739542,1
23,945,-0.1658265591,-0.2303080559,1
23,961,-8.714841843,-2.365657806,1
23,977,-2.122960567,1.760787964,1
23,993,-2.461132526,3.379741192,1
23,1009,-4.367493629,10.26947021,1
23,1025,-9.24629879,2.258601189,1
23,1041,1.178588152,4.970484734,1
23,1057,-9.596699715,2.775570393,1
23,1073,-8.866467476,5.004472256,1
23,1089,-5.190998554,11.18182087,1
23,1105,-4.326560497,12.00195313,1
23,1121,1.0280478,-2.405760288,1
23,1137,-4.939167976,11.43998051,1
23,1153,4.477249622,9.895462036,1
23,1169,7.128987312,5.284073353,1
23,1185,0.7128181458,6.501317024,1
23,1201,0.9117982388,5.183168411,1
23,1217,-1.151792765,-5.144243717,1
23,1233,-0.7364497185,3.278597355,1
23,1249,-2.17591095,4.688641071,1
23,1265,-2.509979486,7.522208214,1
23,1281,-9.685796738,4.45174408,1
23,1297,-9.221392632,2.680900812,1
23,1313,-9.163740158,1.513502002,1
23,1329,7.094159603,-4.071766853,1
23,1345,8.47760582,-2.608421326,1
23,1361,0.2029047012,3.587325335,1
23,1377,2.05018115,5.453182697,1
23,1393,0.9957211018,6.792637825,1
23,1409,-1.029042006,3.976661682,1
23,1425,-0.5492934585,6.426395893,1
23,1441,-0.6915912032,4.615318298,1
23,1457,-0.2806880474,3.915569305,1
23,1473,0.2755496502,3.955937862,1
23,1489,1.259798527,4.00992775,1
23,1505,1.768465281,4.508627892,1
23,1521,0.8391994238,3.677745819,1
23,1537,-1.59530735,3.462300301,1
23,1553,0.8833258152,2.748192072,1
23,1569,8.247385025,-2.298603535,1
23,1585,1.888484716,13.52078152,1
23,1601,-9.582303047,3.682512283,1
23,1617,-17.93499756,0.6448659897,1
23,1633,-14.70948696,-4.260167122,1
23,1649,-13.41128826,-5.0484128,1
23,1665,0.5032416582,0.85785532,1
23,1681,-0.9204854965,-9.876887321,1
23,1697,-1.673276901,0.279450655,1
23,1713,-1.706217766,3.725766182,1
23,1729,1.621037483,9.321221352,1
23,1745,7.127011299,11.15822506,1
23,1761,1.873663187,2.818132401,1
23,1777,7.703655243,-4.814135551,1
23,1793,-0.667370379,-2.025933266,1
23,1809,-0.2866199017,1.283655643,1
23,1825,-3.342719555,8.864717484,1
23,1841,3.966098785,6.437190056,1
23,1857,0.668585062,1.826596498,1
23,1873,-1.459892511,5.520318508,1
23,1889,-2.66259408,3.780382633,1
23,1905,-8.421325684,6.476222992,1
23,1921,-7.858677864,0.598862648,1
23,1937,4.042712212,1.754096746,1
23,1953,1.478031158,7.855363369,1
23,1969,0.4428621531,1.076345682,1
23,1985,-1.96589303,-0.162113905,1
23,2001,-4.198378086,-0.2644708157,1
23,2017,-2.383413792,3.911307812,1
23,2033,5.700345993,7.82618618,1
39,17,-4.515447617,9.077371597,1
39,33,-0.9540225267,5.366283417,1
39,49,-0.1276562214,-1.376701832,1
39,65,1.988632679,-4.048987389,1
39,81,-0.605253458,1.198846579,1
39,97,-0.8232936859,2.429545164,1
39,113,-0.7323977947,2.567666054,1
39,129,-0.8856303692,0.1130838394,1
39,145,-2.916296959,-6.751366138,1
39,161,-4.918535233,1.624783874,1
39,177,-4.439143181,1.522588491,1
39,193,-2.740388632,1.084347963,1
39,209,-3.182538033,0.6465722322,1
39,225,-2.376656055,0.8753349781,1
39,241,-0.8616240025,1.915807724,1
39,257,0.3441905379,2.540986538,1
39,273,-0.1124869138,1.964360714,1
39,289,-0.2720711231,0.8836169243,1
39,305,-0.4135325849,0.4393109381,1
39,321,-0.07193410397,0.7665272951,1
39,337,6.580468178,-0.8725556135,1
39,353,6.639497757,-0.35755229,1
39,369,0.9448133707,2.579670906,1
39,385,-0.1478692293,2.51078105,1
39,401,-1.732011795,2.318409443,1
39,417,-1.713801861,2.230472326,1
39,433,8.27460289,4.210440636,1
39,449,8.184516907,5.055981636,1
39,465,-1.080878377,2.910028934,1
39,481,-1.925728798,-4.723718643,1
39,497,-2.976271629,3.028616905,1
39,513,1.855015278,2.001464844,1
39,529,4.212080002,1.576181173,1
39,545,3.068410873,2.56544733,1
39,561,2.706330538,3.567788601,1
39,577,2.700318575,2.866368055,1
39,593,2.582209826,-6.437365532,1
39,609,3.995294094,1.373847961,1
39,625,3.289621592,3.148631096,1
39,641,4.23516655,2.121423244,1
39,657,5.028868675,2.899246931,1
39,673,2.344023705,3.408992767,1
39,689,-0.776910305,3.143978119,1
39,705,4.75429821,2.331398487,1
39,721,2.881442547,2.421908379,1
39,737,1.85778594,1.856903076,1
39,753,0.3698683977,2.45669961,1
39,769,-1.061787367,2.115617037,1
39,785,-2.175621986,3.269859314,1
39,801,-6.863042831,4.385921001,1
39,817,-7.247214317,3.961200714,1
39,833,-11.14803696,2.359280109,1
39,849,-7.922836304,-4.330978394,1
39,865,-0.566624403,5.4129529,1
39,881,-2.430864811,2.060889721,1
39,897,-2.483106613,-7.203565598,1
39,913,-1.511260986,-8.609107971,1
39,929,-7.319422722,6.3002882,1
39,945,5.799989223,-3.625407219,1
39,961,3.025953293,-6.416048527,1
39,977,-1.836256742,3.912410498,1
39,993,-2.296944857,4.30988884,1
39,1009,-0.7807375193,5.376921654,1
39,1025,-0.9519747496,4.289991856,1
39,1041,-1.493565917,4.733355045,1
39,1057,-7.075902939,4.563916206,1
39,1073,-8.81771946,5.81039238,1
39,1089,-5.612101078,-3.410779953,1
39,1105,-0.8329921365,11.61330986,1
39,1121,-3.46439743,4.124552727,1
39,1137,0.4372451305,-5.028734684,1
39,1153,-5.663016796,10.72524834,1
39,1169,-5.804480553,10.42528725,1
39,1185,0.2581316233,6.562085152,1
39,1201,7.089130878,5.38010788,1
39,1217,3.676207542,-4.880693913,1
39,1233,-3.228571653,3.635202885,1
39,1249,-3.926108122,5.523646355,1
39,1265,-1.391616821,3.849828243,1
39,1281,-8.801556587,3.102380276,1
39,1297,-8.41510582,1.040638447,1
39,1313,-8.075414658,1.398820877,1
39,1329,2.651097059,11.03867245,1
39,1345,5.040384293,10.57483101,1
39,1361,-0.7164586782,3.484725475,1
39,1377,-0.6464294195,4.817176342,1
39,1393,-0.5238227248,5.502111435,1
39,1409,-0.6006253958,6.150818348,1
39,1425,0.1790444255,5.311889172,1
39,1441,0.4029321373,4.891403198,1
39,1457,0.5483304858,4.183022022,1
39,1473,0.5931231976,3.286619663,1
39,1489,6.642117977,-3.252399445,1
39,1505,9.533295631,0.7213299274,1
39,1521,-3.784290791,-4.478395462,1
39,1537,-1.806650758,4.801641941,1
39,1553,5.79660511,-4.173749924,1
39,1569,0.6191339493,3.790297508,1
39,1585,-9.67274189,6.9192729,1
39,1601,-4.79557085,4.762758255,1
39,1617,-7.979109764,5.483232021,1
39,1633,-3.202591896,1.890072823,1
39,1649,-11.36799431,-3.699640274,1
39,1665,-7.354329109,-4.98820591,1
39,1681,-2.048853397,-1.834732771,1
39,1697,-6.694162369,0.8853080273,1
39,1713,-0.9581978321,4.802316189,1
39,1729,-0.7395359874,-2.596538067,1
39,1745,-0.1038688421,-1.501616955,1
39,1761,-5.19777441,7.392840385,1
39,1777,-2.661579132,4.141218662,1
39,1793,-0.1509497166,-0.04972529411,1
39,1809,-3.613694668,4.299897194,1
39,1825,3.70723629,8.677797318,1
39,1841,1.613705397,2.836998224,1
39,1857,0.07933062315,-0.2156739235,1
39,1873,-3.698467255,2.011675358,1
39,1889,0.7065272927,-7.551471233,1
39,1905,-4.787633896,-6.542962551,1
39,1921,1.080668569,1.05286479,1
39,1937,2.257762432,0.614112854,1
39,1953,2.232633352,0.9653352499,1
39,1969,0.566919148,2.062461138,1
39,1985,-1.662834644,2.500843048,1
39,2001,-2.997052193,2.016872644,1
39,2017,-2.745305061,9.513525009,1
39,2033,9.142492294,-1.615139365,1
