PIVlab, ASCII chart output - 12-Jun-2024
FRAME: 1, filenames: A:[1]MAX_Pos00d_TimeSrs0004_TgKrt18GFP_K4K8MO.avi & B:[2]MAX_Pos00d_TimeSrs0004_TgKrt18GFP_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
23,17,34.20961761,41.70005417,1
23,33,13.37693882,31.64004707,1
23,49,7.908278465,22.27875137,1
23,65,14.64352036,24.21159935,1
23,81,15.53870392,28.74268723,1
23,97,15.3522253,28.85926437,1
23,113,15.02322197,32.25243378,1
23,129,17.1735611,25.91684341,1
23,145,15.77715874,25.77734756,1
23,161,16.31557655,27.40466118,1
23,177,19.46797371,26.16453934,1
23,193,15.49745369,25.87559509,1
23,209,13.59912777,21.78152084,1
23,225,21.60519791,16.48231888,1
23,241,16.95507622,23.86938477,1
23,257,18.26818657,24.19252396,1
23,273,20.46797562,24.67267799,1
23,289,22.07095528,25.19518471,1
23,305,14.6171236,20.04925537,1
23,321,12.99226284,25.00192261,1
23,337,20.13779449,17.6995163,1
23,353,19.30392075,35.02112961,1
23,369,13.56281281,29.45329857,1
23,385,14.82816982,31.20575142,1
23,401,19.97658157,39.22029495,1
23,417,32.15290833,33.79853058,1
23,433,33.54358673,32.13884354,1
23,449,21.60812378,17.82586861,1
23,465,26.62069511,30.03972435,1
23,481,24.30666161,33.61038208,1
23,497,24.77929878,29.66963959,1
23,513,29.86185455,26.69101715,1
23,529,26.36135483,25.05161667,1
23,545,28.20704651,27.67412186,1
23,561,30.20747948,29.39310837,1
23,577,29.28949356,27.19343567,1
23,593,31.53093719,29.23171425,1
23,609,37.61685562,19.72010612,1
23,625,35.84522247,28.41755867,1
23,641,34.1746521,28.55820084,1
23,657,32.65132141,28.33743477,1
23,673,31.92245865,28.12527847,1
23,689,40.86434174,23.44836807,1
23,705,35.99741364,15.88648605,1
23,721,32.20560455,23.45417404,1
23,737,32.30635834,25.38152885,1
23,753,33.83424377,26.24773026,1
23,769,34.90769958,26.25242233,1
23,785,34.08428955,25.19171906,1
23,801,33.5550499,26.416996,1
23,817,33.94158936,27.29507446,1
23,833,35.54138184,25.44843483,1
23,849,35.20600891,26.10325623,1
23,865,35.47310638,24.63096809,1
23,881,40.06075287,19.93640709,1
23,897,40.81141663,19.20018768,1
23,913,41.46722031,19.57172012,1
23,929,30.42778015,27.13784409,1
23,945,38.84085464,23.06797791,1
23,961,46.96204376,18.69823456,1
23,977,41.60829926,16.20757866,1
23,993,41.90598297,15.69294548,1
23,1009,42.67458344,16.92246246,1
23,1025,41.86393356,15.6472702,1
23,1041,42.60113525,17.88937187,1
23,1057,45.45162582,13.32840347,1
23,1073,41.10170746,13.78178406,1
23,1089,39.13121414,15.41607857,1
23,1105,41.52851105,16.0331955,1
23,1121,41.45256805,13.63131428,1
23,1137,42.71910858,11.05822468,1
23,1153,41.17636108,9.7742033,1
23,1169,41.3611908,4.64949131,1
23,1185,41.62186432,1.869492531,1
23,1201,46.15851593,3.888317108,1
23,1217,50.47775269,8.134166718,1
23,1233,51.1391716,9.927821159,1
23,1249,50.11858368,16.5288887,1
23,1265,48.60769272,4.415901661,1
23,1281,49.59196472,1.57686615,1
23,1297,50.79975128,1.582888842,1
23,1313,51.16156769,2.43047452,1
23,1329,49.42982101,3.136445522,1
23,1345,46.88724136,2.220994949,1
23,1361,45.60188675,-2.433669567,1
23,1377,42.82723999,-3.521982193,1
23,1393,42.73321152,-1.608229399,1
23,1409,43.32070541,-3.204076767,1
23,1425,38.84094238,-5.515566349,1
23,1441,37.97683334,-1.075046062,1
23,1457,42.34079742,-5.18489027,1
23,1473,47.17475128,-16.05974388,1
23,1489,52.00889969,-14.50634003,1
23,1505,38.5247879,-3.985765457,1
23,1521,39.29920578,-10.41548634,1
23,1537,41.4617424,-11.38739777,1
23,1553,51.10009003,-10.36004448,1
23,1569,40.55341339,-8.299538612,1
23,1585,39.75347137,-5.873953819,1
23,1601,37.88635254,-5.512154102,1
23,1617,35.71138763,-7.819320679,1
23,1633,42.19963455,-7.733528137,1
23,1649,33.55647278,-9.906457901,1
23,1665,30.39286423,-9.010234833,1
23,1681,27.79582214,-10.14854431,1
23,1697,26.12637329,-8.437591553,1
23,1713,21.10961723,-5.459635258,1
23,1729,32.91918182,-14.80924988,1
23,1745,25.3895874,-0.2053618431,1
23,1761,18.14623833,-9.12164402,1
23,1777,15.6473341,-19.2689724,1
23,1793,15.11892319,-9.296743393,1
23,1809,18.82091713,-21.04157639,1
23,1825,27.61133575,-14.93103981,1
23,1841,35.53606415,-11.91984177,1
23,1857,31.62361336,-8.305433273,1
23,1873,24.92422676,-16.41861343,1
23,1889,23.88721657,-21.64299202,1
23,1905,25.37235069,-13.90281582,1
23,1921,19.22234917,-13.73253059,1
23,1937,11.87275791,-18.33939743,1
23,1953,13.87602329,-5.989562035,1
23,1969,20.25703049,-11.65851498,1
23,1985,21.55375671,-11.76092911,1
23,2001,15.76111889,-13.89408112,1
23,2017,22.54020691,-17.60093498,1
23,2033,34.2883873,-27.02517891,1
39,17,21.82224655,32.64951706,1
39,33,14.53097057,30.97258568,1
39,49,12.66515923,28.40611839,1
39,65,17.03402328,26.70561981,1
39,81,14.90449715,27.32380295,1
39,97,14.24326801,25.708992,1
39,113,15.51034737,27.37876129,1
39,129,16.13837624,26.82205963,1
39,145,15.61264229,27.63505745,1
39,161,14.22867775,27.24430275,1
39,177,14.50376606,24.76535416,1
39,193,16.98866463,23.68538284,1
39,209,16.43630981,23.71481133,1
39,225,14.91555786,21.96854782,1
39,241,22.81830025,17.81552696,1
39,257,18.86227798,25.34747314,1
39,273,19.63467407,25.46996307,1
39,289,19.97576714,25.75497437,1
39,305,19.88258171,26.23893547,1
39,321,20.22325516,26.71265411,1
39,337,22.09851265,26.00019264,1
39,353,17.90203476,18.22704887,1
39,369,22.30198097,27.17994881,1
39,385,24.42369652,25.55995941,1
39,401,20.31593704,21.16519928,1
39,417,19.40603256,23.00394821,1
39,433,33.41270828,29.56055641,1
39,449,31.54768372,28.61143494,1
39,465,20.1243782,21.46346283,1
39,481,24.85582733,27.31755257,1
39,497,25.63586998,27.44834518,1
39,513,27.47996521,27.17761803,1
39,529,23.65942192,21.90566063,1
39,545,30.83145905,27.65024376,1
39,561,32.08444214,26.87749863,1
39,577,32.84308624,27.35883522,1
39,593,32.59470367,28.10268974,1
39,609,29.32386017,20.92436218,1
39,625,33.71722412,28.10299492,1
39,641,33.1529007,28.46095467,1
39,657,32.76628876,28.60853577,1
39,673,32.83862305,28.61429977,1
39,689,32.6897583,25.43981361,1
39,705,32.54880524,23.8356514,1
39,721,32.80105591,24.43191338,1
39,737,32.55313873,25.51409531,1
39,753,33.26490784,25.82804489,1
39,769,34.85076523,25.43015862,1
39,785,36.26828766,24.96875572,1
39,801,35.42858887,24.88937759,1
39,817,33.24163818,24.13931465,1
39,833,34.77050018,24.14295006,1
39,849,41.81229019,22.34903717,1
39,865,35.87804031,24.53721809,1
39,881,43.67310715,20.26187515,1
39,897,28.73461151,24.35177231,1
39,913,42.34327698,22.67445755,1
39,929,38.92467499,23.94789886,1
39,945,39.3375473,21.48684692,1
39,961,41.04133606,18.81634903,1
39,977,43.23936462,17.55551147,1
39,993,44.59299469,16.36759758,1
39,1009,43.26822662,15.96640778,1
39,1025,43.14290619,12.34911442,1
39,1041,38.5304184,20.95228386,1
39,1057,44.88962555,18.70739746,1
39,1073,42.38927078,16.71043015,1
39,1089,42.49666595,16.42462921,1
39,1105,43.77217865,14.43161583,1
39,1121,42.63269806,14.46906662,1
