PIVlab, ASCII chart output - 12-Jun-2024
FRAME: 4, filenames: A:[4]MAX_Pos00d_TimeSrs0004_TgKrt18GFP_K4K8MO.avi & B:[5]MAX_Pos00d_TimeSrs0004_TgKrt18GFP_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
23,17,6.221208572,-1.155622959,1
23,33,7.426575661,-2.002334118,1
23,49,6.365909576,-0.9726138115,1
23,65,1.224269867,-0.8185548782,1
23,81,4.009142876,1.437213421,1
23,97,2.925119877,2.240619659,1
23,113,-6.575431824,2.1743083,1
23,129,1.037156463,6.528158188,1
23,145,-0.2066563964,5.0918293,1
23,161,-0.09335935116,6.518729687,1
23,177,1.127524376,7.398938179,1
23,193,1.257534504,2.541754961,1
23,209,0.9528967142,0.9828542471,1
23,225,-1.359655499,1.652562022,1
23,241,1.173197746,5.22645998,1
23,257,6.635738373,5.681070328,1
23,273,0.5976614952,3.503127337,1
23,289,1.628174067,4.143262863,1
23,305,-0.9315253496,2.860939503,1
23,321,-1.893394351,1.9292382,1
23,337,-9.16476059,1.188908935,1
23,353,-1.322706699,1.895931482,1
23,369,-6.399357319,2.323822021,1
23,385,-7.979133606,3.576334953,1
23,401,-0.4710398912,1.557815313,1
23,417,1.066995502,2.056139469,1
23,433,-0.1360583305,1.005235195,1
23,449,-0.4791646004,0.6134066582,1
23,465,3.07702446,13.07329178,1
23,481,-2.073935747,3.297263145,1
23,497,-3.019644976,3.856375217,1
23,513,-2.088820457,3.384870529,1
23,529,-0.4997395277,0.5341695547,1
23,545,-7.156769276,-5.324962616,1
23,561,-2.082569599,1.557861567,1
23,577,-3.526330471,2.625038624,1
23,593,-9.924175262,-3.144503117,1
23,609,-8.496244431,-5.014019012,1
23,625,1.138701439,-2.020563602,1
23,641,2.600217581,-2.28360939,1
23,657,-6.572280884,-3.04129982,1
23,673,-3.830267906,5.923623085,1
23,689,0.1453946829,4.668023109,1
23,705,-6.204586983,-1.623073101,1
23,721,9.987077713,-2.61620307,1
23,737,-6.169524193,3.247859001,1
23,753,0.2526774406,0.5438960791,1
23,769,1.145573139,-1.220599055,1
23,785,1.531897426,-0.1646995544,1
23,801,1.626531243,0.1558470726,1
23,817,1.98584795,0.427423954,1
23,833,1.048582554,-0.1074320078,1
23,849,10.55241013,-6.355751991,1
23,865,2.868084908,-0.9421517253,1
23,881,4.80251503,0.43587327,1
23,897,6.811945915,2.614177465,1
23,913,7.700985909,3.286473274,1
23,929,6.852057457,4.577547073,1
23,945,4.290764809,0.1345801353,1
23,961,2.774771452,5.133079052,1
23,977,8.275119781,3.184244633,1
23,993,5.61580658,-4.515388012,1
23,1009,7.841971397,3.284710884,1
23,1025,5.085185051,11.47834301,1
23,1041,4.766105652,3.172071218,1
