PIVlab, ASCII chart output - 12-Jun-2024
FRAME: 8, filenames: A:[8]MAX_Pos00d_TimeSrs0004_TgKrt18GFP_K4K8MO.avi & B:[9]MAX_Pos00d_TimeSrs0004_TgKrt18GFP_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
23,17,7.174738884,-20.34815979,1
23,33,1.054676056,-0.5550426245,1
23,49,-2.149638414,4.850618839,1
23,65,-0.03775477409,2.33161068,1
23,81,2.444535255,3.253830433,1
23,97,7.973327637,-8.035033226,1
23,113,5.318144798,-0.5418970585,1
23,129,3.73549962,2.353002071,1
23,145,1.125602484,4.659247398,1
23,161,-1.513603449,4.41940546,1
23,177,-0.9395909309,7.112582207,1
23,193,-1.260766864,-0.8214153051,1
23,209,-2.183291912,0.1552457809,1
23,225,-1.174768686,2.62204814,1
23,241,2.310287476,3.634910107,1
23,257,2.854546547,5.35392046,1
23,273,3.64783287,0.840539813,1
23,289,10.96090984,1.672502041,1
23,305,13.72669792,-4.018952847,1
23,321,3.091962814,-2.108757019,1
23,337,7.919688225,3.687378645,1
23,353,3.788742065,3.283938885,1
23,369,11.66213417,5.75211525,1
23,385,13.55313683,-0.6505907774,1
23,401,11.096838,-0.2094728947,1
23,417,-7.671126366,-2.831974268,1
23,433,-5.289878845,-2.285612583,1
23,449,9.843985558,4.648480892,1
23,465,3.925249577,9.339792252,1
23,481,12.31981373,0.4178828597,1
23,497,1.460179687,1.578840494,1
23,513,-2.013290405,-6.493591309,1
23,529,0.3730444908,3.458670616,1
23,545,1.298220754,5.495542049,1
23,561,1.947229743,5.747148514,1
23,577,0.5004924536,4.513192177,1
23,593,1.173454762,6.288179398,1
23,609,1.879667521,4.205210209,1
23,625,2.374867678,4.540950775,1
23,641,-2.915796757,6.667424202,1
23,657,0.299326539,2.28881073,1
23,673,0.8516037464,1.678500891,1
23,689,2.129361629,1.720473289,1
23,705,3.382812023,1.955293179,1
23,721,3.894917965,3.201812506,1
23,737,3.730174541,4.17203474,1
23,753,3.712451935,3.228245258,1
23,769,3.209703922,0.8723080158,1
23,785,2.557171345,3.453191757,1
23,801,2.21665287,3.925434589,1
23,817,0.7962269783,11.67630482,1
23,833,4.180027008,3.023605824,1
23,849,4.377260208,3.160753012,1
23,865,3.074693441,3.3392694,1
23,881,3.157887936,2.511496782,1
23,897,3.123778105,1.611248493,1
23,913,3.37301755,3.711319447,1
23,929,3.339564323,6.803620338,1
23,945,3.362704754,5.442927361,1
23,961,3.501323462,3.330868721,1
23,977,2.143404007,5.191483498,1
23,993,-0.5591688156,10.27151203,1
23,1009,1.238524675,4.749235153,1
23,1025,1.8869133,2.260652065,1
23,1041,0.01537156105,1.821807861,1
23,1057,1.411704063,2.392357588,1
23,1073,2.985123158,3.509042263,1
23,1089,4.299431801,4.431074619,1
23,1105,3.981007099,4.380683422,1
23,1121,2.850334644,4.458941936,1
23,1137,2.850247383,5.473562241,1
23,1153,3.556964397,5.415271282,1
23,1169,11.06600761,-2.973075867,1
23,1185,6.666821003,3.045034647,1
23,1201,11.02626991,5.367403507,1
23,1217,2.669954777,-6.322037697,1
23,1233,-0.2189159393,-4.207802773,1
23,1249,-0.8005161285,-2.129928589,1
23,1265,9.851160049,2.927367926,1
23,1281,8.025230408,1.418885469,1
23,1297,6.653185844,0.3723843098,1
23,1313,5.337504387,-1.93725419,1
23,1329,5.75213623,-2.746537924,1
23,1345,5.424946785,-0.2189531326,1
23,1361,9.023097038,-0.4035768509,1
23,1377,8.08645153,0.04223161936,1
23,1393,0.9352912903,1.144244909,1
23,1409,3.539361715,0.4053402543,1
23,1425,2.66244483,-0.3947286606,1
23,1441,4.787464142,-4.651376247,1
23,1457,4.249491215,-3.583984852,1
23,1473,2.846417427,0.4423635006,1
23,1489,4.249569893,-0.5571175814,1
23,1505,5.475397587,-0.4107673168,1
23,1521,5.101804733,-7.035744667,1
23,1537,4.520704269,-0.01490885019,1
23,1553,4.292331219,0.6720399261,1
23,1569,4.920464516,1.023029566,1
23,1585,-3.496582985,-2.643999338,1
23,1601,5.643620968,5.125397682,1
23,1617,4.896621227,3.992129326,1
23,1633,4.139715195,4.359654427,1
23,1649,3.684601068,3.184658051,1
23,1665,2.852777243,2.325322151,1
23,1681,0.8518123627,1.760955811,1
23,1697,2.308859825,-0.1113091707,1
23,1713,6.034971714,-0.2274580002,1
23,1729,9.433251381,-0.2522714138,1
23,1745,-0.2967214584,-0.202080965,1
23,1761,-3.046167374,0.9430603981,1
23,1777,-2.320922375,6.671521187,1
23,1793,5.082046032,9.232049942,1
23,1809,7.819838524,7.545497894,1
23,1825,3.965205193,-7.256903648,1
23,1841,3.356142044,-0.5218372345,1
23,1857,8.278450966,7.265707493,1
23,1873,13.1494751,-4.43726635,1
23,1889,3.629708052,-11.3296299,1
23,1905,6.854364395,-7.228499889,1
23,1921,0.3985440731,-0.5240941048,1
23,1937,-1.223465204,1.253839731,1
23,1953,-0.8418853283,1.798690319,1
23,1969,0.08594310284,1.443544269,1
23,1985,2.124270678,0.7269806862,1
23,2001,7.055206299,-2.596615314,1
23,2017,4.774309158,-0.4946556687,1
23,2033,-3.881087065,2.930905342,1
39,17,-0.522046566,0.1062295437,1
39,33,1.376620293,0.08358371258,1
39,49,1.54342556,0.254339695,1
39,65,1.107226133,-0.5180053711,1
