PIVlab, ASCII chart output - 12-Jun-2024
FRAME: 69, filenames: A:[69]MAX_Pos00d_TimeSrs0004_TgKrt18GFP_K4K8MO.avi & B:[70]MAX_Pos00d_TimeSrs0004_TgKrt18GFP_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
23,17,8.591081619,2.725716591,1
23,33,0.4798727036,-2.596102238,1
23,49,5.015620232,2.133077383,1
23,65,5.199785233,1.939405203,1
23,81,1.097140074,2.395720482,1
23,97,2.104982376,2.38782382,1
23,113,9.638207436,-4.085277081,1
23,129,-4.948925018,-5.00165987,1
23,145,-1.587095737,-0.6615117788,1
23,161,-3.936689854,0.9544608593,1
23,177,-5.056939602,-4.204229832,1
23,193,-5.92875576,-2.50783062,1
23,209,8.284212112,0.04626941681,1
23,225,1.540144682,5.871810436,1
23,241,3.992212296,7.137010574,1
23,257,0.8915038109,6.845999241,1
23,273,-6.246005535,1.416392803,1
23,289,-0.4483027458,4.256874084,1
23,305,4.435482979,12.00998974,1
23,321,-0.7416232824,6.949100494,1
23,337,-10.14184093,-1.046051979,1
23,353,-15.17180061,-2.979635,1
23,369,-5.244600296,1.786732912,1
23,385,-1.263697147,2.049683571,1
23,401,-1.491155386,2.992238998,1
23,417,3.712453842,3.051246643,1
23,433,1.385497808,5.084562302,1
23,449,-2.725447178,5.49296093,1
23,465,-3.861755371,6.278820038,1
23,481,-0.6813758612,3.392794609,1
23,497,3.544807434,4.513525486,1
23,513,6.767529488,5.526146889,1
23,529,9.74314785,6.020555973,1
23,545,1.305329323,2.540482998,1
23,561,3.474502087,-1.34988904,1
23,577,2.413604975,3.060385704,1
23,593,1.641121149,6.869187355,1
23,609,1.593518019,7.120697498,1
23,625,3.43255806,6.53793478,1
23,641,3.887105465,6.187684536,1
23,657,3.75146389,4.859046936,1
23,673,2.513130426,7.529294014,1
23,689,1.813152671,4.110678673,1
23,705,-8.159017563,2.512930393,1
23,721,1.569870591,5.304393768,1
23,737,-0.6134486198,5.606887341,1
23,753,-3.331181526,2.931956768,1
23,769,-4.818611622,1.157429218,1
23,785,-2.05111599,6.060212135,1
23,801,-0.6747398376,7.33854866,1
23,817,-1.510482311,4.22520256,1
23,833,0.640329957,4.062018394,1
23,849,-1.210683942,5.411744595,1
23,865,-0.6369912624,6.676774502,1
23,881,-0.8637193441,5.035204887,1
23,897,-2.676189184,5.438959122,1
23,913,-6.84091568,14.43995285,1
23,929,-3.168343544,6.826180458,1
23,945,-1.54051137,9.043192863,1
23,961,-1.118530512,8.792895317,1
23,977,-3.492274046,-6.711193085,1
23,993,-2.141885519,-8.047672272,1
23,1009,-1.193042994,8.718599319,1
23,1025,-0.3817417622,12.23085022,1
23,1041,0.9154844284,0.6591653824,1
23,1057,5.416488647,1.55534935,1
23,1073,2.053056955,8.320717812,1
23,1089,-1.018244863,4.896539688,1
23,1105,-0.1975150108,4.913506508,1
23,1121,0.3489398956,1.401273251,1
23,1137,-9.801237106,0.8585639,1
23,1153,-5.620123386,5.669045448,1
23,1169,-5.379172325,2.809935331,1
23,1185,-8.564528465,-7.008823395,1
23,1201,-3.306193352,-1.08567071,1
23,1217,-4.317663193,3.196368456,1
23,1233,-4.447505951,3.861577988,1
23,1249,-2.41076231,4.195167065,1
23,1265,9.42341423,2.764286041,1
23,1281,10.99167824,4.8958745,1
23,1297,2.353569508,4.714262962,1
23,1313,-0.1271663904,4.725035667,1
23,1329,-1.835090518,-1.422685623,1
23,1345,-0.6086179018,3.883721828,1
23,1361,5.055628777,0.5430431366,1
23,1377,7.346251965,-1.446985006,1
23,1393,-1.306369781,0.2962696552,1
23,1409,-1.357076168,1.635252714,1
23,1425,8.281817436,0.460695982,1
23,1441,9.187229156,0.9113745689,1
23,1457,10.51319027,2.107376575,1
23,1473,-7.405294895,-0.4486551285,1
23,1489,7.585410118,5.239466667,1
23,1505,-0.6566981077,-4.507860184,1
23,1521,-1.607432485,-1.338504076,1
23,1537,-5.047009468,-9.375797272,1
23,1553,0.5889235735,-0.04375195503,1
23,1569,7.763116837,-0.3530272841,1
23,1585,0.1010445356,0.606500268,1
23,1601,0.04067075253,0.497844398,1
23,1617,2.727524996,10.13739395,1
23,1633,-4.192230225,-3.983261347,1
23,1649,4.927464485,-3.354964256,1
23,1665,-0.3707592487,0.2929503918,1
23,1681,-1.718301535,-0.5334172249,1
23,1697,1.443244457,-2.81964159,1
23,1713,0.8330821395,-2.52200079,1
23,1729,-0.7942328453,-1.969340801,1
23,1745,-1.461677551,6.058315277,1
23,1761,-7.073952675,-7.633158684,1
23,1777,-1.936661243,-3.55880022,1
23,1793,-2.37722373,-0.1894029379,1
23,1809,-5.746953964,5.370839596,1
23,1825,-6.617365837,-2.306807995,1
23,1841,-3.722947598,-1.211887598,1
23,1857,-9.575874329,3.021858692,1
23,1873,2.454387665,-5.949971199,1
23,1889,-1.873568058,-1.95469141,1
23,1905,-4.534729004,-3.570545197,1
23,1921,-4.561330795,-4.58333683,1
23,1937,-9.192919731,-7.119263172,1
23,1953,-15.24028015,-8.489204407,1
23,1969,-10.89936829,-10.03103638,1
23,1985,-2.444119453,-2.761982918,1
23,2001,-1.104550123,-4.897536278,1
23,2017,-1.144407868,-7.365027428,1
23,2033,-3.612933397,-9.709197044,1
39,17,-2.732836723,-0.7500047684,1
39,33,3.643353939,2.917402983,1
39,49,3.470182419,2.731529474,1
39,65,3.294492483,3.402116776,1
39,81,7.296879292,-4.910625935,1
39,97,4.00606823,-1.368071795,1
39,113,-6.083685875,-2.718183041,1
39,129,-7.471079826,1.781950474,1
39,145,8.426202774,2.204036951,1
39,161,5.891431808,-1.599268913,1
39,177,-2.346495152,2.876860142,1
39,193,-3.041807652,2.939201355,1
39,209,-6.26225996,2.992589235,1
39,225,2.846329927,10.7642498,1
39,241,2.968939066,7.153035164,1
39,257,-1.304971576,3.138698578,1
39,273,-1.545091391,-0.7243833542,1
39,289,2.039353609,4.60183382,1
39,305,3.432206631,5.930620193,1
39,321,-0.7290959954,4.639217854,1
39,337,-2.191749811,4.246153355,1
39,353,-10.19009209,1.271128178,1
