PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 8, filenames: A:[8]MAX_1202204_TgUtrmcherry_K4K8MO010.avi & B:[9]MAX_1202204_TgUtrmcherry_K4K8MO010.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-0.06396102905,-0.09866416454,1
47,65,0.8444049358,-0.2080994546,1
47,97,1.166063666,-1.611077547,1
47,129,1.053889155,-1.492517591,1
47,161,0.5346982479,0.3403415084,1
47,193,2.080411673,-0.442103982,1
47,225,2.886529684,-1.954867721,1
47,257,3.023001194,-2.158263206,1
47,289,2.870255709,-1.331356287,1
47,321,1.24887991,-1.37364471,1
47,353,1.53565979,-0.8274052143,1
47,385,3.378734589,-1.723120928,1
47,417,3.866232872,-2.311854124,1
47,449,2.536140442,-2.738123655,1
47,481,1.621901274,-2.870405197,1
47,513,1.052139759,-3.264989376,1
47,545,2.760615349,-3.267517567,1
47,577,4.686041832,-3.484069824,1
47,609,5.136654377,-3.663481712,1
47,641,6.772252083,-4.26334095,1
47,673,7.33240509,-2.137641907,1
47,705,8.60601902,-1.60827136,1
47,737,9.39547348,-0.872191906,1
47,769,8.770124435,-0.3196144104,1
47,801,7.288071632,-1.594383717,1
47,833,5.972146511,-4.255338669,1
47,865,5.525166035,-2.6404953,1
47,897,5.438459396,-2.386778116,1
47,929,4.344941616,-2.993078232,1
47,961,3.683854103,-3.574530363,1
47,993,4.927383423,-2.910243273,1
47,1025,6.078863144,-3.474245787,1
47,1057,7.341323853,-2.68654108,1
47,1089,6.969277382,-1.821294069,1
47,1121,5.57698822,-0.878207922,1
47,1153,4.435847282,-2.068461895,1
47,1185,2.823078156,-2.423983812,1
47,1217,5.687688828,-2.644903183,1
47,1249,6.567638397,-3.090232134,1
47,1281,4.923719406,-3.961150408,1
47,1313,4.674461842,-3.120360374,1
47,1345,4.648753166,-2.179168224,1
47,1377,4.034996033,-4.063323975,1
47,1409,2.832685947,-5.011866093,1
47,1441,0.6814553738,-5.329811096,1
47,1473,-0.3334469795,-5.903809547,1
47,1505,0.9977368116,-5.119983196,1
47,1537,4.036777973,-5.054094315,1
47,1569,5.133062363,-5.037864208,1
47,1601,2.145837784,-3.882511616,1
47,1633,0.2569020987,-1.643678665,1
47,1665,1.174723625,0.6226944923,1
47,1697,-0.009672403336,1.446679115,1
47,1729,0.2441555262,0.9844274521,1
47,1761,0.0105689764,0.449182272,1
47,1793,-0.2235836983,0.1045564413,1
47,1825,-0.2160090208,-0.1433526278,1
47,1857,-0.1562049389,-0.151245892,1
47,1889,-0.3884325624,-0.6367566586,1
47,1921,-0.3646410704,-1.021847963,1
47,1953,-0.253079921,-0.808529377,1
47,1985,0.318033278,-0.1893059611,1
47,2017,0.007594585419,0.1968860626,1
79,33,1.818243146,0.6888787746,1
79,65,1.355284452,-0.3014779091,1
79,97,1.413598776,-2.18785429,1
79,129,1.485013604,-1.746672392,1
79,161,1.940380335,-0.5923141837,1
79,193,2.189589739,-0.9813314676,1
79,225,2.228032827,-1.365790606,1
79,257,2.488132954,-1.448244333,1
79,289,1.761031389,-0.8924559355,1
79,321,1.506749868,-1.021221042,1
79,353,7.518183708,17.47918701,1
79,385,2.861565113,-1.49816525,1
79,417,-16.08736801,-1.025280952,1
79,449,23.00223923,-6.023039818,1
79,481,22.7607193,-5.404089451,1
79,513,-12.52952003,-2.332857609,1
79,545,3.157905579,-5.787223339,1
79,577,4.630714417,-6.121784687,1
79,609,6.051891327,-5.643209457,1
79,641,6.283580303,-5.408259392,1
79,673,6.222575665,-3.378151655,1
79,705,6.781972885,-1.301302075,1
79,737,7.91108799,0.1839008927,1
79,769,6.835420132,-0.5009858608,1
79,801,6.716172695,-2.278753042,1
79,833,7.685799122,-7.328364372,1
79,865,21.59461212,12.02545738,1
79,897,6.169015408,-4.182418346,1
79,929,7.147577763,-4.713170052,1
