PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 2, filenames: A:[2]MAX_1202204_TgUtrmcherry_K4K8MO010.avi & B:[3]MAX_1202204_TgUtrmcherry_K4K8MO010.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,26.54177666,0.05668735504,1
47,65,15.63643837,-0.3029048443,1
47,97,15.41695213,0.2052122355,1
47,129,17.36545753,-0.05066555738,1
47,161,19.47852516,-0.2295997143,1
47,193,21.42606735,0.2123887539,1
47,225,20.70328522,-0.4961277246,1
47,257,21.92957878,-0.08057808876,1
47,289,24.15568161,0.1420895755,1
47,321,26.039217,-0.8533479571,1
47,353,27.28631401,-1.887812018,1
47,385,21.99734306,1.441222906,1
47,417,33.39276886,2.445354462,1
47,449,32.77233887,1.459534407,1
47,481,32.2239151,4.054373741,1
47,513,36.23752213,2.805401802,1
47,545,40.37123108,1.392552137,1
47,577,41.58078766,0.07329642773,1
47,609,43.60369873,2.139783382,1
47,641,46.1518898,4.097681999,1
47,673,49.22935486,3.105645657,1
47,705,52.68652725,2.278670788,1
47,737,54.31500244,1.570348263,1
47,769,56.38798523,1.023156643,1
47,801,59.96549225,3.796184063,1
47,833,59.62589264,2.924093485,1
47,865,65.32061768,-5.110602856,1
47,897,68.77590179,-6.986473083,1
47,929,69.65703583,-5.856996536,1
47,961,69.73834229,-10.60164356,1
47,993,70.97008514,-10.10248756,1
47,1025,74.20271301,-12.20552254,1
47,1057,73.11613464,-11.84396076,1
47,1089,73.35205078,-11.37414551,1
47,1121,77.7401886,-11.6059494,1
47,1153,80.59613037,-12.96771812,1
47,1185,80.23875427,-13.83376884,1
47,1217,83.43977356,-20.46542358,1
47,1249,83.89748383,-7.163576126,1
47,1281,53.73943329,-14.60424805,1
47,1313,69.2276001,-4.667848587,1
47,1345,43.35624695,-15.34896755,1
47,1377,70.50076294,-22.75000191,1
47,1409,73.61828613,-29.3428936,1
47,1441,47.17722321,-26.92851257,1
47,1473,44.47439575,-27.93315697,1
47,1505,36.75515747,-32.03908539,1
47,1537,66.74819946,-14.69123459,1
47,1569,65.84318542,-19.01186752,1
47,1601,49.53197098,-17.89562035,1
47,1633,46.73555374,-25.64918518,1
47,1665,23.61120987,-39.85066223,1
47,1697,39.38952637,-31.4570179,1
47,1729,53.78870392,-36.75677872,1
47,1761,31.94341087,-12.82075119,1
