PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 6, filenames: A:[6]MAX_1202204_TgUtrmcherry_K4K8MO010.avi & B:[7]MAX_1202204_TgUtrmcherry_K4K8MO010.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,2.014997244,1.268089771,1
47,65,1.16505456,0.3018072248,1
47,97,0.6139259934,-0.3839523792,1
47,129,0.3091592193,-2.311032772,1
47,161,0.3429085612,-3.361890078,1
47,193,0.03827822208,-4.188655853,1
47,225,2.060970545,-5.364594936,1
47,257,2.920704126,-5.661907196,1
47,289,2.070174694,-5.364799023,1
47,321,1.213816762,-5.685087681,1
47,353,1.121381998,-7.345407009,1
47,385,0.5810201168,-7.999941826,1
47,417,0.1563236713,-8.319465637,1
47,449,2.713222265,-1.522721291,1
47,481,4.40715313,-11.12814999,1
47,513,4.856053352,-11.28304005,1
47,545,3.461456299,-9.105888367,1
47,577,2.280906916,-7.978926659,1
47,609,1.462906599,-8.281931877,1
47,641,-7.348320484,3.39054966,1
47,673,18.51848412,0.180018425,1
47,705,1.415059805,-9.264127731,1
47,737,0.09583282471,-9.952710152,1
47,769,0.3049633503,-4.579815865,1
47,801,-0.6228601933,-5.798784256,1
47,833,-0.1280348301,-7.628737926,1
47,865,0.2590851784,-5.959722042,1
47,897,2.698405743,-4.67414093,1
47,929,4.06758213,-4.314789772,1
47,961,3.627210617,-3.27703476,1
47,993,3.175599575,-2.798998594,1
47,1025,2.890471935,-3.203252316,1
47,1057,9.057315826,-4.747326851,1
47,1089,-14.44062614,-18.55278969,1
47,1121,2.071952105,-5.994249344,1
47,1153,2.274681568,-3.667764664,1
47,1185,3.584672451,-5.715641499,1
47,1217,4.738950729,-6.096171379,1
47,1249,4.691856861,-5.236654282,1
47,1281,4.944959641,-5.050566673,1
47,1313,4.763034344,-5.042864323,1
47,1345,4.687000751,-4.907951355,1
47,1377,4.12301445,-4.260527611,1
47,1409,3.003931046,-2.772515774,1
47,1441,1.442013264,-1.779645443,1
47,1473,1.899939299,-1.526894808,1
47,1505,1.48951149,-3.801728725,1
47,1537,0.4240140915,-6.624083519,1
47,1569,1.331875086,-7.401097298,1
47,1601,-0.07955944538,-7.012408257,1
47,1633,-2.536357164,-7.782249451,1
47,1665,-20.6288147,1.533275604,1
47,1697,-0.3685472012,-5.016804218,1
47,1729,1.150474548,0.4781745672,1
47,1761,0.7210841179,0.02913844585,1
47,1793,0.5527460575,-0.4746599197,1
47,1825,-0.1904159635,-0.8868117332,1
47,1857,-0.5278057456,-1.125931025,1
47,1889,-0.325158596,-1.247363806,1
47,1921,-0.1227641106,-0.7594730854,1
47,1953,-0.3268866539,-0.2980484962,1
47,1985,-0.3061124384,-0.02015048265,1
47,2017,0.4058997631,-0.01192712784,1
79,33,7.902290344,0.6278444529,1
79,65,2.621658802,-0.7873957753,1
79,97,1.834241271,-0.8524295092,1
79,129,1.357345104,-2.733306885,1
79,161,0.6160878539,-3.267819166,1
79,193,0.1575547755,-4.20337534,1
79,225,0.2162762284,-5.331337929,1
79,257,0.3073842525,-5.808873653,1
79,289,0.4258064032,-6.120328903,1
79,321,0.2765133381,-6.677823544,1
79,353,0.5629513264,-7.020962238,1
79,385,0.6835904121,-7.857215881,1
79,417,0.1834454536,-7.846418381,1
79,449,9.386642456,-8.868574142,1
79,481,4.793506622,-9.926717758,1
79,513,3.043530464,-10.9701395,1
79,545,2.445254326,-9.721534729,1
79,577,1.017342329,-9.039917946,1
79,609,1.562447548,-8.832941055,1
79,641,2.953308344,-7.687508583,1
79,673,3.109266281,-7.783291817,1
79,705,1.446195126,-8.415838242,1
79,737,-0.2068421841,-9.508037567,1
79,769,-0.322098434,-8.506959915,1
79,801,0.9253098369,-7.435460567,1
79,833,1.107156038,-6.984146118,1
79,865,3.047127247,-5.530837536,1
79,897,-14.23340797,-2.951461315,1
79,929,2.993509054,-3.549053907,1
79,961,2.491986275,-3.018939257,1
79,993,2.88796401,-1.861943245,1
79,1025,4.362614155,-2.719799519,1
79,1057,4.83634758,-3.570981026,1
79,1089,4.770586491,-3.41545248,1
79,1121,3.287436962,-3.811699867,1
79,1153,2.037219763,-4.180917263,1
79,1185,2.377670288,-5.498242378,1
79,1217,2.816799164,-5.912841797,1
79,1249,3.225984097,-5.962338448,1
79,1281,3.893640518,-5.830108166,1
79,1313,4.587168694,-4.883519173,1
79,1345,4.322005272,-4.602664948,1
79,1377,2.541815281,-4.313858986,1
79,1409,18.16196632,-10.93428802,1
79,1441,-0.1426913738,-3.019599199,1
79,1473,-0.1444553733,-2.782341003,1
79,1505,-0.2634035349,-4.004883766,1
79,1537,-0.4306440949,-5.358003139,1
79,1569,-0.8603246212,-5.907172203,1
79,1601,-1.908299685,-6.990867615,1
79,1633,-2.613955736,-7.396032333,1
79,1665,-2.519682646,-6.299111366,1
79,1697,-0.7295329571,-3.838365793,1
79,1729,0.3800323009,-0.2669414282,1
79,1761,0.225762248,0.3270732164,1
79,1793,0.01038783789,-0.05124866962,1
79,1825,-0.2776350379,0.1397352219,1
79,1857,-0.03819471598,0.497264564,1
79,1889,0.2836209536,0.3602020442,1
79,1921,0.2014577985,0.2868894935,1
79,1953,-0.1351587176,0.3870434463,1
79,1985,-0.4921884239,-0.1200503409,1
79,2017,-0.3473563194,-0.4782178998,1
111,33,0.649954319,1.177807331,1
111,65,2.106269836,-0.3866363168,1
111,97,3.859966755,-1.433695436,1
111,129,1.440073729,-2.641010523,1
111,161,-0.05594027787,-2.889259577,1
111,193,0.3176902235,-4.350839138,1
111,225,-0.4049435854,-5.463375092,1
111,257,-0.6708722115,-6.036631107,1
111,289,-0.6663190126,-6.318356514,1
111,321,-0.8455936909,-7.494858265,1
111,353,0.1167007983,-7.632668495,1
111,385,0.6581989527,-8.164270401,1
111,417,-11.37612915,3.047792912,1
111,449,0.001223087311,-8.347238541,1
111,481,1.300275087,-8.666481018,1
111,513,1.938796759,-9.614394188,1
111,545,2.235295773,-9.527963638,1
111,577,1.316404104,-10.13883781,1
111,609,1.976648211,-8.771771431,1
111,641,3.105278969,-7.692657471,1
111,673,2.273647785,-8.245727539,1
111,705,0.4395071864,-9.289625168,1
111,737,-0.2963821888,-9.731842041,1
111,769,0.2652510405,-8.833753586,1
111,801,12.67510796,-24.04578018,1
111,833,3.441456795,-6.141897678,1
111,865,3.175719738,-5.805742264,1
111,897,2.829217911,-1.457297325,1
111,929,1.940917253,-0.9837210178,1
111,961,2.174970388,-1.84190917,1
111,993,3.259787083,-0.7984442711,1
111,1025,4.802157402,-2.144313812,1
111,1057,6.769220352,-3.414161205,1
111,1089,6.062337875,-4.049275398,1
111,1121,4.143515587,-4.153760433,1
111,1153,1.586822271,-4.771819115,1
111,1185,2.074025869,-5.428815365,1
111,1217,1.421004772,-5.659787655,1
111,1249,1.099216938,-6.823774338,1
111,1281,3.243383884,-5.838867664,1
111,1313,4.011388302,-5.004084587,1
111,1345,3.884731054,-4.456129551,1
111,1377,2.628589392,-4.212744713,1
111,1409,-0.3801300526,-20.70450211,1
111,1441,4.501076698,15.10187721,1
111,1473,0.4500312507,-4.045196056,1
111,1505,-0.3572933078,-4.224133968,1
111,1537,-0.9017225504,-4.324172974,1
111,1569,-1.652675748,-4.313522339,1
111,1601,-1.880641222,-4.867592335,1
111,1633,-1.437475443,-5.943997383,1
111,1665,-1.192878604,-3.857130527,1
111,1697,0.7853521109,-2.903474092,1
111,1729,2.227509975,-3.512341976,1
111,1761,0.8793661594,-3.999986649,1
111,1793,0.3157057166,-1.08896029,1
111,1825,0.01275514066,0.2819092274,1
111,1857,-0.1735959053,0.477557987,1
111,1889,0.03962850571,0.4450061023,1
111,1921,-0.04340759665,0.2532942295,1
111,1953,-0.1448918432,0.3646771908,1
111,1985,-0.1113481671,0.01657545567,1
111,2017,-0.5831428766,-1.032319546,1
143,33,0.7940901518,2.442379951,1
143,65,1.078641653,0.008697092533,1
143,97,0.696973443,-0.4872114658,1
143,129,-0.295242548,-3.421696186,1
143,161,-1.06408298,-2.549827099,1
143,193,-0.7380990982,-3.773133278,1
143,225,-0.6329362988,-4.746977329,1
143,257,-0.3554230332,-5.740469933,1
143,289,-0.4539519548,-6.172768116,1
143,321,-0.3111691773,-7.79254818,1
143,353,-0.1058897972,-8.610949516,1
143,385,0.2338024974,-8.389830589,1
143,417,-0.4535556734,-8.240695,1
143,449,-0.3304199576,-8.40807724,1
143,481,0.7001382709,-8.95682621,1
143,513,1.080116987,-8.902500153,1
143,545,1.739083409,-8.587646484,1
143,577,1.706124187,-8.462429047,1
143,609,1.942243576,-8.493597984,1
143,641,1.987736225,-8.067770958,1
143,673,0.9297240376,-8.061890602,1
143,705,-0.2502157092,-10.3702364,1
143,737,0.9473474026,-9.895972252,1
143,769,-6.830889225,0.04034042358,1
143,801,-15.35312271,-0.7275056839,1
143,833,22.92188644,-8.144817352,1
143,865,4.326426983,-5.492290497,1
143,897,4.024112701,-3.282721043,1
143,929,3.468873978,-2.904203415,1
143,961,3.423709631,-1.943454981,1
143,993,3.897266865,-1.085670948,1
143,1025,5.052525043,-1.699060202,1
143,1057,6.112667561,-3.51143527,1
143,1089,6.01935482,-4.643945694,1
143,1121,4.855653763,-4.603580475,1
143,1153,4.402330399,-5.044368267,1
143,1185,2.811906338,-5.416239262,1
143,1217,2.469108105,-5.111892223,1
143,1249,2.766769648,-7.042169094,1
143,1281,3.338707447,-5.628484249,1
143,1313,4.650365353,-4.900666714,1
143,1345,4.485959053,-5.3649683,1
143,1377,2.905644894,-5.15695858,1
143,1409,0.7353003025,-5.079765797,1
143,1441,0.3561961651,-4.902965546,1
143,1473,0.7208690643,-4.70515728,1
143,1505,-12.30638981,0.9813089371,1
143,1537,-1.435740113,-4.01157856,1
143,1569,-1.508513451,-3.934742451,1
143,1601,-1.57148397,-4.511050701,1
143,1633,-0.672309041,-4.078294277,1
143,1665,0.9481819868,-2.063213348,1
143,1697,1.201780081,-1.74496603,1
143,1729,1.346651793,-4.190525532,1
143,1761,1.006696939,-3.591449738,1
143,1793,1.39632678,-0.9706009626,1
143,1825,0.2850643396,0.3455646038,1
143,1857,0.01099455357,0.4293572605,1
143,1889,-0.2584551573,0.5335577726,1
143,1921,0.01539954543,0.1972135007,1
143,1953,0.1188948825,-0.04125998914,1
143,1985,0.05065490305,-0.2679741383,1
143,2017,-0.1839290559,-1.301537991,1
175,33,1.247515917,3.631328106,1
175,65,0.7519906759,-1.170688152,1
175,97,0.2408418059,-3.838062525,1
175,129,-0.8189020157,-8.102272034,1
175,161,-0.3132814765,-4.091531754,1
175,193,-0.8186828494,-2.738142014,1
175,225,-0.9095861316,-4.004478931,1
175,257,-1.293245435,-4.95828867,1
175,289,-1.132371664,-6.003079414,1
175,321,0.3699185848,-8.432319641,1
175,353,-0.2227454036,-8.216348648,1
175,385,-0.119530499,-8.194471359,1
175,417,0.5879906416,-8.105122566,1
175,449,1.299512744,-8.213606834,1
175,481,2.36216259,-8.854856491,1
175,513,0.7859940529,-8.568857193,1
175,545,0.9273177385,-7.997240067,1
175,577,1.016014218,-7.487448692,1
175,609,1.105518341,-8.601618767,1
175,641,0.8095116615,-8.194201469,1
175,673,0.3334367871,-7.772794724,1
175,705,1.221755505,-7.735741615,1
175,737,3.403559923,-8.359240532,1
175,769,3.717718601,-9.175841331,1
175,801,4.280799389,-8.865116119,1
175,833,4.498410702,-6.716222763,1
175,865,5.639042377,-5.041783333,1
175,897,5.254783154,-3.1439147,1
175,929,5.300314903,-3.211963177,1
175,961,5.049135208,-2.569651604,1
175,993,5.082226753,-1.627131939,1
175,1025,5.612563133,-2.101164818,1
175,1057,4.088702679,-4.825147629,1
175,1089,4.85023737,-5.476977825,1
175,1121,5.161094666,-5.518814087,1
175,1153,5.69981432,-5.482789993,1
175,1185,4.007128716,-4.650431156,1
175,1217,2.969381571,-5.17454195,1
175,1249,3.320822239,-6.257524967,1
175,1281,4.572018623,-5.401597977,1
175,1313,5.972319603,-5.617489338,1
175,1345,6.264698982,-5.810261726,1
175,1377,3.657324076,-5.965464115,1
175,1409,2.315179825,-5.438835144,1
175,1441,1.703145504,-4.302312851,1
175,1473,1.057643652,-3.635290146,1
175,1505,0.493535459,-4.184327602,1
175,1537,0.1059456468,-4.610422611,1
175,1569,-0.1413598657,-5.178199768,1
175,1601,-0.1564050317,-5.215330124,1
175,1633,0.2414462268,-3.623791695,1
175,1665,0.8101022243,-1.561135054,1
175,1697,0.882958889,-1.312446356,1
175,1729,0.2710236311,-2.206886292,1
175,1761,1.791627049,-2.602674246,1
175,1793,3.296024323,-1.228871584,1
175,1825,0.9516162276,-1.118200779,1
175,1857,0.278703481,-1.054578066,1
175,1889,0.1591199934,1.01905489,1
175,1921,-0.05669593811,0.01286220551,1
175,1953,-0.05871328712,-0.290358603,1
175,1985,0.03465115651,-0.3046674728,1
175,2017,0.01344321668,-1.208818436,1
207,33,0.6029123068,4.218668938,1
207,65,0.7622636557,-1.575827837,1
207,97,0.7035393715,-3.948792219,1
207,129,0.03447073698,-5.586824417,1
207,161,-0.1939432025,-4.989616394,1
207,193,-0.1514256001,-4.724533081,1
207,225,-0.7311561108,-4.40256691,1
207,257,-2.166888952,-4.763777733,1
207,289,-2.46411252,-5.887812138,1
207,321,-0.6065639257,-7.78439188,1
207,353,-0.07998228073,-7.302569866,1
207,385,-0.01215684414,-8.272657394,1
207,417,0.4466160536,-8.255263329,1
207,449,1.072242975,-8.311145782,1
207,481,0.06311696768,-9.094701767,1
207,513,-0.7609924078,-7.928313255,1
207,545,0.4352271557,-8.071336746,1
207,577,16.13248444,-3.734674454,1
207,609,15.96125984,-4.917972565,1
207,641,1.473528147,-8.909250259,1
207,673,-0.7520824671,-7.895664215,1
207,705,-0.765370965,-6.252013206,1
207,737,3.480651855,-6.96276474,1
207,769,4.764339447,-8.823908806,1
207,801,4.998279572,-9.611424446,1
207,833,5.238893986,-7.362210751,1
207,865,6.089601994,-5.214607239,1
207,897,5.49428463,-3.761203766,1
207,929,5.169073105,-3.154768705,1
207,961,5.771891594,-2.498945475,1
207,993,5.307248116,-1.457548618,1
207,1025,4.279533863,-1.683854103,1
207,1057,3.025965214,-5.352940559,1
207,1089,4.416953087,-6.533899307,1
207,1121,4.225667,-6.50850153,1
207,1153,4.043310642,-3.897421837,1
207,1185,-15.60274792,-7.418069839,1
207,1217,2.968191624,-3.128735065,1
207,1249,3.609948635,-4.434361935,1
207,1281,5.413662434,-4.912525654,1
207,1313,7.259399891,-5.694561958,1
207,1345,7.114125252,-5.730935097,1
207,1377,4.598172665,-6.115241528,1
207,1409,3.870848179,-5.426782608,1
207,1441,3.189472437,-1.561929941,1
207,1473,2.509619713,-1.651676655,1
207,1505,2.029197216,-3.930433273,1
207,1537,1.297375083,-5.160941601,1
207,1569,0.8748277426,-5.317257881,1
207,1601,1.528007507,-4.539749622,1
207,1633,1.537769794,-3.700230837,1
207,1665,0.8700612187,-2.840660334,1
207,1697,1.052109003,-2.167419195,1
207,1729,1.516556263,-1.805000305,1
207,1761,2.695937395,-2.677535534,1
207,1793,2.688259602,-3.060325623,1
207,1825,1.979353189,-3.010796309,1
207,1857,1.292018294,-2.563548088,1
207,1889,0.01762083545,-1.036584735,1
207,1921,-0.3825472891,-0.5592468977,1
207,1953,-0.1859316379,-0.2899401188,1
