PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 63, filenames: A:[63]MAX_1202204_TgUtrmcherry_K4K8MO010.avi & B:[64]MAX_1202204_TgUtrmcherry_K4K8MO010.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,7.313844681,2.309216022,1
47,65,5.474517822,-0.3547954559,1
47,97,5.321235657,0.1031075716,1
47,129,4.040354729,-1.081624627,1
47,161,0.7466385365,-2.371173382,1
47,193,-1.139443636,-2.204822063,1
47,225,-1.705919266,4.214230537,1
47,257,-0.4387843609,6.017634392,1
47,289,2.157521725,1.3583709,1
47,321,13.26265717,14.50671101,1
47,353,4.404258728,-5.059847832,1
47,385,3.153147221,-5.490662575,1
47,417,2.346058369,-3.924595356,1
47,449,1.426238537,-1.936117172,1
47,481,2.021901131,-0.5671019554,1
47,513,3.232377529,-2.739296675,1
47,545,3.448329449,-3.912674904,1
47,577,3.369896412,-4.084308624,1
47,609,4.576271534,-3.298576593,1
47,641,2.861092091,-2.058511496,1
47,673,2.81587553,-1.06004107,1
47,705,3.454891205,-0.7679299116,1
47,737,4.11648941,-1.551243663,1
47,769,5.520165443,-3.320412636,1
47,801,5.700622559,-3.062686205,1
47,833,3.73496604,-0.5458574295,1
47,865,1.219055891,-0.9598975182,1
47,897,-0.7111263275,-1.450178385,1
47,929,-1.474292755,-1.480799079,1
47,961,0.2720621824,-2.438069582,1
47,993,0.09903454781,-3.522490263,1
47,1025,0.7585564852,-3.278961182,1
47,1057,2.046210766,-2.814198494,1
47,1089,0.5190434456,-5.518841743,1
47,1121,-0.1929997802,-6.359539509,1
47,1153,0.73900491,-3.91111517,1
47,1185,-0.360678196,-1.755334377,1
47,1217,-1.887953043,-1.561810255,1
47,1249,-1.710674763,-1.564593077,1
47,1281,-1.177745461,-1.253246307,1
47,1313,0.2645509243,-1.808911324,1
47,1345,1.239398479,-2.402864456,1
47,1377,-0.4957180023,-2.318133593,1
47,1409,-1.581144094,-2.816102028,1
47,1441,-1.469328642,-2.314509392,1
47,1473,-1.873831034,-1.142178297,1
47,1505,-1.459186316,-0.3382004499,1
47,1537,-1.857462883,0.1313678026,1
47,1569,-1.733238935,-0.3462022543,1
47,1601,-0.7641222477,-1.042261124,1
47,1633,-0.4176512957,-1.230795741,1
47,1665,-0.3526195884,-0.5918153524,1
47,1697,0.02843701839,-0.3841789365,1
47,1729,0.06100022048,-0.05034655333,1
47,1761,0.1146456003,-0.1154748797,1
47,1793,0.06042432785,0.2016394436,1
47,1825,0.2883002758,0.1781460047,1
47,1857,0.08235129714,-0.3602221012,1
47,1889,-0.11738538,-0.6657942533,1
47,1921,-0.1576005667,-0.3544563055,1
47,1953,-0.3869846463,-0.3118131161,1
47,1985,-0.2426831126,-0.1493600309,1
47,2017,0.1101920009,0.06038171053,1
79,33,2.591723442,1.583229303,1
79,65,3.527415514,-0.7544808984,1
79,97,3.279890299,0.7022134662,1
79,129,2.494789124,0.1410109997,1
79,161,1.769577265,-2.208333015,1
79,193,1.324934363,-3.304811001,1
79,225,1.803384542,0.498404026,1
79,257,2.236065626,1.313090444,1
79,289,2.550201416,-0.6442712545,1
79,321,3.603172302,-2.017676115,1
79,353,3.281536341,-3.977497339,1
79,385,2.534839392,-3.877931595,1
79,417,1.345204115,-2.648667336,1
79,449,1.387527943,-1.904969931,1
79,481,2.65080595,-0.7220640182,1
79,513,2.899987221,-2.000556946,1
79,545,2.846642017,-2.960772991,1
79,577,2.625684738,-2.79964447,1
79,609,1.92959547,-0.9117834568,1
79,641,1.872044563,-1.077566743,1
79,673,2.575187206,-1.645907283,1
79,705,2.349504471,-1.724814057,1
79,737,0.7388221025,-4.053233147,1
79,769,-0.04313904047,-5.297566891,1
79,801,0.6631857157,-4.609933853,1
79,833,0.3168162405,-1.178456068,1
79,865,-0.2546005249,-0.7077310681,1
79,897,0.5339996815,-2.099839687,1
79,929,1.213504434,-1.264871955,1
79,961,1.686056972,0.1516108513,1
79,993,1.187488675,-1.581472278,1
79,1025,1.290488958,-2.177083731,1
79,1057,1.016123295,-1.77951169,1
79,1089,-0.1057112217,-3.517971039,1
79,1121,-0.7898620367,-4.109247208,1
79,1153,-0.8276335597,-1.649729729,1
79,1185,-1.155654192,-0.8062494993,1
79,1217,-1.508137465,-1.391690016,1
79,1249,-1.602211952,-1.949949384,1
79,1281,-2.244813681,0.2336327434,1
79,1313,-2.035182953,-0.7037462592,1
79,1345,-0.734472096,-0.1031121016,1
79,1377,-0.4756516218,0.7329908609,1
79,1409,-0.828769207,-0.5682008266,1
79,1441,-1.125990987,-1.154914618,1
79,1473,-1.444435596,-0.4153961539,1
79,1505,-1.629134417,-0.7423129082,1
79,1537,-1.409805417,-0.5558981895,1
79,1569,-1.109602213,-0.6271374226,1
79,1601,-0.3078747094,-0.894164741,1
79,1633,-0.1206894368,-0.2870771289,1
79,1665,-0.3114517033,-0.1902538538,1
79,1697,0.02037853003,-0.2694336772,1
79,1729,0.2959545851,-0.209012568,1
79,1761,0.1667000949,-0.02738206089,1
79,1793,0.2291615009,0.127258569,1
79,1825,0.180831641,0.08475138247,1
79,1857,0.007016688585,0.1620500088,1
79,1889,-0.3003738523,-0.07914870977,1
79,1921,-0.2889521718,0.01896965504,1
79,1953,-0.2090257108,-0.1412013769,1
79,1985,0.2612760961,-0.2793042064,1
79,2017,0.5397404432,-0.2796541452,1
