PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 7, filenames: A:[7]MAX_1202204_TgUtrmcherry_K4K8MO010.avi & B:[8]MAX_1202204_TgUtrmcherry_K4K8MO010.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-0.9929181337,1.400737047,1
47,65,-0.1349799633,-1.256385565,1
47,97,-1.015236378,-1.558185816,1
47,129,-1.55433917,-2.769938231,1
47,161,-1.734405279,-2.770877361,1
47,193,-0.9337431192,-3.646332741,1
47,225,-0.5775974989,-4.98278141,1
47,257,-0.1297464967,-4.746688366,1
47,289,-19.63682938,-0.6517162323,1
47,321,-0.8859562874,-1.897857904,1
47,353,-0.9169266224,-2.640754461,1
47,385,-2.288964987,-3.935091972,1
47,417,-0.2884004712,-4.306200981,1
47,449,5.1748209,2.385198116,1
47,481,5.856938362,0.2892546654,1
47,513,-0.9623354077,-6.416012764,1
47,545,-3.997919559,9.567077637,1
47,577,-1.606827259,-6.994375229,1
47,609,0.6527745724,-7.489558697,1
47,641,2.703978062,-7.842535973,1
47,673,0.5137395263,-8.229391098,1
47,705,-1.458323717,-7.343475819,1
47,737,-2.099438667,-6.153717518,1
47,769,-4.694416523,-5.440631866,1
47,801,-4.847528458,-4.172863483,1
47,833,8.986044884,-17.00774956,1
47,865,-5.595661163,-6.93919611,1
47,897,0.2148470879,-2.452910423,1
47,929,0.4095337391,-0.912104249,1
47,961,-0.6830275059,-0.3620734215,1
47,993,-0.4891269803,-1.044178724,1
47,1025,-0.1969341189,-1.644516706,1
47,1057,0.01745679975,-2.529658556,1
47,1089,-0.8776649833,-1.853924751,1
47,1121,-2.076630116,-3.657380581,1
47,1153,-3.025854349,-4.809193611,1
47,1185,-3.77697587,-4.504864693,1
47,1217,-3.650441885,-3.888221741,1
47,1249,-3.951671124,-3.509772301,1
47,1281,-3.426674366,-2.563697815,1
47,1313,-2.594308376,-3.267944813,1
47,1345,-1.0206002,-0.3964049816,1
47,1377,-1.089537859,0.7339334488,1
47,1409,-1.553647041,-0.07541370392,1
47,1441,-2.396341801,-0.5975174904,1
47,1473,-2.754036427,-0.7674690485,1
47,1505,-1.565540791,-0.9034153819,1
47,1537,-1.546192646,0.5000600219,1
47,1569,-3.816792965,2.23497057,1
47,1601,-6.286568165,4.130870342,1
47,1633,-5.077003956,24.08808327,1
47,1665,-16.47870636,-10.35724163,1
47,1697,-0.8337936401,0.8612757921,1
47,1729,-0.1076583862,-0.2034170628,1
47,1761,-0.7893021107,-0.06922698021,1
47,1793,-0.03743290901,-0.1727643013,1
47,1825,-0.6479406357,-0.1210403442,1
47,1857,1.114545822,-3.035508633,1
47,1889,-0.4987202287,0.6990892887,1
47,1921,-2.083960056,1.968123436,1
47,1953,-2.403153419,1.896635056,1
47,1985,-20.23931122,-3.405130386,1
47,2017,33.47931671,-31.05856323,1
79,33,0.7381047606,0.3602316678,1
79,65,-13.92435265,14.05736732,1
79,97,-0.4896872044,0.5406470895,1
79,129,-1.480605125,-0.9607615471,1
79,161,-1.695508718,-2.828783989,1
79,193,-0.4377542734,-3.699460983,1
79,225,-0.3246084154,-5.046539307,1
79,257,-0.4527637362,-4.585351467,1
79,289,-0.602427721,-4.494557381,1
79,321,-0.8272875547,-3.752186775,1
79,353,-1.956790805,-5.450890064,1
79,385,-2.593485355,-6.173404694,1
79,417,-0.2520897388,-5.150476456,1
79,449,1.291181207,-5.933104515,1
79,481,1.559508324,-7.129961967,1
79,513,0.3319370151,-6.041808605,1
79,545,-0.7927987576,-5.911399841,1
79,577,-1.513373852,-7.548617363,1
79,609,-0.4881668687,-7.035498619,1
79,641,4.949649334,-8.142091751,1
79,673,1.880136967,-7.466217518,1
79,705,-0.7870156765,-6.583105087,1
79,737,-2.776780605,-6.316082478,1
79,769,-4.065285683,-5.395057678,1
79,801,-3.916785002,-4.295818329,1
79,833,3.500595808,-18.8990097,1
79,865,-2.438295364,-8.942420006,1
79,897,7.297257423,15.64406013,1
79,929,3.287162542,17.95441818,1
79,961,-0.04783765972,-0.8136766553,1
79,993,-0.02769389749,-0.4621513486,1
79,1025,-0.1302799582,-1.367899656,1
79,1057,0.1558702439,-4.602205276,1
79,1089,-0.2650234997,-2.885501385,1
79,1121,-0.8609483838,-3.458086729,1
79,1153,-1.915380955,-3.807887554,1
79,1185,-2.807330608,-5.067710876,1
79,1217,-2.69503355,-5.567798138,1
79,1249,-2.780596018,-3.6614151,1
79,1281,-2.83612895,-2.002887964,1
79,1313,-2.77029109,-1.384459376,1
79,1345,-1.115714669,-1.401276112,1
79,1377,-0.2694709301,-0.09697455168,1
79,1409,-0.7704617977,0.2971077561,1
79,1441,-1.692424297,-0.3600124717,1
79,1473,-2.028635979,-0.659535408,1
79,1505,-2.372731447,-0.01492640376,1
79,1537,-2.880428791,1.310788512,1
79,1569,-4.390963554,2.028189421,1
79,1601,-5.521611691,2.606687069,1
79,1633,-5.823541641,3.510775089,1
79,1665,-18.10057831,-9.73572731,1
79,1697,-2.85031724,1.946217537,1
79,1729,-0.2652592659,0.6614053249,1
79,1761,-0.6176693439,0.3349416256,1
79,1793,-0.4611787796,0.08923745155,1
79,1825,0.1739089489,-0.3229234219,1
79,1857,-0.196756959,-0.2118263245,1
79,1889,0.28479442,-0.3677820563,1
79,1921,-0.2489238977,0.07462930679,1
79,1953,-0.3412101269,0.00617647171,1
79,1985,-0.1892079711,-0.5070312619,1
79,2017,-1.897648335,-7.477899551,1
111,33,-0.6334307194,0.514574945,1
111,65,-0.1523313224,-0.4167900085,1
111,97,-0.08995094895,-0.1095582247,1
111,129,-0.1133735776,-0.5813187361,1
111,161,0.03309267759,-2.460744381,1
111,193,0.2305663526,-2.870812654,1
111,225,-0.03252193332,-4.32215786,1
111,257,-0.5962508321,-4.343037605,1
111,289,-1.417886138,-4.127454758,1
111,321,-2.198769331,-4.805085182,1
111,353,-1.955009341,-5.93054533,1
111,385,-0.9601393938,-6.464783192,1
111,417,-0.2019350678,-6.373130798,1
111,449,1.447852612,-5.887420177,1
111,481,1.577804208,-5.734107971,1
111,513,0.3919879794,-5.399330139,1
111,545,0.1940384507,-5.850864887,1
111,577,-1.091107726,-7.774219513,1
111,609,-1.834067822,-6.931621552,1
111,641,-0.5172944665,-6.445044518,1
111,673,-0.007522761822,-7.154726028,1
111,705,-1.146167159,-7.663053036,1
111,737,-2.889914751,-7.166044712,1
111,769,-3.967992067,-5.972524643,1
111,801,-4.71164465,-4.710723877,1
111,833,-5.013010979,-4.834416866,1
111,865,-1.880395532,-5.258253574,1
111,897,-12.97347546,12.11025143,1
111,929,-8.569921494,15.89738274,1
111,961,0.2645718753,-0.8885948658,1
111,993,0.1303177178,-0.1967692375,1
111,1025,0.2038165927,-1.195384979,1
111,1057,0.307666719,-2.805675268,1
111,1089,-0.1866016239,-3.218618631,1
111,1121,-0.3203543425,-3.27349925,1
111,1153,-1.140254378,-3.415416718,1
111,1185,-1.895571709,-4.379592419,1
111,1217,-1.185828924,13.00271606,1
111,1249,-2.618929863,-4.388929367,1
111,1281,-2.347261429,-2.551497936,1
111,1313,-1.850617647,-1.156713247,1
111,1345,-1.027938247,-0.8140015602,1
111,1377,-0.8187693357,0.149243176,1
111,1409,-1.674355745,0.7302354574,1
111,1441,-2.775365829,-0.4000689983,1
111,1473,-2.903095961,-0.1041741967,1
111,1505,-3.553093195,0.3326717615,1
111,1537,-4.019742489,1.221826077,1
111,1569,-3.99627471,1.499737501,1
111,1601,-3.844756365,1.704439044,1
111,1633,-3.8692379,1.949398994,1
111,1665,-3.319519043,2.058670998,1
111,1697,3.903490543,21.1518631,1
111,1729,-2.496217728,2.801422358,1
111,1761,-1.677529573,3.143627405,1
111,1793,-1.461912751,3.259066105,1
111,1825,0.323225975,1.052553415,1
111,1857,-0.6627061367,0.6061472893,1
111,1889,0.2492174506,-0.06133162975,1
111,1921,0.7065262794,-0.4842136502,1
111,1953,0.872936666,-1.214203238,1
111,1985,0.1887975335,-0.3084240258,1
111,2017,16.78652954,-0.2449951172,1
143,33,0.5064399242,1.339985609,1
143,65,0.2744140327,-0.8287561536,1
143,97,-0.3773721457,-1.057878256,1
143,129,-4.96506691e-05,-1.36589098,1
143,161,0.3173171282,-1.17990458,1
143,193,0.3326101303,-2.081493855,1
143,225,0.2600283623,-2.789754868,1
143,257,-0.3035368919,-3.315458536,1
143,289,-0.8840081096,-4.331713676,1
143,321,-1.412196517,-5.331514359,1
143,353,-0.798389852,-6.909536362,1
143,385,0.5271234512,-8.017810822,1
143,417,-0.1109396815,-6.316262722,1
143,449,0.09486803412,-5.883188248,1
143,481,9.862863541,-9.812558174,1
143,513,0.5040092468,-5.311898708,1
143,545,0.4133048058,-4.797362328,1
143,577,-0.9523367882,-5.874392986,1
143,609,-1.567713499,-6.849571228,1
143,641,-0.6441067457,-6.430333138,1
143,673,-0.3223683834,-6.687140465,1
143,705,-2.775305748,-7.473974228,1
143,737,-2.530225277,-6.445036888,1
143,769,-3.27249527,-5.375433922,1
143,801,-3.824860811,-4.714041233,1
143,833,-3.233226061,-4.409806728,1
143,865,-1.855528831,-6.320150375,1
143,897,1.371194601,-2.372094154,1
143,929,4.086578369,-1.274807692,1
143,961,0.7310756445,-0.9113852978,1
143,993,-0.01105237007,-0.2329246998,1
143,1025,0.4153157771,-1.321963787,1
143,1057,0.4308094084,-2.65367651,1
143,1089,0.1384046525,-2.851210117,1
143,1121,-0.05784577131,-3.247373819,1
143,1153,-0.6264168024,-3.863904715,1
143,1185,-1.799545884,-4.910365582,1
143,1217,-2.81293726,-4.249243736,1
143,1249,-2.789001465,-3.272576332,1
143,1281,-2.457805634,-2.091417789,1
143,1313,-1.570519328,-1.000944972,1
143,1345,-1.132145762,0.6281812787,1
143,1377,-1.253803253,1.264159799,1
143,1409,-1.95726645,1.127355337,1
143,1441,-4.795934677,0.7195265889,1
143,1473,-6.747080803,0.09259319305,1
143,1505,-4.68909359,0.8459972143,1
143,1537,-4.318265915,1.243882775,1
143,1569,-3.578093529,1.200331688,1
143,1601,-2.996761322,1.008921385,1
143,1633,-2.765296459,1.021199226,1
143,1665,-3.806382656,1.930351496,1
143,1697,-4.061021805,2.320596218,1
143,1729,-2.299607515,2.862359047,1
143,1761,-1.212162018,3.365043163,1
143,1793,-1.808264732,3.660105944,1
143,1825,-2.346190929,3.969125509,1
143,1857,-2.174062014,3.324937344,1
143,1889,-0.2073284388,0.2893300056,1
143,1921,0.5066055655,-0.01888945699,1
143,1953,0.9905087948,-1.048307419,1
143,1985,0.3439075947,-0.1686718911,1
143,2017,-21.02016449,0.8261766434,1
175,33,0.914065063,2.414294481,1
175,65,0.8059930205,-1.420698047,1
175,97,1.314877033,-2.267779827,1
175,129,1.57255137,-2.812252045,1
175,161,0.170406431,-0.4421977997,1
175,193,-1.157596469,-2.16609025,1
175,225,0.1060494259,-1.759122849,1
175,257,-0.123409003,-2.884578228,1
175,289,-0.4761791825,-4.297072411,1
175,321,-0.4362791777,-5.033853531,1
175,353,-7.411147118,-16.76083183,1
175,385,18.97224998,-7.049568653,1
175,417,-0.09150356054,-5.838002205,1
175,449,-0.1285608411,-5.618557453,1
175,481,-0.1110547185,-5.515424252,1
175,513,-0.1733596325,-5.807498455,1
175,545,-0.7966656685,-5.539070606,1
175,577,-1.366723657,-4.638397217,1
175,609,-2.632287741,-5.718867302,1
175,641,-1.507061005,-6.049648285,1
175,673,-1.381754875,-6.79691267,1
175,705,-2.030486107,-6.510317802,1
175,737,-3.076126575,-5.7355299,1
175,769,-3.109625578,-4.909711361,1
