PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 9, filenames: A:[9]MAX_1202204_TgUtrmcherry_K4K8MO010.avi & B:[10]MAX_1202204_TgUtrmcherry_K4K8MO010.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,0.9404586554,6.448821545,1
47,65,0.8869435787,0.5581672192,1
47,97,1.035600185,-1.748551846,1
47,129,1.987684727,-1.504706383,1
47,161,2.385249615,-0.1212881804,1
47,193,2.956258774,-0.6235784292,1
47,225,3.12275219,0.269590497,1
47,257,3.412083149,-0.7708742023,1
47,289,4.217847824,-1.70895946,1
47,321,2.955269337,-2.488714457,1
47,353,3.750504494,-1.925568819,1
47,385,5.018819809,-2.362577915,1
47,417,5.887864113,-3.801367044,1
47,449,9.010278702,-2.565089226,1
47,481,9.078483582,-3.460247278,1
47,513,8.55355072,-3.794175386,1
47,545,8.468146324,-4.56746006,1
47,577,8.707479477,-3.210425138,1
47,609,-2.981659889,3.57773447,1
47,641,11.27675915,-2.290875435,1
47,673,11.25457764,-1.666618824,1
47,705,10.27001572,-2.400945187,1
47,737,11.0531292,-3.60103631,1
47,769,12.82725906,-1.783916712,1
47,801,13.37124348,-1.454092979,1
47,833,14.08719254,-2.068611383,1
47,865,16.15254784,-0.1755288839,1
47,897,18.72774887,0.3566772342,1
47,929,15.76744843,-1.445212245,1
47,961,15.33911133,-0.05378842354,1
47,993,33.04283905,-9.841063499,1
47,1025,16.48640442,0.03189444542,1
47,1057,16.09766006,-1.276071548,1
47,1089,15.73158836,-2.41844368,1
47,1121,14.76106262,-3.438796997,1
47,1153,15.09217358,-6.261147022,1
47,1185,14.60399628,-7.701682568,1
47,1217,13.93064785,-5.215524197,1
47,1249,13.26987934,-3.725901604,1
47,1281,12.15273666,-5.571568966,1
47,1313,12.38851738,-5.450634956,1
47,1345,13.83525276,-3.254823685,1
47,1377,31.33888817,0.5753312111,1
47,1409,10.96399689,-1.021945477,1
47,1441,12.85669613,-2.659738064,1
47,1473,32.08383942,-5.208342075,1
47,1505,31.60673904,-4.123900414,1
47,1537,11.45958996,-4.416333199,1
47,1569,11.92494774,-3.457264662,1
47,1601,11.32493782,-4.630578041,1
47,1633,10.09288216,-5.295614243,1
47,1665,8.153425217,-5.256010532,1
47,1697,29.44355011,-8.726119041,1
47,1729,-0.02837562561,-0.4160161018,1
47,1761,-0.7491407394,1.225669861,1
47,1793,-0.183054924,-3.285055637,1
47,1825,-15.50718594,-0.9879760742,1
47,1857,-6.194580078,17.89902115,1
47,1889,-3.111796379,-0.9885807037,1
47,1921,-4.096434593,4.311608315,1
47,1953,1.88684082,0.3001989126,1
47,1985,-0.7688865066,-4.364037037,1
47,2017,-21.12125778,-5.860927105,1
79,33,1.524405599,0.935312748,1
79,65,0.8652088642,0.184135437,1
79,97,1.680971384,-0.4300945401,1
79,129,2.783503294,-0.6611427069,1
79,161,-2.397364616,-18.99975967,1
79,193,3.494866848,-1.551217914,1
79,225,2.981083393,-1.221940279,1
79,257,3.0774827,-1.051886082,1
79,289,3.052159548,-1.285660267,1
79,321,2.944127083,-1.861894727,1
79,353,3.638134956,-1.547430992,1
79,385,3.99466753,-3.489281416,1
79,417,4.131619453,-3.206161022,1
79,449,0.633723259,-2.242718697,1
79,481,-2.882545948,-7.740139961,1
79,513,6.012468815,-3.89773345,1
79,545,6.620697975,-4.445434093,1
79,577,7.775870323,-4.678820133,1
79,609,8.119830132,-5.66353941,1
79,641,8.638712883,-5.149879456,1
79,673,9.247317314,-4.14395237,1
79,705,10.22482681,-3.579344273,1
79,737,11.41657543,-2.819449425,1
79,769,-5.484747887,6.758227825,1
79,801,12.73422813,-0.6391627789,1
79,833,14.99241066,-0.6075084209,1
79,865,15.82350826,0.02201664448,1
79,897,16.25800705,-1.046140075,1
79,929,16.43451881,-1.268455625,1
79,961,16.84777641,-1.007607222,1
79,993,17.02799225,-0.09765195847,1
79,1025,16.95101929,-1.569729924,1
79,1057,17.14149475,-2.613148689,1
79,1089,17.5230484,-3.336134911,1
79,1121,17.11079025,-4.704137325,1
79,1153,17.18894005,-6.395649433,1
79,1185,16.76412773,-8.152217865,1
79,1217,16.79042625,-7.98653841,1
79,1249,15.66486549,-5.693319798,1
79,1281,14.86405563,-5.916982651,1
79,1313,13.98173332,-6.984205246,1
79,1345,13.5475111,-5.552068233,1
79,1377,-0.9684019089,10.19731331,1
79,1409,10.56151485,-4.607915401,1
79,1441,11.56062031,-4.776893139,1
79,1473,11.88811302,-5.968281269,1
79,1505,10.62779522,-6.138465881,1
79,1537,10.32044315,-5.295796394,1
79,1569,10.37878323,-5.339873314,1
79,1601,11.15659332,-6.855012894,1
79,1633,11.36044121,-8.597780228,1
79,1665,10.40438461,-8.102660179,1
