PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 1, filenames: A:[1]MAX_1202204_TgUtrmcherry_K4K8MO010.avi & B:[2]MAX_1202204_TgUtrmcherry_K4K8MO010.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-2.606250763,-0.1076616049,1
47,65,9.557006836,-2.601486921,1
47,97,10.37782669,-1.421857238,1
47,129,11.61454296,-2.577714443,1
47,161,11.91332054,-3.06707406,1
47,193,11.57442379,-2.699159145,1
47,225,11.25759125,-1.100712299,1
47,257,12.72289753,-0.9069318175,1
47,289,14.04970646,0.3532048762,1
47,321,16.1326313,-0.04114210606,1
47,353,16.76802635,-2.573505878,1
47,385,18.70589066,-4.569105625,1
47,417,23.8164444,-3.811677694,1
47,449,30.53426361,-19.7316246,1
47,481,23.98968887,-1.083550453,1
47,513,26.39895439,0.1773986816,1
47,545,26.96032143,-0.2211499214,1
47,577,27.58540154,-0.9135085344,1
47,609,30.89715004,1.091019511,1
47,641,34.42955399,1.232967854,1
47,673,36.99155807,0.7283748388,1
47,705,39.61323929,-0.1671845913,1
47,737,41.07168579,-0.7704358101,1
47,769,36.58613586,21.17736435,1
47,801,45.13982773,0.122184515,1
47,833,49.30489731,-0.04784154892,1
47,865,53.02882004,-1.567150354,1
47,897,54.11489105,-3.158587933,1
47,929,53.04238892,-4.940526009,1
47,961,56.00339127,-5.174157619,1
47,993,55.97858429,-5.046583652,1
47,1025,36.98130417,-11.4976511,1
47,1057,39.71377182,-9.644001007,1
47,1089,64.99042511,-3.436248302,1
47,1121,66.25881958,-3.585305691,1
47,1153,65.73703766,-5.550591469,1
47,1185,70.45654297,-7.787101746,1
47,1217,81.15390015,-5.198304176,1
47,1249,101.8705597,-0.5234031677,1
47,1281,81.25657654,-22.10881233,1
47,1313,90.28066254,-20.1983242,1
47,1345,79.59310913,-25.66878891,1
47,1377,72.47451782,-26.41053391,1
47,1409,81.2898407,-38.93476868,1
47,1441,80.58068848,-41.85017014,1
47,1473,52.04779816,-52.78118515,1
47,1505,73.87110138,-47.75656128,1
47,1537,72.01301575,-51.56834412,1
47,1569,61.27524567,-49.73085785,1
47,1601,59.0931015,-51.0982132,1
47,1633,67.7671814,-52.13466644,1
47,1665,59.03926086,-61.00504303,1
47,1697,60.88381958,-58.26342392,1
47,1729,61.35801315,-57.35176086,1
47,1761,54.42874908,-54.62369537,1
47,1793,56.36297607,-58.46921539,1
47,1825,51.49637604,-55.4836731,1
47,1857,46.71646118,-53.62007904,1
47,1889,46.21252441,-50.95814133,1
47,1921,47.54935455,-50.09612274,1
47,1953,72.18981934,-48.21212769,1
47,1985,24.78163147,-48.66781616,1
47,2017,8.598417282,-61.1533165,1
79,33,8.939469337,0.5925422311,1
79,65,9.847886086,-1.559662819,1
79,97,8.765585899,-3.926952362,1
79,129,10.57482624,-3.354305744,1
79,161,11.90586376,-4.403938293,1
79,193,12.58604717,-3.283974648,1
79,225,13.57061958,-1.837814927,1
79,257,14.07239532,-0.7241446376,1
79,289,13.64114285,0.8219822645,1
79,321,15.83897018,-0.7161433697,1
79,353,17.77726746,-0.9731985331,1
79,385,18.23895454,-1.998268127,1
79,417,23.82391739,-2.731972456,1
79,449,24.43649864,-1.732987404,1
79,481,24.22222519,-1.738241553,1
79,513,25.91908073,-1.330812216,1
79,545,27.25212097,-0.8626515865,1
79,577,29.21212578,0.111633867,1
79,609,31.72957802,0.7757643461,1
79,641,33.98877716,1.087357521,1
79,673,36.98634338,1.874212742,1
79,705,40.71279144,2.533364296,1
79,737,44.19727707,2.732355356,1
79,769,46.66701126,3.458618641,1
79,801,49.83953857,3.805071831,1
79,833,52.87162018,1.647535801,1
79,865,52.69020462,1.36604476,1
79,897,54.86336136,-0.07198405266,1
79,929,58.21437836,0.09496688843,1
79,961,59.85944366,-0.467941761,1
79,993,61.28976059,-2.007611752,1
79,1025,64.23143005,-2.89205575,1
79,1057,64.16226196,-3.478196621,1
79,1089,66.68461609,-5.787590981,1
79,1121,65.72006226,-5.908681393,1
79,1153,66.95680237,-6.846605778,1
79,1185,68.21272278,-8.120589256,1
79,1217,72.92918396,-8.280207634,1
79,1249,80.32272339,-9.174041748,1
79,1281,69.21621704,-24.59224892,1
79,1313,86.39994049,-22.80678177,1
79,1345,79.04663086,-26.88285828,1
79,1377,87.6581955,-32.20568848,1
79,1409,87.25985718,-37.2673111,1
79,1441,84.58457184,-42.37960052,1
79,1473,81.02799988,-48.32195663,1
79,1505,76.49419403,-50.37081528,1
79,1537,75.45217896,-53.66920471,1
79,1569,54.66905212,-36.00636292,1
79,1601,42.78323746,-45.05693054,1
79,1633,64.1953125,-58.99112701,1
79,1665,62.3792038,-58.68660736,1
79,1697,59.02807236,-56.46191788,1
79,1729,58.11034393,-57.12347412,1
79,1761,57.1088829,-58.41366577,1
79,1793,56.63840103,-61.10017014,1
79,1825,50.91576004,-56.18312836,1
79,1857,47.32289124,-54.17357635,1
79,1889,45.43379211,-52.61978531,1
79,1921,45.56750488,-50.67087936,1
79,1953,46.25308228,-51.50325012,1
79,1985,25.46780586,-46.60861969,1
79,2017,32.61860657,-75.88772583,1
111,33,12.24845314,1.48174715,1
111,65,10.87758255,-2.532413483,1
111,97,9.684465408,-3.101487875,1
111,129,10.16434956,-4.140086174,1
111,161,11.6204319,-3.690019846,1
111,193,13.29429436,-2.779157162,1
111,225,14.27326775,-1.269158483,1
111,257,15.12026596,-1.515884161,1
111,289,15.52655888,-1.23987031,1
111,321,16.2670784,-0.5211814046,1
111,353,18.1530323,1.028341293,1
111,385,36.56135559,-4.226236343,1
111,417,20.21574974,-1.466181874,1
111,449,22.34433937,-1.277863622,1
111,481,24.03253174,-2.130931854,1
111,513,25.48500633,-3.426437378,1
111,545,27.72237587,-1.934130788,1
