PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 16, filenames: A:[16]MAX_1202204_TgUtrmcherry_K4K8MO010.avi & B:[17]MAX_1202204_TgUtrmcherry_K4K8MO010.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-2.250664949,-0.2530715466,1
47,65,-0.9574468136,-0.135777235,1
47,97,-2.938338995,-0.169868052,1
47,129,-1.384044886,-0.2830005884,1
47,161,0.7555602789,-1.246605873,1
47,193,0.7742774487,-1.107113361,1
47,225,1.973373652,0.5598564148,1
47,257,3.130092859,0.1311101317,1
47,289,3.611102104,-1.173381686,1
47,321,3.386547804,-2.351537943,1
47,353,3.256723404,-3.610446453,1
47,385,4.546323776,-3.807621479,1
47,417,5.21841526,-4.025584698,1
47,449,4.178871632,-3.644264698,1
47,481,2.248319149,-2.855289936,1
47,513,3.211176395,-3.878237009,1
47,545,3.87996769,-4.886264324,1
47,577,4.26098156,-3.646711349,1
47,609,10.41829205,-23.85768318,1
47,641,4.376120567,-8.208984375,1
47,673,5.111602783,-7.536501884,1
47,705,4.469713211,-6.669074059,1
47,737,2.785191536,-5.789889812,1
47,769,2.798891783,-6.063493729,1
47,801,4.010316849,-6.054249763,1
47,833,3.118274927,-4.523097515,1
47,865,1.671103716,-4.506108284,1
47,897,3.188158512,-3.916061401,1
47,929,12.86227417,-20.10041428,1
47,961,4.405377865,-2.342159748,1
47,993,3.538100243,-3.568892479,1
47,1025,4.36297369,-3.399004459,1
47,1057,5.18221426,-2.270554066,1
47,1089,5.625631332,-3.10532093,1
47,1121,5.499604225,-4.297123909,1
47,1153,-16.20738411,-5.796516895,1
47,1185,2.605845451,-5.318291187,1
47,1217,2.131507397,-6.296189785,1
47,1249,1.175495148,-5.882387161,1
47,1281,0.7301464081,-5.315364361,1
47,1313,1.899822474,-3.577338696,1
47,1345,3.11314106,-2.444482088,1
47,1377,2.979056358,-3.683511019,1
47,1409,1.95475328,-5.803343773,1
47,1441,0.1719008684,-6.74302721,1
47,1473,-1.089607716,-7.16672039,1
47,1505,15.62615681,-12.02819061,1
47,1537,-0.7942466736,-6.16413784,1
47,1569,-1.095925808,-5.986319065,1
47,1601,-1.221051097,-3.99723196,1
47,1633,-0.4774296284,-3.352430105,1
47,1665,0.3523952365,-1.347651005,1
47,1697,1.221093893,2.645561695,1
47,1729,0.09262537956,3.770468712,1
47,1761,0.1287472248,1.1324687,1
47,1793,0.6504338384,-0.3547029495,1
47,1825,-0.01101273298,-2.140407562,1
47,1857,-0.1261957288,-0.5665550232,1
47,1889,-0.2912859321,0.4548756182,1
47,1921,-0.1963570714,0.6819201708,1
47,1953,-0.2965359092,0.6146709323,1
47,1985,0.1193029433,-0.3810609579,1
47,2017,0.3287441134,-3.90185833,1
79,33,0.8244681954,1.069267988,1
79,65,1.309835196,0.481669426,1
79,97,0.03000366688,-0.4346369207,1
79,129,-0.2693147063,-0.9886724949,1
79,161,0.6202641726,-1.725546002,1
79,193,0.7867947221,-1.49647665,1
79,225,1.229158163,-0.1730011106,1
79,257,2.140096426,0.3789827824,1
79,289,2.623756409,-1.042448759,1
79,321,2.203037977,-3.067049503,1
79,353,1.356618404,-2.652796984,1
79,385,5.235749245,-22.1591568,1
79,417,3.716751814,-4.158083916,1
79,449,3.227968693,-4.521827698,1
79,481,1.069036484,-2.3152349,1
79,513,1.771391869,-3.460872889,1
79,545,4.461155415,-3.746718645,1
79,577,5.842403889,-4.192093372,1
79,609,3.273329735,-4.924957275,1
79,641,2.872032881,-8.682422638,1
79,673,3.020088673,-7.581359863,1
79,705,2.983550549,-5.803994656,1
79,737,2.825523138,-5.091026306,1
79,769,3.113137245,-5.103806496,1
79,801,2.601687193,-2.641656399,1
79,833,2.287768126,-3.889839649,1
79,865,2.315914392,-4.236099243,1
79,897,3.655682802,-4.046208382,1
79,929,3.66465044,-3.645773649,1
79,961,4.035226822,-2.891715765,1
79,993,4.17341423,-3.316462517,1
79,1025,4.130208015,-3.490844727,1
79,1057,4.677860737,-2.300516844,1
79,1089,6.340332508,-2.607900858,1
79,1121,5.361977577,-2.910767555,1
79,1153,4.369992256,-4.094051361,1
79,1185,3.729132175,-5.128178596,1
79,1217,2.789207697,-4.676838875,1
79,1249,2.161025286,-4.401958942,1
79,1281,2.986404419,-4.199826717,1
79,1313,4.527400017,-2.593888998,1
79,1345,5.543615341,-2.05740118,1
79,1377,4.371884346,-3.356952906,1
79,1409,2.228829145,-5.077241421,1
79,1441,0.434658289,-6.150846481,1
79,1473,0.1827778816,-6.78913641,1
79,1505,0.3610392213,-6.297851086,1
79,1537,0.05530783534,-6.551998615,1
79,1569,-1.306629181,-6.275221348,1
79,1601,-2.641097069,-4.138775349,1
79,1633,-0.4705932736,-3.569160461,1
79,1665,0.3457241058,-2.635133028,1
79,1697,0.9531267285,-0.6734545231,1
79,1729,0.5029403567,0.5957343578,1
79,1761,-0.06994117796,0.6607081294,1
79,1793,-0.002198822796,-0.4994769096,1
79,1825,-0.002079427242,0.3593658209,1
79,1857,0.03029042482,0.4717780352,1
79,1889,0.09005379677,0.3321045637,1
79,1921,0.03849041462,-0.06876949966,1
79,1953,0.04156237841,-0.1559295356,1
79,1985,0.1716115773,-0.3450310826,1
79,2017,0.0204347074,-1.658067942,1
111,33,1.463639021,1.514583707,1
111,65,1.576892376,0.2181079686,1
111,97,2.428328037,-0.2998709679,1
111,129,1.414698362,-0.7432534695,1
111,161,0.901709199,-0.5055801272,1
111,193,0.7951234579,-0.7834345698,1
111,225,0.3300939798,-0.4138258696,1
111,257,0.7409198284,0.1650644541,1
111,289,1.881708384,-1.139140487,1
111,321,2.005968809,-3.03124094,1
111,353,2.891920805,-2.116277695,1
111,385,3.580442905,-22.47541046,1
111,417,8.968666077,-22.36495781,1
111,449,2.034764767,-3.958553791,1
111,481,1.659969807,-4.303436756,1
111,513,8.255532265,14.34719849,1
111,545,6.275540352,8.08142662,1
111,577,3.310199499,-4.266611576,1
111,609,2.434562206,-5.264233589,1
111,641,1.086995363,-6.621067524,1
111,673,2.140723944,-6.404390812,1
111,705,2.908378601,-5.774416447,1
111,737,3.452926397,-5.251326561,1
111,769,3.053224802,-5.046156883,1
111,801,1.353522062,-1.969314575,1
111,833,2.675256252,-3.006196022,1
111,865,3.25459528,-4.005846977,1
111,897,4.077951908,-4.105055809,1
111,929,4.605968952,-3.58564496,1
111,961,4.259422779,-3.128035784,1
111,993,3.686808586,-3.389188766,1
111,1025,3.439996243,-3.319083452,1
111,1057,5.249383926,-2.920380592,1
111,1089,6.431324959,-2.755974531,1
111,1121,5.550242424,-2.715174437,1
111,1153,5.541219711,-3.753189087,1
111,1185,4.679897308,-4.14091444,1
111,1217,4.121674061,-3.794664621,1
111,1249,4.592992783,-3.396026373,1
111,1281,6.360721111,-3.072103977,1
111,1313,7.916702271,-2.182963133,1
111,1345,6.42676878,-2.236413717,1
111,1377,2.789863825,-3.772424698,1
111,1409,0.3816325665,-6.143669605,1
111,1441,0.5580781698,-6.486022472,1
111,1473,0.8255954981,-6.228948116,1
111,1505,1.306421995,-6.2769804,1
111,1537,0.9894667864,-6.509991169,1
111,1569,-0.3826450109,-6.783918381,1
111,1601,-1.678987026,-5.997864723,1
111,1633,0.06632988155,-4.319087982,1
111,1665,0.7745714188,-3.755837917,1
111,1697,0.6559619308,-3.294562817,1
111,1729,0.2310750186,-1.862405777,1
111,1761,-0.4615256488,-0.2042956948,1
111,1793,-0.2049710751,0.4026100039,1
111,1825,-0.0001194253564,0.790197134,1
111,1857,-0.135485515,0.4572735429,1
111,1889,-0.1477283388,-0.112051852,1
111,1921,0.0002172291279,-0.3811234534,1
111,1953,0.1683745533,-0.2902032137,1
111,1985,0.1917387545,-0.3384596109,1
111,2017,0.3515101373,-0.811461091,1
143,33,1.945267677,1.184285283,1
143,65,1.843243361,0.08650377393,1
143,97,2.236502171,-0.3234637976,1
143,129,1.993524551,-0.4468085766,1
143,161,0.8846209049,-0.6960970163,1
143,193,0.3652774692,-1.389955044,1
143,225,-0.4812122583,-1.150624275,1
143,257,0.2246840596,-0.8915407658,1
143,289,1.415565491,-1.989891052,1
143,321,1.894076824,-2.299164772,1
143,353,2.857309818,-1.132194757,1
143,385,20.75072479,-7.586119175,1
143,417,11.84408665,-5.902556419,1
143,449,1.54808414,-3.832491875,1
143,481,1.630177975,-4.772025585,1
143,513,-15.11403084,-15.5041399,1
143,545,-14.8985014,-15.45056057,1
143,577,2.117323875,-4.473253727,1
143,609,1.955837011,-5.715128422,1
143,641,2.064208031,-5.970336437,1
143,673,2.500151396,-6.784118652,1
143,705,2.827111721,-5.672204971,1
143,737,3.431625605,-4.429635525,1
143,769,2.917634964,-5.48777771,1
143,801,16.88155937,-12.58617401,1
143,833,2.490063429,-1.858398199,1
143,865,3.209264278,-3.823195696,1
143,897,3.76096344,-3.736507893,1
143,929,4.172108173,-3.285343885,1
143,961,4.319412708,-3.492330551,1
143,993,4.566323757,-3.898103237,1
143,1025,4.989974022,-3.896027803,1
143,1057,6.093938351,-3.347139359,1
143,1089,6.743609905,-3.7729702,1
143,1121,6.240867138,-4.063847065,1
143,1153,6.093554497,-3.655085564,1
143,1185,5.513317108,-2.995304823,1
143,1217,5.118951321,-2.461135387,1
143,1249,5.595748901,-2.723757267,1
143,1281,7.384924889,-2.590001106,1
143,1313,8.864386559,-2.480680466,1
143,1345,4.977045536,-3.340119123,1
143,1377,0.0007059574127,-5.062131405,1
143,1409,0.7023676634,-6.41374445,1
143,1441,1.442804456,-5.960305214,1
143,1473,1.653722167,-5.545135975,1
143,1505,1.183540702,-6.090288162,1
143,1537,0.286634028,-6.037597656,1
143,1569,0.006164610386,-5.999377251,1
143,1601,0.1222925186,-6.120461941,1
143,1633,0.06802284718,-5.822496891,1
143,1665,0.9250500202,-5.263032913,1
143,1697,1.365950584,-6.399300575,1
143,1729,1.090918303,-5.35114193,1
143,1761,0.2819126248,-3.394526958,1
143,1793,0.02381983399,-0.1735923886,1
143,1825,0.09551140666,0.3651319742,1
143,1857,-0.0814018473,0.174808979,1
143,1889,-0.2413128316,-0.437359482,1
143,1921,-0.136341542,-0.590516448,1
143,1953,0.09084022045,-0.2277191877,1
143,1985,0.2822141647,-0.3204672337,1
143,2017,0.4646756351,-0.8685348034,1
175,33,2.472850323,0.5177648067,1
175,65,1.71269393,0.317366749,1
175,97,2.130420208,0.2062412053,1
175,129,2.554092407,-0.2346054316,1
175,161,1.497576833,-1.030081749,1
175,193,0.9275169969,-2.01249218,1
175,225,0.07647371292,-1.691441059,1
175,257,3.312838316,-14.67792034,1
175,289,0.6076194644,-2.796145439,1
175,321,0.5215337276,-2.584403038,1
175,353,0.3667221069,-2.682193279,1
175,385,-14.166605,-14.63678932,1
175,417,1.70074749,-3.275052786,1
175,449,2.504449368,-4.824886799,1
175,481,1.749621034,-4.625427723,1
175,513,1.426115036,-4.659914494,1
175,545,1.233839989,-4.987383842,1
175,577,1.849312305,-4.804352283,1
175,609,1.961946487,-5.355472565,1
175,641,1.730421066,-5.538798809,1
175,673,2.238981724,-5.501651764,1
175,705,2.553955793,-4.266521931,1
175,737,4.18402195,-3.572089672,1
175,769,10.4696312,-4.236382484,1
175,801,17.13896179,-3.896788836,1
175,833,-5.09112072,14.19279099,1
175,865,3.279222727,-3.126302004,1
175,897,2.899835587,-3.191641331,1
175,929,-15.10266113,-3.005011797,1
175,961,4.448412895,-3.938304901,1
175,993,5.264443874,-3.933013439,1
175,1025,5.356413841,-3.293929338,1
175,1057,6.289153576,-3.788410664,1
175,1089,7.277557373,-4.973616123,1
175,1121,7.191932201,-5.150969505,1
175,1153,6.169966221,-4.653808594,1
175,1185,5.456160069,-2.447954655,1
175,1217,5.391892433,-2.95612216,1
175,1249,5.711145401,-3.094490051,1
175,1281,5.929056168,-2.693762541,1
175,1313,4.985271931,-2.650324106,1
175,1345,2.573596239,-4.131516457,1
175,1377,0.0821595192,-6.180306435,1
175,1409,1.939249516,-6.158603191,1
175,1441,2.254637241,-5.83631134,1
175,1473,0.4807836413,-5.430596352,1
175,1505,0.09441377223,-5.752425671,1
175,1537,-0.2333243787,-6.080873966,1
175,1569,-0.5019070506,-5.847531319,1
175,1601,-0.0121742785,-5.406591415,1
175,1633,1.002035856,-5.416858196,1
175,1665,1.734334469,-5.052014351,1
175,1697,2.050882578,-5.301450729,1
175,1729,1.02277422,-5.038786888,1
175,1761,-0.004268854856,-3.935984135,1
175,1793,-0.07042862475,-0.5714488029,1
175,1825,0.1016360223,-0.4543406963,1
175,1857,0.06863206625,-0.04025059938,1
175,1889,-0.4131705165,-0.1731543094,1
175,1921,-0.5493553877,-0.467469573,1
175,1953,-0.1277273893,-0.2347219586,1
175,1985,0.1226549149,-0.2690495253,1
175,2017,0.1779408157,-1.291607618,1
207,33,1.971898079,0.01153540611,1
207,65,1.100091815,0.1646291167,1
207,97,3.901301622,0.180660814,1
207,129,2.741062164,-0.1039457321,1
207,161,1.983234048,-0.8122316003,1
207,193,1.851444721,-1.41537118,1
207,225,1.815872669,-1.531030655,1
207,257,20.51508331,-3.435527325,1
207,289,0.7378672957,-2.319445133,1
207,321,0.5957608819,-2.848313093,1
207,353,0.2890164852,-2.239772797,1
207,385,0.7444287539,-3.250921726,1
207,417,1.873123169,-3.452771187,1
207,449,3.006043434,-5.136950493,1
207,481,1.532040596,-4.58906889,1
207,513,0.4540556669,-4.900691509,1
207,545,0.968180418,-5.608886242,1
207,577,3.346480608,-4.697265625,1
207,609,3.187157631,-4.495491982,1
207,641,2.001530647,-4.395354748,1
207,673,2.027843475,-4.396814346,1
207,705,-9.173078537,-0.3956172466,1
207,737,-4.686730862,7.905629158,1
207,769,4.437997818,-4.059850693,1
207,801,6.401841164,-3.657265425,1
207,833,6.417963028,-3.736755848,1
207,865,2.93164444,-3.08531785,1
207,897,2.168109894,-2.729213238,1
207,929,4.793550014,-2.463125706,1
207,961,5.694843769,-3.544784546,1
207,993,6.346481323,-3.165978909,1
207,1025,6.789177895,-3.344755411,1
207,1057,6.641209126,-4.617133141,1
207,1089,7.185554028,-5.673214436,1
207,1121,6.239345551,-6.506547928,1
207,1153,4.898907185,-5.586820602,1
207,1185,4.889606476,-3.467287064,1
207,1217,5.973912716,-3.398038387,1
207,1249,6.048107147,-3.150584698,1
207,1281,5.219149113,-3.103655338,1
207,1313,17.05581665,10.7481966,1
207,1345,18.18784523,2.836188316,1
207,1377,11.31783295,-22.41023254,1
207,1409,2.455289125,-6.020956993,1
207,1441,1.305612922,-5.455413342,1
207,1473,-1.046416521,-4.633908749,1
207,1505,-0.4405324459,-5.539003849,1
207,1537,-0.4164933562,-5.878965378,1
207,1569,-0.3991515934,-5.555181503,1
207,1601,0.6396962404,-4.971595287,1
207,1633,2.706952095,-4.153068542,1
207,1665,3.013466597,-2.909878731,1
207,1697,2.777008057,-4.081357956,1
207,1729,1.120278597,-5.248139858,1
207,1761,-0.05656245351,-4.721774101,1
207,1793,-0.3820551336,-3.257809162,1
207,1825,-0.1175821424,-0.3709316254,1
207,1857,-0.1452533007,0.3138836622,1
207,1889,-0.4027551413,-0.07570105791,1
207,1921,-0.4817710519,-0.164255932,1
207,1953,-0.1595764309,-0.1178919077,1
207,1985,0.2086189836,-0.06242132187,1
207,2017,0.2086187899,-1.554797173,1
239,33,1.111099482,0.0873234272,1
239,65,1.35239017,0.4877294302,1
239,97,1.847777724,-0.1529076993,1
239,129,0.2961620688,-0.9135509729,1
239,161,-0.342482388,-1.239511609,1
239,193,0.5758892894,-1.191354394,1
239,225,0.963943243,-1.186019063,1
239,257,1.141243219,-0.4890137911,1
239,289,1.614691496,-2.09895587,1
239,321,1.532940388,-3.201745987,1
239,353,0.5302802324,-2.939670086,1
239,385,0.6607403755,-3.268588781,1
239,417,1.301770568,-3.857834101,1
239,449,2.459945917,-5.170287609,1
239,481,2.092674494,-4.054316521,1
239,513,5.937854767,-23.44447899,1
239,545,3.871099472,-3.443053722,1
239,577,-0.4316799641,12.36471367,1
239,609,3.392276049,-3.560611486,1
239,641,3.488266468,-4.362981319,1
239,673,2.39868474,-4.039541721,1
239,705,1.552518129,-3.806802988,1
239,737,-0.9856696129,16.59675217,1
239,769,3.075853109,-2.861704826,1
239,801,4.791929722,-2.806673765,1
239,833,5.774431229,-3.25262332,1
239,865,6.626041412,-3.081858397,1
239,897,12.62170315,-2.640464306,1
239,929,5.561076641,-1.906068802,1
239,961,6.184935093,-1.27560544,1
239,993,7.995597363,-2.455121279,1
239,1025,8.582994461,-3.190201283,1
239,1057,7.037366867,-5.087002277,1
239,1089,5.86081028,-5.581015587,1
239,1121,4.606060028,-6.13799715,1
239,1153,3.908921242,-6.235351563,1
239,1185,5.296665192,-5.164721489,1
239,1217,7.013177395,-4.150266647,1
239,1249,7.390892506,-3.84413743,1
239,1281,5.642719269,-3.995233536,1
239,1313,3.529663563,-4.182355881,1
239,1345,2.910032272,-4.475264072,1
239,1377,2.0998528,-5.347517014,1
239,1409,1.655475616,-5.775697708,1
239,1441,1.030485272,-4.986600399,1
239,1473,-0.3680053949,-6.219995022,1
239,1505,-0.4834192097,-5.741042137,1
239,1537,0.4177489579,-5.505564213,1
239,1569,2.471990347,-4.691339016,1
239,1601,2.921073437,-4.288986206,1
239,1633,3.352727175,-3.833686829,1
239,1665,3.152950048,-3.624285221,1
239,1697,3.058965683,-4.69203949,1
239,1729,1.470558882,-6.115001202,1
239,1761,0.1836697608,-5.126909733,1
239,1793,-1.263439417,-4.24566555,1
239,1825,-1.845076799,-2.583768606,1
239,1857,-0.4617401361,-0.129881978,1
239,1889,-0.2384225726,-0.2130303383,1
239,1921,-0.1627808809,0.08267521858,1
239,1953,-0.08361706883,-0.1588644981,1
239,1985,0.07309937477,-0.1443331838,1
239,2017,0.08641603589,-1.168171525,1
271,33,0.7970142365,0.6779717207,1
271,65,-0.368997097,0.3569902182,1
271,97,-0.4837989807,0.04346466064,1
271,129,-1.624566555,-0.7193292379,1
271,161,-1.190472841,-1.80752635,1
271,193,0.05288428068,-2.01480341,1
271,225,-0.1652758718,-1.397563457,1
271,257,0.2801280022,-0.3515193462,1
271,289,1.866633058,-1.623817921,1
271,321,1.688680887,-3.155247211,1
271,353,0.7097299099,-3.693911552,1
271,385,0.7541196346,-3.395881176,1
271,417,0.884023428,-3.754897356,1
271,449,1.321465731,-4.099914551,1
271,481,1.723479509,-2.853680611,1
271,513,1.981244206,-1.368201017,1
271,545,1.92675364,-1.497924566,1
271,577,2.22714901,-2.45278573,1
271,609,3.403075695,-3.35213089,1
271,641,3.151148319,-4.474834442,1
271,673,0.6684123278,-3.724339008,1
271,705,1.029704213,-3.327833414,1
271,737,-12.25611877,-4.992267609,1
271,769,-13.7340107,-8.280963898,1
271,801,7.002590179,-22.10406494,1
271,833,6.530897141,-2.619360685,1
271,865,8.795027733,-3.333081245,1
271,897,10.27937222,-3.271684408,1
271,929,7.56440258,-2.440948963,1
271,961,7.610389233,-1.80309391,1
271,993,7.944590569,-2.342571735,1
271,1025,7.697330475,-2.084131718,1
271,1057,6.971778393,-3.31233263,1
271,1089,5.673289776,-4.466706276,1
271,1121,4.020175457,-5.121946335,1
271,1153,4.799847603,-5.636995792,1
271,1185,6.47846508,-4.48118639,1
271,1217,7.117054939,-4.37156868,1
271,1249,7.304935932,-4.601813793,1
271,1281,6.400139809,-4.598855019,1
271,1313,5.529895782,-5.003833294,1
271,1345,3.438497543,-4.911310196,1
271,1377,1.824057102,-4.994762897,1
271,1409,2.178323746,-5.348380566,1
271,1441,2.949010134,-5.262322903,1
271,1473,1.955089331,-5.363004684,1
271,1505,1.398041368,-5.012669086,1
271,1537,12.13410187,-20.90916061,1
271,1569,3.722477913,-4.896505356,1
271,1601,3.691578388,-4.285083771,1
271,1633,2.690248489,-4.452519894,1
271,1665,2.151639462,-4.971307755,1
271,1697,1.447441816,-5.063784599,1
271,1729,1.616191506,-5.199465275,1
271,1761,0.04336065054,-3.525362968,1
271,1793,-0.9119300842,-2.853377819,1
271,1825,-1.084730625,-2.596796989,1
271,1857,-1.262229204,-1.904965401,1
271,1889,-0.6972958446,-1.362148523,1
271,1921,-0.02889320254,-0.37987113,1
271,1953,0.02834001184,-0.3042317629,1
271,1985,-0.02941934764,-0.1433958411,1
271,2017,-0.3814858198,-0.3382229805,1
303,33,-0.6394644976,1.339640737,1
303,65,-1.084814668,-0.5384491682,1
303,97,-0.4385617077,-0.4416152239,1
303,129,-0.05648929253,-0.4282186031,1
303,161,-0.01361569762,-1.001364231,1
303,193,0.1751279831,-1.581180096,1
303,225,0.8007203937,-1.091985583,1
303,257,1.372285008,-1.306964755,1
303,289,1.851599932,-2.263401747,1
303,321,2.042643547,-3.258594751,1
303,353,-17.99302292,0.5862240791,1
303,385,1.960995436,-3.17495966,1
303,417,1.782380581,-3.633715153,1
303,449,1.554407477,-3.407407045,1
303,481,1.655291796,-2.106779575,1
303,513,1.841423869,-1.765425205,1
303,545,1.085536122,-1.277014732,1
303,577,2.400222301,-2.326740742,1
