PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 3, filenames: A:[3]MAX_1202204_TgUtrmcherry_K4K8MO010.avi & B:[4]MAX_1202204_TgUtrmcherry_K4K8MO010.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,10.692379,0.06150829792,1
47,65,11.30581188,-0.2986881733,1
47,97,11.16330051,-0.5606300831,1
47,129,10.46885204,-0.9698284864,1
47,161,10.45547104,-0.7888920307,1
47,193,10.19635105,-0.2602242231,1
47,225,10.67992973,-1.802744508,1
47,257,11.38253212,-1.544325471,1
47,289,12.19809151,-0.5660436153,1
47,321,12.18116379,-1.128654957,1
47,353,13.00535488,-2.443299055,1
47,385,15.37730503,-5.13667345,1
47,417,16.44512177,-3.152250528,1
47,449,17.21186638,-1.068767548,1
47,481,17.51044083,-0.235687077,1
47,513,16.54805374,1.540831804,1
47,545,17.11119843,0.2294055223,1
47,577,19.52759933,-0.1460494995,1
47,609,20.8790741,-0.4904379249,1
47,641,24.86761665,-2.641792536,1
47,673,26.87444115,-1.545721531,1
47,705,27.4559021,0.4973286986,1
47,737,29.9449501,1.092316151,1
47,769,31.04274178,2.024727345,1
47,801,31.44744873,2.904157162,1
47,833,33.37191772,1.922253132,1
47,865,35.31677246,1.728769541,1
47,897,36.77132797,1.822698832,1
47,929,37.27551651,-0.9211943746,1
47,961,37.88922882,-3.353819132,1
47,993,38.09580994,-1.751970649,1
47,1025,38.161129,-3.038230658,1
47,1057,37.35773087,-3.726183891,1
47,1089,36.71457672,-6.49586916,1
47,1121,38.62572479,-8.109788895,1
47,1153,39.83660889,-10.02104568,1
47,1185,36.78678894,-11.13781738,1
47,1217,35.84953308,-11.43768501,1
47,1249,41.65014267,-13.17511368,1
47,1281,50.30630493,-15.31842613,1
47,1313,51.36828613,-21.11712456,1
47,1345,48.5200386,-22.23120117,1
47,1377,49.66477966,-25.14143372,1
47,1409,50.90155792,-29.96907997,1
47,1441,48.4538765,-26.46532249,1
47,1473,41.06333923,-24.3531723,1
47,1505,42.49522018,-23.59195328,1
47,1537,56.80514908,-26.91239929,1
47,1569,47.7901535,-34.40277863,1
47,1601,49.76855469,-37.173069,1
47,1633,55.76661682,-38.89489365,1
47,1665,59.28642273,-42.38671112,1
47,1697,46.83666229,-45.3939209,1
47,1729,46.3045578,-61.62994766,1
47,1761,35.83002472,-19.2530365,1
47,1793,41.2293129,-42.92170715,1
47,1825,17.95541,-16.48810387,1
47,1857,8.789934158,-5.8722229,1
47,1889,-0.5375747681,1.538167953,1
47,1921,-6.51980114,-4.398118973,1
47,1953,-14.12327003,1.937539101,1
47,1985,-12.53011322,4.767148018,1
47,2017,1.073052168,0.1748504639,1
79,33,10.32194614,0.01965999603,1
79,65,10.81348038,0.2731094956,1
79,97,10.55700016,0.5181390643,1
79,129,9.790101051,-0.5195363164,1
79,161,10.49087429,-2.24201107,1
79,193,11.11650753,-1.805614114,1
79,225,10.97896957,-1.661821485,1
79,257,11.66596317,-1.268890142,1
79,289,12.78169727,-0.4042104483,1
79,321,12.53796005,-0.3926370144,1
79,353,12.8338089,-1.10435164,1
79,385,14.23067093,-1.620531321,1
79,417,15.099617,-1.433549047,1
79,449,16.21980858,-0.7732545733,1
79,481,17.5711174,-0.0426568985,1
79,513,37.11716843,-4.687092781,1
79,545,18.68131447,-0.7501801252,1
79,577,20.10299873,-0.4141302407,1
79,609,20.9073658,-0.3802727163,1
79,641,24.27344131,-1.971548796,1
79,673,26.60793495,-2.076362371,1
79,705,26.58779526,0.75692904,1
79,737,41.12857819,11.0682373,1
79,769,42.99680328,7.453746796,1
79,801,31.13309097,2.878071547,1
79,833,31.65724754,3.088881969,1
79,865,32.43173218,1.747630835,1
79,897,34.73545074,-0.4550378919,1
79,929,36.78673172,-2.025491953,1
79,961,37.24084091,-1.925514221,1
79,993,38.2895546,-2.721154928,1
79,1025,39.37911224,-3.191953421,1
79,1057,38.82995987,-4.209245682,1
79,1089,38.74203491,-6.377971649,1
79,1121,39.61804199,-7.365787029,1
79,1153,40.39340591,-8.348519325,1
79,1185,41.15769577,-9.644491196,1
79,1217,41.18255234,-10.1748476,1
79,1249,42.09444046,-11.25782871,1
79,1281,45.56119156,-13.17199898,1
79,1313,48.25551987,-19.22863197,1
79,1345,48.88316727,-22.33244705,1
79,1377,50.08505249,-27.41505623,1
79,1409,62.94244385,-14.21409225,1
79,1441,46.12975693,-27.54702187,1
79,1473,44.90763092,-29.07109261,1
79,1505,48.02758408,-34.18252182,1
79,1537,50.50819397,-39.23922729,1
79,1569,43.3041954,-40.30438232,1
79,1601,48.88246155,-39.51302719,1
79,1633,54.73526001,-36.60635757,1
79,1665,48.75831223,-38.96456528,1
79,1697,45.45087433,-41.97970963,1
79,1729,40.38899231,-41.7442627,1
79,1761,38.19530106,-38.77677917,1
79,1793,21.98254013,-17.37065125,1
79,1825,16.52204514,-17.20549965,1
79,1857,37.93802261,-17.39603615,1
79,1889,31.85438538,-14.34136295,1
79,1921,2.469958782,-10.41712952,1
79,1953,0.2263174057,14.39101601,1
79,1985,0.8924856186,-2.782252073,1
79,2017,8.352591515,-3.602826595,1
111,33,9.901102066,0.1206951439,1
111,65,10.53360462,0.4329137504,1
111,97,11.28009605,1.53710413,1
111,129,9.412528992,3.649279118,1
111,161,9.383475304,-2.417616844,1
111,193,10.4715271,-2.443047047,1
111,225,10.97735214,-1.4497298,1
111,257,12.18464279,-0.7858653069,1
111,289,12.97583866,-1.190878153,1
111,321,12.90722179,-0.9168490171,1
111,353,12.61529541,-0.9845801592,1
111,385,13.32426643,-0.2784866095,1
111,417,5.326122284,16.3275032,1
111,449,15.70466232,-0.8559354544,1
111,481,16.81966782,-0.8132677078,1
111,513,18.07325363,-1.306006908,1
111,545,20.56518936,-0.4466969669,1
111,577,20.62913895,-0.2104400396,1
111,609,20.87807846,-0.3418248892,1
111,641,23.14882278,-0.5834131241,1
111,673,24.63982582,-1.802423,1
111,705,25.85120201,0.8605438471,1
111,737,26.32966423,2.281205177,1
111,769,26.23817635,1.839287043,1
111,801,13.53676605,6.598805428,1
111,833,32.68417358,2.152921915,1
111,865,33.97563934,-1.267560124,1
111,897,35.57535934,-1.992572188,1
111,929,36.32939911,-1.573348641,1
111,961,36.27592468,-2.013375044,1
111,993,37.11223602,-2.930390358,1
111,1025,38.05430603,-1.915094137,1
111,1057,38.6467247,-2.946605682,1
111,1089,39.32969284,-7.224896431,1
111,1121,39.88716125,-7.227804184,1
111,1153,40.53770447,-7.557266235,1
111,1185,42.09193802,-9.134128571,1
111,1217,43.48276138,-9.911233902,1
111,1249,44.16253662,-10.38441181,1
111,1281,44.99435425,-11.54842758,1
111,1313,49.18460464,-20.11576843,1
111,1345,44.96939087,-22.75977516,1
111,1377,45.49139786,-24.9900856,1
111,1409,42.87696838,-25.9012661,1
111,1441,43.85188293,-26.95945358,1
111,1473,45.00789642,-29.66954422,1
111,1505,46.46897888,-33.69006348,1
111,1537,47.63875961,-35.55902481,1
111,1569,47.56115341,-38.86338043,1
111,1601,49.11486435,-38.70181274,1
111,1633,50.23768997,-39.62414169,1
111,1665,46.21088791,-41.89990997,1
111,1697,43.3987236,-38.60209274,1
111,1729,39.67475128,-37.70098114,1
111,1761,36.59960938,-36.02895355,1
111,1793,33.15278244,-38.50615311,1
111,1825,26.42324638,-21.43212128,1
111,1857,21.62671852,-17.33160019,1
111,1889,3.19775486,-0.5823087692,1
111,1921,2.63269043,-1.383043289,1
111,1953,5.328061104,0.06251478195,1
111,1985,8.124469757,-4.681477547,1
111,2017,-18.92411041,-9.483734131,1
