PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 27, filenames: A:[27]MAX_1202204_TgUtrmcherry_K4K8MO010.avi & B:[28]MAX_1202204_TgUtrmcherry_K4K8MO010.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,0.913410306,-0.1761357784,1
47,65,1.588293552,3.215378284,1
47,97,1.691593647,1.666920662,1
47,129,1.744007826,0.9747320414,1
47,161,0.7579427958,1.139868379,1
47,193,0.7777314186,0.1901295185,1
47,225,1.318331599,0.7583599091,1
47,257,1.649242401,1.602874041,1
47,289,1.316563129,1.924753428,1
47,321,3.486932993,15.80970383,1
47,353,1.31005156,0.5998828411,1
47,385,0.5120270252,-0.5010387897,1
47,417,1.512764692,-7.367926121,1
47,449,0.7644636631,-1.901245117,1
47,481,-0.6312077045,-3.888302326,1
47,513,-0.7179768085,-6.41027689,1
47,545,1.414261341,-5.150885105,1
47,577,2.039890766,-3.352173328,1
47,609,0.88991642,-2.642016888,1
47,641,1.444609165,-2.468769073,1
47,673,2.058211327,-2.479529381,1
47,705,1.56997776,-1.080717564,1
47,737,-0.002923130989,-0.1538639069,1
47,769,-0.206523478,-0.7631392479,1
47,801,-0.4206223488,-1.375034451,1
47,833,-0.5802515149,-0.777661562,1
47,865,0.2671726942,-1.228817582,1
47,897,0.9406081438,-1.831135511,1
47,929,0.8101103306,-1.705159187,1
47,961,0.1002485752,-2.725283623,1
47,993,-1.236007452,-2.769120932,1
47,1025,-2.373942375,-3.16148901,1
47,1057,-2.38277626,-2.564780474,1
47,1089,-1.174708605,-3.080155134,1
47,1121,-0.3148770332,-4.351649284,1
47,1153,-0.7541706562,-4.73928833,1
47,1185,-2.028423309,-3.523994446,1
47,1217,-2.956706524,-2.796889782,1
47,1249,-5.910014153,-3.006948948,1
47,1281,-7.589211464,-3.841182232,1
47,1313,-17.74315453,-20.83051682,1
47,1345,-3.141722679,-3.03234601,1
47,1377,-3.874343872,-2.777378321,1
47,1409,-3.569117546,-1.445622802,1
47,1441,-2.232157707,-0.8033413887,1
47,1473,-2.257916927,-0.06515914202,1
47,1505,-2.111782789,0.2842161059,1
47,1537,-5.172239304,-2.096782684,1
47,1569,-6.567361355,-1.696395636,1
47,1601,-5.442113876,-2.051589251,1
47,1633,-4.269711971,-3.063578606,1
47,1665,-2.428803921,-3.902555943,1
47,1697,-0.5399800539,-1.225840092,1
47,1729,-0.06313157082,-0.463654995,1
47,1761,-0.3269408941,0.1339693069,1
47,1793,-0.4881441593,0.745028019,1
47,1825,-0.2842264175,0.7707984447,1
47,1857,0.133366555,0.7605543137,1
47,1889,0.1649190187,0.498478651,1
47,1921,-0.06317151338,-0.09395994246,1
47,1953,0.06426301599,-0.3392853141,1
47,1985,0.01122583449,-0.181475088,1
47,2017,0.2311085016,0.1403961182,1
79,33,0.9767686129,0.3492746353,1
79,65,1.005761027,0.5071399808,1
79,97,0.7660830021,0.2364324331,1
79,129,1.522870421,1.064824104,1
79,161,2.356708527,2.064305305,1
79,193,1.512084246,2.292851925,1
79,225,1.272488356,1.876659155,1
79,257,0.9783085585,0.8425358534,1
79,289,0.9715189934,0.1684969664,1
79,321,7.258127689,-18.33337593,1
79,353,1.360190749,0.2779987454,1
79,385,0.5912001133,-0.528635323,1
79,417,0.9768027067,-0.8571534157,1
79,449,1.355961084,-2.607383251,1
79,481,0.01047256589,-3.129749537,1
79,513,-8.363825798,4.044559479,1
79,545,0.8833169937,-3.916596889,1
79,577,1.474642277,-3.582971573,1
79,609,2.012473345,-2.409432411,1
79,641,1.663515925,-2.442464352,1
79,673,1.3053931,-2.384386301,1
79,705,1.012754798,-1.443501115,1
79,737,0.07782894373,-1.531395674,1
79,769,19.47900009,-4.108263969,1
79,801,0.01471851766,-2.373132467,1
79,833,-0.1846953332,-2.525316715,1
79,865,-0.03885899484,-0.899389267,1
79,897,0.5749783516,-0.4895405769,1
79,929,0.9112593532,-1.529893279,1
79,961,0.5017428398,-1.888251543,1
79,993,-0.2752069235,-2.22777462,1
79,1025,-1.126870871,-2.345530987,1
79,1057,-1.005828381,-2.500483513,1
79,1089,-0.8332597017,-3.348501682,1
79,1121,-0.7171183825,-3.249340773,1
79,1153,-0.977237463,-3.161329508,1
79,1185,-1.613757372,-2.45423007,1
79,1217,-1.437389851,-1.858898163,1
79,1249,-2.293571711,-0.5722554922,1
79,1281,-2.840978384,-2.451519251,1
79,1313,-2.718459606,-2.707539797,1
79,1345,-3.242723703,-1.298783779,1
79,1377,-1.495970249,-1.945911288,1
79,1409,-1.00820303,-1.289013982,1
79,1441,-0.7139977217,-0.8947271705,1
79,1473,-1.028754354,-0.5923185349,1
79,1505,-1.580400705,0.02361470461,1
79,1537,-2.985455275,-0.2949767113,1
79,1569,-5.621205807,-1.1517452,1
79,1601,-3.764712572,-1.803205252,1
79,1633,-2.42889142,-1.751721859,1
79,1665,-2.433423758,-2.123209476,1
79,1697,-1.717127085,-0.9947435856,1
79,1729,-0.2445174456,-0.08525028825,1
79,1761,0.06835663319,-0.3123578727,1
79,1793,0.2799829245,-0.1828428507,1
79,1825,0.2244453132,-0.06818425655,1
79,1857,0.1111641377,-0.1331662536,1
79,1889,-0.1777949035,-0.115167886,1
79,1921,-0.1265879869,-0.07699854672,1
79,1953,-0.02686745115,0.003181189299,1
79,1985,-0.03594342619,-0.1330588013,1
79,2017,0.1474846601,-0.4532283247,1
111,33,0.4344729781,0.2319379747,1
111,65,1.015851855,0.3032241166,1
111,97,1.526935577,1.31744802,1
111,129,1.160330176,1.622229934,1
111,161,1.651965141,2.548916817,1
111,193,1.073158264,2.915946007,1
111,225,0.669631958,2.601161957,1
111,257,1.399870872,1.318094969,1
111,289,0.8825851679,-0.2289150655,1
111,321,1.463053823,-1.691657782,1
111,353,1.578850269,-1.030358553,1
111,385,0.2784328461,-1.272304654,1
111,417,1.070062876,-1.262689829,1
111,449,1.003396869,-1.381141305,1
111,481,0.5340328217,-1.456747413,1
111,513,-0.1919367909,-21.89802361,1
111,545,0.3601331711,-3.038674355,1
111,577,0.7828330994,-1.738381863,1
111,609,1.694969773,-2.105330706,1
111,641,0.8876230717,-3.254582167,1
111,673,-0.5314254761,-2.720008612,1
111,705,-0.1080228835,-2.22011137,1
111,737,0.02223461866,-3.148198366,1
111,769,-0.4417017698,-2.702307224,1
111,801,0.521699965,-2.132341146,1
111,833,1.5080055,-2.043799877,1
111,865,-0.1016513407,-0.8861232996,1
111,897,-0.1559069604,-0.3104951382,1
111,929,0.3158575892,-0.8166247606,1
111,961,0.34830755,-1.037509799,1
111,993,0.07240608335,-2.465517044,1
111,1025,-0.5738313198,-2.9573493,1
111,1057,-0.4800521135,-2.741149187,1
111,1089,-0.2509383559,-2.445187569,1
111,1121,-0.7313858271,-2.254258394,1
111,1153,-1.127690077,-2.234515667,1
111,1185,-1.414253235,-1.950129747,1
111,1217,-1.074014902,-1.069369078,1
111,1249,-0.5733947754,0.06911110878,1
111,1281,-1.161458135,-0.8451669216,1
111,1313,-1.410132647,-1.29316783,1
111,1345,-1.020160437,-0.6762759686,1
111,1377,-0.3990403414,-1.687291384,1
111,1409,0.07213556767,-1.367518306,1
111,1441,-0.1537652016,-1.012778997,1
111,1473,-0.4672306776,-0.1078388095,1
111,1505,-1.302915096,0.2700661421,1
111,1537,-2.449422359,-0.65662992,1
111,1569,-2.951215506,-1.066087604,1
111,1601,-2.743849277,-1.427810192,1
111,1633,-2.612439156,-1.662451744,1
111,1665,-2.600895882,-0.9530283809,1
111,1697,-2.042711258,-0.2261867523,1
111,1729,-0.7640168667,0.5552930832,1
111,1761,-0.1426997185,0.05012053251,1
111,1793,0.2002245486,0.09472799301,1
111,1825,0.1423544139,-0.06484079361,1
111,1857,0.089299649,-0.2206712365,1
111,1889,-0.04498085752,-0.314756155,1
111,1921,-0.01357240416,-0.1230921298,1
111,1953,-0.01041009929,-0.07817173004,1
111,1985,-0.1917360425,-0.2593838573,1
111,2017,0.02380980551,-0.5874108076,1
143,33,0.8144161105,0.5615980625,1
143,65,1.34249711,0.6751129031,1
143,97,1.972524881,2.019705296,1
143,129,1.323445201,1.3315382,1
143,161,1.119336963,1.870402694,1
143,193,0.5941287279,1.6258111,1
143,225,0.5953028202,2.926264763,1
143,257,2.16856885,1.798605919,1
143,289,2.850759029,0.106477201,1
143,321,1.471042395,-0.8235357404,1
143,353,-0.4309114218,-3.248335123,1
143,385,0.2955088615,-2.184135914,1
143,417,1.621218204,-1.491720438,1
143,449,1.961223841,-1.410851955,1
143,481,1.704397917,-1.106334567,1
143,513,-8.978096008,-19.37923813,1
143,545,0.3763800859,-1.988460779,1
143,577,0.4794664979,-1.538591146,1
143,609,2.355627775,-2.766016483,1
143,641,1.918218136,-3.844849825,1
143,673,-0.4710479975,-2.296448231,1
143,705,-0.7955083847,-2.18276453,1
143,737,0.3596633077,-5.005004883,1
143,769,-16.26874924,-10.84828568,1
143,801,-0.5201331377,-2.180234671,1
143,833,0.5782956481,-1.806944132,1
