 ,Area,Mean,Perim.,Major,Minor,Angle,%Area
1,1913.228,118.681,188.088,53.058,45.912,38.292,23.311
2,848.175,120.097,128.397,37.376,28.894,155.266,31.485
3,600.420,125.750,102.212,31.552,24.229,157.969,45.858
4,800.172,120.078,120.146,34.926,29.170,94.032,23.480
5,698.602,120.669,114.701,38.613,23.036,126.843,32.050
6,933.383,118.555,140.456,39.643,29.978,32.100,19.908
7,400.727,124.598,88.686,31.981,15.954,85.190,40.818
8,847.504,118.688,135.295,41.063,26.279,51.483,19.099
9,687.828,119.715,109.960,33.596,26.067,52.391,23.114
10,876.370,123.870,123.044,40.759,27.376,50.840,40.972
11,935.230,121.615,124.529,36.257,32.842,79.734,28.380
12,896.119,117.863,132.543,43.357,26.316,113.401,20.340
13,810.217,119.249,118.653,40.763,25.308,23.374,23.349
14,1064.147,121.402,154.748,57.135,23.714,75.613,34.484
15,751.040,122.798,122.622,36.993,25.850,113.009,34.238
16,1065.206,123.398,141.885,43.873,30.914,30.073,40.440
17,838.824,118.145,130.212,35.518,30.070,66.629,17.605
18,928.901,118.349,138.533,37.533,31.512,98.197,18.945
19,789.339,122.079,124.247,37.396,26.875,5.195,31.386
20,819.298,123.901,115.734,36.903,28.268,96.830,44.644
21,548.335,124.740,101.495,28.682,24.341,34.868,42.341
22,754.451,117.625,126.660,36.627,26.226,9.622,19.808
23,296.040,126.544,72.901,25.542,14.757,21.133,47.612
24,314.801,126.076,72.200,22.171,18.078,171.949,48.145
25,567.214,124.807,102.632,31.117,23.209,96.030,42.456
26,759.285,126.591,121.758,36.723,26.325,120.186,49.751
27,527.116,126.123,94.310,28.898,23.225,101.336,39.602
28,1034.282,120.618,159.212,47.342,27.816,31.415,29.189
29,585.505,129.819,98.322,31.163,23.922,53.234,48.534
30,1070.182,122.752,142.166,38.888,35.039,2.769,38.980
31,374.744,133.606,81.641,24.518,19.461,150.802,50.874
32,534.914,126.699,93.568,31.306,21.756,37.338,44.087
33,1394.628,123.374,170.315,48.387,36.698,46.441,40.541
34,706.765,120.067,105.143,32.737,27.488,8.268,27.377
35,1232.881,122.600,155.924,40.189,39.059,34.769,33.378
36,589.128,120.874,95.939,32.994,22.734,30.576,34.487
37,428.440,132.712,96.847,29.659,18.392,4.966,56.496
38,660.550,117.120,102.929,33.784,24.895,59.883,15.968
39,407.702,120.519,86.835,30.118,17.236,18.645,30.879
40,512.248,124.815,100.772,31.842,20.483,45.487,38.867
41,616.064,123.489,101.780,29.864,26.266,85.582,40.202
42,513.706,123.233,90.668,27.424,23.850,116.409,38.001
43,442.566,119.211,87.315,25.259,22.309,41.227,26.044
44,563.533,121.736,99.164,30.884,23.232,158.946,39.888
45,864.078,120.481,124.209,37.166,29.602,74.810,29.785
46,374.579,126.320,75.353,25.650,18.594,40.050,47.358
47,771.001,123.645,124.713,37.190,26.396,21.811,36.955
48,463.057,120.013,85.930,26.256,22.455,51.110,27.223
49,453.000,125.836,87.053,24.398,23.641,46.727,49.579
50,744.794,131.528,112.032,34.373,27.589,66.367,58.550
