 ,Area,Mean,Perim.,Major,Minor,Angle,%Area
1,673.219,130.844,103.670,33.691,25.442,179.083,67.762
2,499.756,133.881,101.078,34.822,18.273,164.258,77.372
3,384.918,126.680,104.536,26.981,18.164,86.331,53.594
4,1193.877,125.937,146.598,45.028,33.759,118.327,57.865
5,1039.481,135.093,137.443,41.618,31.802,124.492,79.008
6,1553.352,129.221,166.151,52.456,37.703,25.345,64.899
7,986.597,126.820,130.472,39.029,32.186,173.161,54.210
8,1053.773,122.080,134.198,38.398,34.942,24.906,39.396
9,0.000,NaN,0.460,NaN,NaN,0.000,NaN
10,1328.452,121.661,152.451,47.349,35.723,135.257,40.315
11,868.877,135.528,127.306,36.976,29.919,36.493,76.725
12,668.902,141.451,103.507,34.074,24.995,16.545,75.895
13,1066.065,125.490,154.635,49.097,27.647,2.880,54.183
14,870.594,134.631,123.355,36.008,30.785,80.063,75.430
15,600.844,142.126,101.413,30.052,25.456,139.139,81.230
16,1291.153,128.519,158.193,45.515,36.119,167.854,64.133
17,1346.390,131.167,168.591,51.367,33.373,54.248,71.336
18,999.947,142.000,133.761,39.728,32.047,118.724,91.323
19,770.354,139.526,109.065,33.292,29.462,145.817,82.636
20,848.328,140.279,118.590,35.779,30.189,22.945,82.393
21,1084.497,134.481,150.157,47.585,29.018,41.348,76.609
22,1490.340,131.931,158.932,48.953,38.763,98.788,64.261
23,1869.977,128.827,183.066,50.723,46.940,156.878,58.033
24,958.308,123.721,126.979,38.287,31.868,2.748,47.316
25,808.359,133.706,116.685,36.927,27.872,171.809,79.081
26,0.000,NaN,2.364,NaN,NaN,0.000,NaN
27,582.764,126.720,99.718,29.917,24.802,49.429,56.261
28,866.266,122.309,115.158,36.327,30.362,98.441,40.260
29,810.005,132.827,119.826,33.408,30.871,36.655,73.434
30,909.811,144.073,125.664,39.517,29.314,109.917,84.394
31,700.543,131.085,110.328,33.551,26.585,21.410,75.363
32,722.621,140.278,109.939,33.500,27.465,138.289,84.497
33,718.998,122.597,113.031,35.190,26.015,164.487,43.414
34,812.923,137.491,120.709,37.549,27.565,129.203,84.024
35,1278.638,126.585,151.536,46.520,34.996,99.930,60.663
36,1202.428,141.191,145.707,46.272,33.086,68.901,84.776
37,1538.979,131.381,161.707,51.344,38.164,104.690,63.695
38,705.507,124.491,112.961,32.407,27.719,66.422,52.452
39,1817.610,130.004,185.752,50.477,45.848,48.990,62.816
40,626.945,140.271,106.526,38.391,20.793,61.711,92.732
41,883.851,137.300,119.531,41.028,27.429,85.073,80.824
42,673.854,148.287,112.947,36.603,23.440,43.272,94.426
43,1117.232,129.409,133.997,41.825,34.011,9.600,68.008
44,671.595,134.437,113.935,37.634,22.722,16.886,74.716
45,657.845,141.819,125.056,49.363,16.968,176.608,89.869
