 ,Area,Mean,Perim.,Major,Minor,Angle,%Area
1,501.191,119.579,90.084,25.570,24.956,179.330,24.021
2,1760.950,117.520,185.598,49.771,45.049,39.420,17.073
3,719.187,119.433,114.766,35.361,25.896,154.927,24.600
4,546.912,121.394,96.239,30.013,23.202,148.374,28.516
5,645.353,119.056,111.504,39.249,20.936,129.619,21.717
6,726.162,118.570,115.525,32.863,28.134,105.248,18.124
7,877.017,116.546,131.106,40.248,27.744,25.516,12.112
8,355.241,121.947,84.497,30.799,14.686,80.738,30.886
9,739.348,118.310,131.266,38.201,24.643,51.828,18.151
10,620.581,118.371,106.427,30.891,25.579,46.116,17.737
11,524.834,120.223,96.833,29.814,22.414,25.568,25.924
12,813.605,120.422,119.361,39.132,26.472,45.609,24.484
13,905.447,118.486,124.250,35.959,32.060,79.177,19.021
14,806.665,115.821,125.494,41.542,24.724,111.432,10.649
15,710.329,118.280,112.711,38.723,23.356,20.856,18.243
16,895.202,120.311,147.752,54.385,20.958,77.575,26.208
17,688.945,120.122,116.419,34.204,25.646,124.650,23.845
18,756.897,116.784,121.956,34.481,27.949,71.149,13.278
19,945.687,120.105,136.493,42.589,28.272,33.276,28.278
20,838.906,117.108,133.634,36.277,29.444,93.917,14.425
21,830.625,122.375,122.217,38.190,27.693,72.452,32.974
22,675.442,119.497,114.399,34.841,24.683,8.780,22.954
23,482.736,120.109,95.587,26.611,23.097,1.804,26.630
24,663.738,116.235,118.419,34.048,24.820,2.942,12.737
25,237.357,121.555,65.160,23.682,12.761,28.491,31.810
26,280.678,120.513,68.587,20.493,17.438,167.324,26.766
27,515.353,120.771,97.369,28.922,22.687,91.694,29.313
28,905.564,118.979,150.730,45.910,25.114,38.794,22.596
29,458.434,122.664,93.554,28.071,20.794,103.212,28.527
30,663.809,123.161,110.803,34.838,24.261,117.874,33.460
31,294.241,126.850,68.727,20.610,18.177,124.949,37.689
32,585.705,121.349,99.003,27.592,27.027,13.087,27.467
33,513.154,126.342,91.119,27.453,23.799,56.058,36.976
34,931.183,121.501,136.099,38.527,30.774,175.330,29.060
35,469.503,123.825,87.216,27.539,21.707,34.466,30.891
36,979.445,122.685,144.794,40.031,31.153,32.318,32.209
37,663.550,118.309,101.144,31.231,27.052,7.580,19.533
38,1170.610,119.101,158.840,39.257,37.967,64.146,23.059
39,523.340,118.997,87.656,29.072,22.920,37.287,22.845
40,1138.240,121.444,159.044,41.915,34.576,35.327,31.524
41,416.077,127.003,93.524,30.065,17.621,13.631,46.012
42,592.704,115.956,97.280,33.595,22.464,54.592,8.901
43,360.534,119.622,83.655,30.722,14.942,22.448,27.347
44,474.631,123.280,95.477,31.613,19.116,40.616,33.637
45,441.202,119.517,83.751,25.591,21.951,148.083,24.490
46,383.142,118.141,89.552,25.931,18.813,59.881,18.374
47,856.867,120.286,134.142,39.144,27.871,52.300,23.875
48,542.760,119.913,98.421,28.881,23.928,60.645,26.622
49,416.371,117.114,83.353,23.710,22.360,50.103,15.882
50,485.888,119.332,91.416,28.518,21.694,169.849,23.417
51,367.557,122.797,77.509,27.291,17.148,41.765,35.234
52,338.044,125.483,78.725,24.726,17.408,8.480,43.203
