 ,Area,Mean,Perim.,Major,Minor,Angle,%Area
1,1793.109,118.936,178.076,52.697,43.324,25.730,25.286
2,875.735,120.310,128.254,38.084,29.278,153.180,33.585
3,615.300,126.617,103.073,31.726,24.693,157.453,49.308
4,797.502,120.221,121.294,35.692,28.450,91.076,23.494
5,722.492,120.527,115.209,39.991,23.003,128.374,33.110
6,946.134,118.697,138.784,40.336,29.866,23.916,20.904
7,442.813,124.693,92.345,32.134,17.545,84.389,42.291
8,821.733,118.957,136.956,39.559,26.448,51.700,20.638
9,703.307,120.110,109.151,33.684,26.585,47.444,25.702
10,896.684,124.841,124.350,39.918,28.601,49.087,44.328
11,965.177,122.002,125.041,36.746,33.443,79.998,30.003
12,880.793,118.245,131.300,42.409,26.444,113.914,22.620
13,807.441,119.273,117.209,40.363,25.470,27.157,24.249
14,1097.553,121.731,156.525,57.639,24.245,75.268,37.167
15,772.718,123.742,122.797,36.882,26.676,115.084,37.340
16,1106.269,124.111,142.514,43.598,32.308,32.959,42.723
17,867.948,118.114,128.166,35.954,30.737,59.837,18.045
18,940.041,118.513,135.676,37.043,32.311,98.323,20.183
19,596.680,125.750,103.077,29.036,26.165,24.176,46.630
20,761.861,117.852,126.528,38.115,25.450,5.384,20.877
21,342.679,126.737,74.337,22.286,19.578,169.178,49.549
22,569.026,125.672,103.780,32.009,22.635,104.352,44.146
23,785.210,126.928,123.408,38.155,26.202,126.761,52.152
24,578.001,126.181,96.817,30.361,24.240,112.268,40.986
25,1039.081,121.019,152.959,45.969,28.781,28.738,31.167
26,589.963,130.956,100.296,31.291,24.006,55.875,53.563
27,1052.855,123.169,146.954,40.240,33.314,35.922,41.235
28,574.648,127.069,98.075,31.742,23.050,28.294,44.418
29,1466.380,123.292,169.671,48.671,38.361,40.659,39.402
30,719.751,120.269,107.240,33.434,27.410,7.088,28.274
31,477.666,131.529,98.081,30.381,20.019,0.502,53.387
32,597.127,121.050,96.896,33.096,22.972,31.834,36.297
33,1198.488,123.392,151.614,40.921,37.291,104.393,35.824
34,648.235,117.612,101.485,32.275,25.573,62.045,18.790
35,422.935,121.255,86.799,29.887,18.018,16.178,34.189
36,529.645,125.176,104.999,31.959,21.101,46.112,42.769
37,550.206,124.464,93.239,28.862,24.272,115.607,42.947
38,627.980,124.440,105.345,30.622,26.111,84.517,42.938
39,398.339,118.886,97.159,25.357,20.001,74.222,24.001
40,441.261,119.858,89.764,25.811,21.767,36.013,29.776
41,568.202,123.576,99.418,31.347,23.079,162.250,48.276
42,887.027,120.937,130.345,38.792,29.114,71.753,32.530
43,396.528,126.705,77.807,25.758,19.601,45.630,48.474
44,781.752,132.958,114.786,36.340,27.390,68.621,62.056
45,494.616,120.273,87.553,27.012,23.314,47.014,28.093
46,1112.068,125.391,164.333,39.960,35.434,162.133,44.384
47,1084.755,122.562,139.842,41.511,33.272,160.113,35.391
48,545.418,126.492,93.083,27.901,24.890,76.528,50.333
49,377.555,136.913,92.081,26.464,18.165,51.858,80.198
50,568.320,123.978,102.402,34.987,20.682,43.966,39.861
51,364.745,135.412,77.794,24.812,18.717,153.397,56.925
52,861.196,122.135,132.072,40.440,27.114,177.303,32.605
