 ,Area,Mean,Perim.,Major,Minor,Angle,%Area
1,808.253,129.699,113.379,34.352,29.958,40.900,63.406
2,1231.576,124.646,140.314,40.184,39.023,138.532,48.924
3,1208.580,125.299,151.167,46.389,33.172,120.446,53.699
4,1031.318,133.980,137.068,42.094,31.195,116.862,75.515
5,1508.502,129.274,161.311,52.786,36.387,27.643,63.459
6,1043.351,127.340,135.287,40.504,32.797,162.709,53.760
7,1049.044,121.716,134.470,37.805,35.331,176.449,37.399
8,1269.275,121.665,148.167,46.629,34.659,134.528,39.872
9,810.417,135.401,124.017,36.348,28.389,40.437,75.419
10,614.370,141.566,99.096,32.130,24.346,15.224,74.563
11,1054.584,124.620,150.770,47.762,28.113,0.458,50.279
12,837.471,133.876,121.241,36.348,29.336,77.738,73.048
13,642.636,141.319,102.208,31.235,26.196,155.608,78.096
14,1246.314,128.106,154.766,46.910,33.827,170.788,61.675
15,1298.634,129.556,167.670,51.542,32.080,53.326,66.845
16,985.197,140.653,134.190,38.996,32.167,114.978,89.019
17,713.999,139.417,105.896,31.079,29.251,122.395,81.374
18,794.608,140.438,116.298,35.901,28.181,29.069,81.690
19,1084.602,134.895,139.273,48.090,28.716,31.849,75.883
20,1786.098,129.130,176.739,48.768,46.632,170.462,58.220
21,1337.274,131.908,153.023,45.542,37.387,106.119,63.490
22,902.589,124.598,119.356,36.629,31.374,6.983,50.328
23,811.805,132.501,115.414,36.549,28.280,174.382,76.169
24,592.563,126.349,103.760,30.439,24.786,50.809,54.561
25,792.761,131.559,120.058,33.310,30.302,54.329,70.022
26,876.652,122.464,117.457,33.939,32.888,117.241,40.607
27,852.586,142.461,119.083,36.873,29.440,115.967,80.993
28,750.322,138.466,110.320,33.243,28.738,139.354,80.412
29,690.486,130.196,109.154,33.447,26.285,17.566,72.715
30,691.768,121.705,112.523,33.443,26.337,163.606,39.731
31,768.601,136.823,117.324,35.973,27.204,138.250,82.590
32,1224.612,125.892,147.463,44.340,35.165,86.078,57.629
33,1118.255,140.887,140.488,44.321,32.125,62.183,84.599
34,1501.585,130.878,159.040,49.749,38.430,105.831,62.056
35,726.197,124.282,115.292,32.933,28.076,54.108,49.930
36,1763.938,129.015,182.711,49.461,45.408,58.929,58.774
37,640.319,138.800,106.064,37.711,21.619,56.048,90.042
38,847.904,136.864,118.753,39.833,27.103,86.320,78.470
39,624.921,148.804,111.477,34.950,22.766,37.455,94.005
40,991.302,128.322,126.173,41.568,30.364,177.956,64.842
41,0.000,NaN,0.767,NaN,NaN,0.000,NaN
