 ,Area,Mean,Perim.,Major,Minor,Angle,%Area
1,507.437,120.603,89.597,26.141,24.716,90.060,28.628
2,1843.876,118.004,184.266,52.244,44.937,53.589,20.016
3,802.019,119.689,122.531,36.842,27.717,153.143,27.484
4,581.576,123.463,97.164,30.914,23.953,147.925,36.025
5,690.263,119.717,112.908,39.058,22.502,126.011,25.190
6,743.547,119.605,117.462,33.821,27.992,101.658,20.980
7,922.114,117.433,134.601,40.255,29.166,31.593,15.747
8,363.604,123.423,84.635,31.418,14.735,82.806,35.934
9,793.938,118.416,136.511,41.481,24.370,52.339,17.827
10,656.598,119.188,108.998,31.787,26.300,49.572,19.457
11,831.378,122.141,121.714,41.182,25.704,50.128,29.817
12,542.713,121.810,95.830,29.972,23.055,22.446,32.500
13,939.629,119.970,125.451,37.320,32.057,70.661,22.842
14,795.867,117.084,122.341,40.871,24.794,108.800,16.844
15,727.973,118.839,114.876,39.340,23.561,20.069,20.702
16,967.683,120.973,150.279,56.360,21.861,75.956,31.045
17,723.009,121.525,115.878,34.367,26.786,114.114,28.311
18,1016.674,121.537,144.131,43.727,29.604,35.713,33.334
19,796.067,117.485,124.691,35.257,28.749,66.116,15.116
20,859.326,117.651,135.840,35.455,30.860,89.930,15.682
21,743.194,120.802,120.047,37.563,25.191,10.357,27.360
22,941.523,122.281,127.543,39.839,30.091,66.665,36.201
23,518.070,121.919,98.210,27.527,23.963,3.531,34.727
24,665.467,116.833,120.963,34.675,24.435,6.197,15.500
25,274.150,124.474,69.985,24.670,14.149,28.154,41.035
26,277.796,123.320,67.630,20.734,17.059,166.730,38.083
27,486.476,123.317,95.066,26.805,23.108,92.314,38.989
28,506.367,124.162,92.930,28.833,22.361,107.195,34.017
29,954.497,119.684,155.660,45.962,26.441,37.193,25.164
30,725.021,124.821,117.637,36.527,25.273,119.573,40.365
31,598.515,122.794,100.391,28.338,26.892,4.741,31.333
32,552.958,127.601,94.277,29.454,23.904,46.394,42.512
33,527.669,124.637,91.442,30.020,22.380,36.086,35.194
34,1360.458,121.921,170.341,46.555,37.208,52.647,34.433
35,669.478,119.443,102.518,31.659,26.925,176.696,24.916
36,1110.515,120.985,156.873,38.175,37.039,100.101,30.224
37,521.881,119.845,88.940,30.340,21.901,37.080,28.273
38,451.682,128.901,97.789,30.418,18.907,5.370,50.266
39,631.850,116.606,100.354,34.089,23.600,62.532,13.493
40,387.294,120.126,88.193,31.904,15.457,22.584,29.873
41,488.746,124.234,98.560,32.953,18.884,43.253,37.616
42,568.097,121.568,98.160,29.123,24.837,79.146,31.654
43,473.526,121.388,87.079,25.247,23.881,131.623,32.484
44,439.496,118.900,89.510,26.146,21.402,46.928,24.020
45,517.365,120.194,97.244,30.344,21.709,166.283,29.613
46,989.879,122.066,138.194,40.958,30.772,25.164,33.480
