 ,Area,X,Y,Perim.,Major,Minor,Angle
105,1260.132,312.836,312.179,148.541,52.138,30.773,80.139
106,641.843,56.992,311.648,111.259,43.340,18.856,87.967
107,1067.284,444.200,316.114,125.991,40.665,33.417,94.232
108,1452.979,492.954,325.934,155.993,56.321,32.848,97.198
109,1489.782,353.291,325.057,157.293,48.108,39.429,43.586
110,1460.339,254.244,330.563,158.714,50.674,36.693,78.203
111,992.206,208.727,335.634,144.155,50.985,24.778,68.097
112,774.333,228.976,343.057,134.103,46.142,21.367,92.342
113,1042.258,415.018,336.772,149.719,47.146,28.148,73.144
114,690.423,392.697,336.398,105.573,36.173,24.302,78.505
115,896.519,540.808,337.392,119.300,40.962,27.867,59.260
116,1399.983,161.317,344.204,159.303,54.246,32.860,69.683
117,1001.039,467.302,347.759,138.591,53.195,23.960,83.147
118,1304.295,128.133,350.936,152.440,53.719,30.914,103.148
119,1014.288,317.474,350.309,133.149,43.732,29.530,65.274
120,887.686,54.250,355.056,133.271,50.481,22.389,86.842
121,1305.767,432.617,358.937,154.866,57.974,28.678,38.333
122,621.233,362.164,353.791,98.293,34.502,22.926,62.285
123,1293.990,266.654,368.853,153.150,51.677,31.882,83.118
124,688.950,561.215,357.801,104.151,33.086,26.512,58.524
125,1336.682,294.250,375.551,158.542,57.901,29.394,97.942
126,1036.370,90.952,370.126,138.246,52.955,24.918,87.395
127,1317.544,173.958,378.184,149.008,53.299,31.474,71.164
128,2102.182,382.071,386.378,199.601,69.375,38.581,71.813
129,1217.440,510.589,375.855,162.562,59.778,25.931,74.092
130,777.277,111.362,378.102,128.712,46.248,21.399,87.110
131,1190.942,482.402,376.783,140.723,50.197,30.208,63.877
132,789.054,70.422,379.679,125.280,49.296,20.380,92.160
133,1193.886,333.128,378.306,136.875,50.161,30.304,66.255
134,1422.064,200.190,387.757,164.989,63.405,28.556,83.299
135,1018.705,533.237,381.408,145.576,57.444,22.580,65.476
136,1193.886,227.595,385.260,143.393,51.853,29.316,81.958
137,641.843,569.704,382.356,108.294,35.883,22.774,69.011
138,872.965,440.491,386.150,125.036,43.996,25.264,47.457
139,1005.456,138.535,396.372,142.144,50.141,25.532,82.350
140,778.750,352.636,396.842,122.143,43.481,22.804,82.333
141,549.099,546.908,397.863,99.714,34.453,20.292,62.570
142,789.054,248.916,403.051,114.863,41.397,24.269,77.932
143,1398.511,411.886,409.960,149.302,47.828,37.230,84.628
144,1145.307,450.008,411.658,143.616,54.260,26.875,56.632
145,647.731,156.321,413.098,106.872,36.008,22.903,80.637
146,1033.426,117.798,418.650,133.565,44.905,29.302,108.408
147,518.185,93.349,410.767,97.410,33.873,19.478,104.448
148,867.077,313.181,425.427,150.135,62.355,17.705,80.764
149,856.772,268.844,420.092,125.574,47.407,23.011,77.849
150,1545.722,476.309,422.282,173.030,66.923,29.408,44.333
151,846.467,293.793,419.626,116.701,42.105,25.597,79.436
152,774.333,176.516,425.357,116.751,41.005,24.044,68.111
153,814.080,334.282,426.287,122.731,41.754,24.824,61.383
154,747.835,514.830,422.902,115.573,38.697,24.606,60.104
155,628.594,228.677,428.481,105.867,35.726,22.403,99.912
156,787.582,536.621,431.100,115.695,40.673,24.655,69.455
157,881.798,210.588,436.504,138.296,53.430,21.013,114.582
158,1151.195,380.110,438.904,132.021,45.192,32.434,61.045
159,1115.864,244.410,451.701,144.155,52.910,26.852,69.157
160,765.501,348.023,445.046,113.319,38.793,25.125,57.561
161,1268.964,482.994,451.341,153.617,54.112,29.858,44.979
162,741.947,154.112,444.860,116.040,40.522,23.312,124.027
163,839.106,195.223,451.212,126.630,44.698,23.902,127.680
164,1501.559,429.586,457.318,166.461,59.273,32.255,62.562
165,1039.314,401.895,456.389,140.134,51.852,25.521,65.150
166,497.575,112.317,448.834,89.125,29.710,21.324,110.014
167,1076.117,139.536,463.319,147.170,56.266,24.351,115.210
168,683.062,270.343,456.489,117.584,46.140,18.849,67.149
169,641.843,512.815,456.682,104.029,34.835,23.460,69.228
170,597.679,289.918,457.623,105.278,34.507,22.053,50.013
171,1005.456,175.092,475.635,141.312,51.035,25.084,104.879
172,622.705,353.734,472.159,117.167,44.767,17.711,60.566
173,889.158,327.716,470.944,128.712,42.412,26.693,100.225
174,1345.514,440.779,488.087,161.019,63.015,27.186,64.377
175,649.203,307.246,483.456,114.568,42.673,19.370,75.192
176,677.174,196.770,484.598,115.990,43.241,19.939,103.967
177,1255.715,118.785,484.655,141.850,42.022,38.048,123.723
178,406.304,219.165,475.357,82.434,24.842,20.824,145.231
179,945.099,370.191,483.602,127.879,47.204,25.492,53.828
180,1083.478,488.900,486.208,141.900,51.744,26.661,58.921
181,556.460,287.994,482.495,111.137,34.726,20.403,56.852
182,652.148,462.866,490.038,117.706,41.304,20.103,68.046
183,684.534,248.659,486.452,103.735,32.737,26.624,66.347
184,983.374,165.439,504.162,136.509,49.491,25.299,121.470
185,462.245,266.499,495.880,94.861,31.000,18.985,59.229
186,868.549,392.945,496.307,124.742,44.901,24.629,43.681
187,775.805,225.941,500.648,114.863,42.000,23.519,142.354
188,412.193,322.731,502.331,89.886,34.470,15.225,40.360
189,421.025,412.520,505.305,83.144,27.402,19.563,66.325
190,1090.838,142.801,515.522,173.030,58.784,23.627,153.259
191,1001.039,337.681,517.112,128.001,42.614,29.909,54.575
192,582.958,288.712,513.177,99.420,30.952,23.981,73.189
193,965.708,195.966,524.780,136.997,42.791,28.734,129.538
194,827.329,222.692,523.527,129.595,47.623,22.119,139.085
195,705.144,362.894,520.333,116.873,41.066,21.863,55.312
196,457.828,306.356,524.303,88.586,27.109,21.503,83.116
197,859.716,258.395,521.157,138.418,38.988,28.076,15.754
198,394.527,392.211,522.981,82.017,25.755,19.504,56.257
199,697.783,407.938,532.181,130.600,48.907,18.166,44.758
200,1023.121,369.183,546.045,131.727,43.568,29.900,42.219
201,786.110,281.126,540.458,133.565,49.806,20.096,171.574
202,827.329,329.560,546.375,119.127,44.197,23.834,168.888
203,718.393,489.073,514.873,134.621,53.954,16.953,48.589
204,597.679,428.199,533.679,124.569,42.127,18.064,49.318
205,650.675,457.313,519.628,119.716,40.510,20.451,36.303
206,1079.061,75.041,183.157,151.140,49.211,27.918,73.930
207,1358.763,94.925,140.886,160.603,56.953,30.376,64.453
208,1051.091,262.924,25.420,143.911,43.699,30.625,27.786
209,1588.414,572.933,318.136,174.573,60.087,33.658,88.606
