 ,Area,X,Y,Perim.,Major,Minor,Angle
1,700.727,388.348,23.818,105.573,32.544,27.415,136.787
2,819.969,240.103,32.081,117.411,38.014,27.464,24.526
3,462.245,366.322,34.877,85.155,26.848,21.921,117.951
4,625.649,414.505,38.787,110.720,33.618,23.696,139.414
5,800.831,343.145,40.403,115.868,38.095,26.766,140.631
6,588.847,267.231,45.626,104.151,31.380,23.892,73.139
7,864.132,293.256,47.785,121.848,39.025,28.193,42.886
8,516.713,318.649,50.788,94.861,28.197,23.333,47.348
9,444.579,383.650,49.705,86.160,28.128,20.124,19.682
10,668.341,443.558,51.445,103.979,32.543,26.148,163.089
11,572.653,224.969,59.956,104.273,34.278,21.271,60.978
12,544.683,245.633,61.302,95.450,33.060,20.978,52.906
13,886.214,418.355,65.825,133.737,51.430,21.940,138.918
14,1157.084,357.972,78.620,148.297,57.038,25.829,65.824
15,864.132,195.699,71.094,122.731,38.351,28.689,28.399
16,591.791,337.496,69.641,100.009,32.899,22.903,71.877
17,843.523,395.436,74.515,123.148,42.284,25.400,154.353
18,680.118,254.149,80.244,112.852,37.033,23.383,43.566
19,900.935,456.107,77.212,122.265,36.871,31.111,169.141
20,1014.288,282.237,81.398,132.976,39.078,33.048,73.710
21,762.556,311.347,78.912,109.543,34.805,27.896,68.563
22,809.664,219.379,88.933,118.000,39.441,26.137,12.478
23,491.687,174.353,89.541,88.586,29.000,21.587,171.090
24,953.931,436.167,102.364,125.991,37.825,32.111,163.925
25,668.341,327.270,101.656,105.156,29.941,28.421,140.913
26,441.635,407.186,96.151,87.997,28.835,19.501,177.421
27,799.359,470.215,106.705,113.269,35.668,28.535,132.150
28,787.582,191.284,109.426,113.736,34.450,29.108,63.598
29,423.970,248.143,105.482,84.271,25.069,21.533,88.364
30,1242.466,380.355,104.779,149.597,46.704,33.872,112.664
31,734.586,159.696,113.753,114.446,34.760,26.907,46.223
32,753.724,271.902,111.383,111.553,35.333,27.161,28.568
33,905.352,305.828,116.668,120.599,40.740,28.295,122.503
34,877.381,220.048,116.178,120.427,41.050,27.214,34.962
35,715.449,352.159,119.968,107.999,31.336,29.070,58.217
36,696.311,500.210,119.462,104.273,32.211,27.524,47.157
37,616.817,135.197,130.060,104.151,32.135,24.440,42.953
38,559.404,241.455,130.996,93.023,29.396,24.229,48.022
39,666.869,330.420,137.866,113.147,37.208,22.820,86.000
40,759.612,441.816,130.468,124.986,35.294,27.403,49.608
41,762.556,285.462,135.958,109.004,32.420,29.948,174.283
42,962.764,412.734,138.851,124.102,35.744,34.294,21.874
43,889.158,168.270,138.516,132.732,45.929,24.649,39.416
44,846.467,480.524,140.114,132.854,48.501,22.222,125.423
45,284.118,261.223,135.887,71.549,20.466,17.676,83.544
