 ,Area,X,Y,Perim.,Major,Minor,Angle
1,1335.210,317.640,23.843,149.130,53.683,31.668,177.658
2,690.423,414.365,27.998,112.142,42.598,20.636,148.851
3,1195.359,270.097,42.790,146.754,55.097,27.624,33.409
4,895.047,220.142,41.572,121.726,41.881,27.210,16.222
5,696.311,393.380,39.155,107.167,39.871,22.236,158.940
6,774.333,345.567,52.391,107.705,34.747,28.374,146.846
7,1030.481,312.013,54.361,134.276,45.486,28.845,153.411
8,1126.169,381.255,59.063,151.556,49.195,29.147,163.565
9,1043.731,427.051,60.252,127.412,40.055,33.177,167.719
10,739.002,184.979,63.213,113.441,41.150,22.866,43.852
11,728.698,461.647,60.958,108.416,35.708,25.983,162.518
12,1411.760,216.425,70.464,167.588,64.209,27.994,28.725
13,1108.504,285.787,72.421,133.321,44.260,31.888,155.644
14,1641.410,253.512,93.122,162.735,56.277,37.136,100.132
15,824.385,151.750,83.595,114.152,39.692,26.444,44.638
16,736.058,358.897,85.274,106.994,31.715,29.550,156.819
17,1115.864,327.167,89.574,137.585,40.249,35.299,104.065
18,821.441,481.631,87.654,116.162,39.052,26.782,131.206
19,1363.180,390.960,93.530,149.962,47.140,36.819,57.743
20,774.333,455.272,92.105,112.730,37.417,26.349,118.660
21,1305.767,428.108,98.663,149.840,48.121,34.549,106.635
22,624.177,176.141,93.362,100.425,33.280,23.880,46.747
23,397.471,509.396,93.798,92.729,35.818,14.129,126.616
24,1760.651,216.058,108.953,169.426,49.319,45.454,87.289
25,1797.454,294.780,114.088,175.040,51.098,44.788,17.246
26,1271.909,118.921,116.688,151.607,57.222,28.301,52.398
27,631.538,148.376,113.866,113.858,38.537,20.866,47.376
28,937.738,505.156,119.528,127.168,42.798,27.898,109.570
29,1096.727,353.538,118.304,132.438,44.608,31.304,174.388
30,1215.968,475.452,124.069,139.596,45.366,34.127,120.180
31,1882.837,175.104,132.332,174.157,58.164,41.216,60.622
32,1673.796,404.528,137.227,165.994,55.912,38.116,125.260
33,1788.621,446.879,144.829,170.137,53.584,42.500,103.799
34,831.746,530.876,140.169,120.721,40.003,26.474,122.837
35,1759.179,241.730,149.666,171.264,60.065,37.290,73.612
36,1266.020,320.834,148.235,140.012,47.981,33.595,101.299
37,1405.871,275.200,156.712,158.004,57.357,31.208,81.002
38,597.679,141.353,142.363,98.537,30.615,24.857,69.266
39,577.070,345.140,150.735,108.243,42.137,17.437,85.750
40,1582.525,110.353,165.788,181.143,68.195,29.547,68.394
41,1866.644,375.412,162.460,170.431,54.551,43.568,129.451
42,1430.897,81.595,167.099,169.426,66.730,27.302,70.100
43,1452.979,205.106,159.595,164.573,48.243,38.347,101.615
44,1452.979,496.188,161.937,159.425,48.370,38.247,103.720
45,1076.117,529.139,172.110,132.976,39.865,34.370,126.107
46,1513.336,302.824,183.819,167.050,54.308,35.480,102.709
47,1377.901,136.811,179.913,154.155,54.072,32.445,61.199
48,1579.581,167.344,188.522,166.705,59.744,33.663,78.491
49,1514.808,462.241,187.563,160.136,52.385,36.818,66.667
50,1084.950,427.268,184.676,131.727,44.284,31.194,127.745
51,977.485,345.162,191.006,131.433,42.957,28.972,123.809
52,1635.521,197.781,203.632,165.994,55.247,37.693,65.095
53,1249.827,245.383,196.215,138.002,43.449,36.625,53.727
54,1238.050,381.059,201.730,153.861,49.263,31.998,37.219
55,868.549,494.908,201.816,118.711,41.516,26.637,104.816
56,1224.801,543.020,209.134,144.277,50.093,31.131,98.024
57,1723.848,274.775,218.758,171.781,56.562,38.805,68.027
58,1604.607,519.019,228.903,193.570,73.904,27.645,95.463
59,1145.307,62.984,217.497,144.815,52.039,28.022,85.268
60,909.768,86.907,218.657,129.544,52.524,22.054,83.347
61,877.381,407.047,214.057,114.446,38.690,28.874,68.731
62,1155.611,112.182,219.902,146.998,50.161,29.333,84.752
63,950.987,326.354,216.491,122.021,41.253,29.351,76.614
64,1280.741,566.368,232.162,159.669,61.399,26.559,85.641
65,1505.975,138.720,235.656,165.822,59.003,32.498,83.632
66,1491.254,222.864,234.144,160.897,48.919,38.814,75.907
67,739.002,474.795,221.293,106.161,35.227,26.710,129.874
68,1567.804,422.579,240.041,180.726,65.850,30.314,61.787
69,686.006,162.146,235.067,116.701,43.385,20.133,85.791
70,2108.071,347.510,246.923,189.011,65.683,40.864,61.335
71,1675.268,458.478,251.197,177.711,69.587,30.652,104.678
72,1084.950,382.357,247.924,150.307,52.407,26.359,62.618
73,1258.660,298.851,248.915,147.170,48.531,33.022,73.755
74,1326.377,492.571,256.248,158.420,57.689,29.274,82.893
75,1882.837,185.775,260.174,174.452,55.145,43.473,79.581
76,868.549,247.947,254.174,121.015,41.768,26.477,86.194
77,781.694,103.301,256.005,109.299,35.255,28.231,119.115
78,1447.090,537.465,272.261,176.706,69.232,26.613,75.862
79,783.166,79.184,265.425,130.549,50.697,19.669,84.560
80,1002.511,58.794,264.668,129.666,51.293,24.885,90.933
81,824.385,271.694,273.683,116.284,41.392,25.358,97.307
82,1071.701,428.598,279.526,137.464,49.953,27.316,49.392
83,971.597,390.917,278.206,120.721,36.680,33.726,87.868
84,521.129,572.160,275.284,95.866,34.590,19.183,101.265
85,1355.819,305.675,287.457,152.734,54.755,31.527,54.396
86,1286.630,140.884,281.492,152.561,42.511,38.535,113.563
87,1120.281,215.968,283.274,148.175,49.838,28.620,59.168
88,953.931,556.833,294.291,145.160,49.860,24.360,93.368
89,955.404,114.766,294.466,132.854,47.701,25.502,92.619
90,1423.537,505.816,298.275,154.572,50.748,35.716,78.682
91,1024.593,90.236,298.376,136.997,50.790,25.685,82.585
92,1688.518,238.153,302.743,172.025,62.223,34.551,51.222
93,1433.841,336.926,301.162,165.872,56.290,32.432,58.620
94,1610.495,167.149,311.150,181.731,63.046,32.525,81.397
95,849.411,365.995,305.229,118.294,44.455,24.328,76.102
96,837.634,444.899,301.767,118.294,41.735,25.554,49.507
97,1196.831,471.076,313.264,145.576,54.558,27.931,77.068
98,890.630,44.881,319.594,137.707,51.106,22.189,92.986
99,1701.767,191.442,330.634,194.870,70.393,30.781,71.147
100,1033.426,386.235,320.344,148.125,55.364,23.766,63.169
101,786.110,260.825,318.466,116.457,43.832,22.835,55.145
102,506.408,572.928,320.119,103.562,36.782,17.530,82.134
103,865.604,413.311,320.295,116.162,39.969,27.575,65.431
104,1288.102,276.937,340.644,170.137,63.792,25.710,78.639
105,1127.641,543.495,327.603,134.864,45.026,31.887,125.966
106,1819.536,137.316,338.301,172.563,60.661,38.191,96.166
107,1380.845,305.866,337.981,155.404,54.913,32.017,78.207
108,878.854,108.483,338.719,134.570,51.539,21.711,108.535
109,1335.210,513.982,346.251,158.420,59.723,28.466,77.618
110,1157.084,438.756,341.461,132.021,42.992,34.268,45.596
111,1679.685,343.700,348.646,168.299,56.171,38.074,67.192
112,1550.139,483.424,354.904,167.710,61.171,32.265,78.259
113,1327.849,94.115,360.837,180.432,72.465,23.331,104.645
114,1726.793,240.842,357.868,174.157,57.384,38.314,107.096
115,1358.763,73.651,367.128,179.549,76.702,22.555,101.755
116,961.292,217.293,375.322,164.522,55.651,21.994,91.455
117,706.616,54.387,365.117,127.118,52.027,17.293,101.165
118,995.151,198.320,371.335,153.272,61.438,20.624,74.898
119,1214.496,401.135,361.853,155.577,50.957,30.346,71.808
120,625.649,558.760,360.223,102.557,36.385,21.894,79.877
121,859.716,374.343,365.166,120.132,42.587,25.703,77.926
122,1021.649,529.997,371.281,131.311,50.150,25.938,52.456
123,1146.779,452.196,378.282,144.865,52.553,27.784,74.201
124,1634.049,158.930,382.862,170.431,55.547,37.455,65.186
125,1143.834,307.228,380.144,140.601,39.566,36.808,41.528
126,1448.563,415.706,389.059,162.146,58.996,31.262,41.961
127,1435.314,124.501,393.742,156.288,55.175,33.122,94.457
128,739.002,346.506,389.426,109.299,37.686,24.967,89.143
129,1586.942,254.169,404.613,173.446,58.119,34.766,73.340
130,719.865,546.106,392.009,112.609,39.878,22.984,54.618
131,1491.254,492.438,411.198,183.447,73.380,25.875,70.030
132,1541.306,284.195,413.674,164.695,55.797,35.171,88.056
133,1367.596,464.140,411.323,152.145,53.206,32.727,64.764
134,880.326,558.385,410.630,128.884,48.855,22.943,61.670
135,2066.851,367.466,423.018,208.130,78.127,33.684,72.744
136,1292.518,320.727,417.627,151.607,56.829,28.958,68.683
137,1258.660,515.755,418.899,154.744,58.773,27.267,60.544
138,1392.622,165.820,421.837,163.029,55.385,32.015,64.806
139,1045.203,91.212,423.157,151.090,60.428,22.023,94.510
140,1320.488,215.410,420.985,159.547,53.959,31.159,77.402
141,872.965,110.852,429.809,142.977,51.734,21.485,94.369
142,1086.422,422.110,419.573,131.311,44.943,30.778,41.894
143,1398.511,188.424,439.151,175.995,62.046,28.699,82.215
144,803.776,73.803,441.877,129.128,48.024,21.310,88.883
145,627.122,530.518,435.646,111.603,40.804,19.568,50.546
146,812.608,336.636,439.310,122.437,43.448,23.813,71.880
147,1489.782,394.440,450.704,162.735,54.649,34.710,86.646
148,928.905,134.147,443.647,145.576,52.098,22.702,80.349
149,1201.247,430.845,450.069,153.912,61.105,25.030,56.450
