 ,Area,X,Y,Perim.,Major,Minor,Angle
1,650.675,301.617,21.181,108.416,41.048,20.183,17.274
2,793.471,244.484,30.082,129.717,50.142,20.148,14.407
3,568.237,331.642,36.732,93.856,30.795,23.494,160.736
4,553.516,392.434,38.913,97.288,34.250,20.577,157.340
5,1017.232,277.689,50.224,128.417,40.870,31.690,104.547
6,633.010,305.565,43.301,100.131,31.834,25.318,162.583
7,1003.983,364.503,48.659,123.858,41.546,30.769,129.760
8,616.817,423.796,44.743,97.704,32.629,24.069,10.022
9,934.794,244.581,53.455,129.839,40.412,29.452,28.528
10,1008.400,456.757,64.494,130.133,45.077,28.483,117.782
11,1104.087,211.745,68.175,133.981,42.287,33.244,70.799
12,681.590,340.435,63.434,103.024,33.804,25.672,126.123
13,831.746,397.760,64.689,115.107,36.967,28.648,161.401
14,1107.032,314.782,73.102,138.591,46.396,30.380,149.794
15,839.106,431.112,72.613,116.701,38.296,27.898,130.128
16,266.453,188.797,67.426,67.996,20.798,16.312,54.631
17,986.318,265.407,85.504,128.834,44.039,28.516,74.582
18,681.590,239.552,84.933,110.426,31.622,27.444,95.635
19,737.530,289.987,91.544,109.715,34.573,27.162,68.246
20,724.281,176.425,90.904,111.015,40.317,22.874,38.088
21,1176.221,409.487,96.405,150.013,50.991,29.370,132.832
22,360.669,499.727,99.261,99.714,25.552,17.972,64.335
23,616.817,472.305,99.235,96.871,31.863,24.648,106.544
24,1558.971,341.070,117.771,169.720,65.321,30.388,79.636
25,1155.611,445.877,106.803,137.707,40.878,35.994,117.696
26,1117.336,385.123,107.915,133.149,45.511,31.259,135.958
27,475.494,124.420,105.244,97.166,36.565,16.557,50.912
28,830.274,197.604,106.633,123.270,42.923,24.629,68.100
29,844.995,222.333,108.268,118.173,38.496,27.948,54.078
30,846.467,315.083,107.884,114.568,38.009,28.356,89.916
31,780.222,363.876,83.041,126.163,35.748,27.789,64.372
32,637.426,144.562,111.301,116.284,36.856,22.021,72.492
33,1277.797,167.751,126.589,145.160,43.072,37.773,55.752
34,1296.935,260.067,130.665,144.520,49.925,33.076,84.060
35,819.969,490.180,122.970,118.000,36.580,28.541,172.922
36,881.798,231.933,132.357,131.138,44.889,25.011,59.710
37,1039.314,290.283,127.659,125.991,41.780,31.673,93.611
38,457.828,365.489,126.568,86.282,27.509,21.191,91.138
39,368.029,126.834,127.800,77.286,22.228,21.081,100.572
40,1314.600,426.244,141.378,145.698,42.380,39.495,82.373
41,915.656,461.514,139.250,121.137,34.779,33.521,116.637
42,1160.028,197.802,146.431,133.027,42.478,34.771,48.825
43,680.118,393.403,137.676,101.552,32.461,26.677,16.398
44,853.828,311.657,150.107,115.330,38.140,28.503,65.718
45,600.623,108.157,148.767,104.324,36.660,20.860,41.321
46,725.753,151.935,153.070,107.999,34.436,26.834,143.580
47,409.248,493.546,145.802,82.139,24.228,21.507,143.376
48,908.296,517.301,159.869,126.752,38.916,29.717,106.038
49,537.322,127.130,156.412,96.871,35.635,19.198,67.447
50,1291.046,362.958,158.395,140.134,42.028,39.112,77.988
51,1189.470,285.533,172.670,139.718,48.320,31.343,97.381
52,315.033,479.500,160.695,68.879,22.057,18.185,109.374
