PIVlab, ASCII chart output - 21-Nov-2024
FRAME: 47, filenames: A:[47]AVI_Pos011_TimeSrs0011_TgUtrmcherry_K4K8MO.avi & B:[48]AVI_Pos011_TimeSrs0011_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
111,705,-2.296337366,2.107239723,1
111,737,-2.479877949,2.27874279,1
111,769,-0.04044520855,1.587992668,1
111,801,0.1690143347,0.4561116695,1
111,833,0.3376993239,-0.2129214406,1
111,865,0.2545999289,0.4961214662,1
111,897,-1.346677899,1.218886495,1
111,929,-4.051399231,0.8722217083,1
111,961,-1.076860905,0.9844404459,1
111,993,-0.9675222635,0.7842829823,1
111,1025,-0.8453389406,0.550568223,1
111,1057,-0.4550058842,0.1116603613,1
111,1089,-0.2659355998,-0.01397056878,1
111,1121,-0.8027111292,0.05516752601,1
111,1153,-0.6503449678,-0.1781877279,1
111,1185,-0.8783676624,0.2782590687,1
111,1217,-1.104902267,0.8394390345,1
111,1249,-2.406830788,1.396480322,1
111,1281,-3.375837803,1.975729823,1
111,1313,-1.316884041,0.7492592931,1
111,1345,-0.08901751041,0.6267051697,1
111,1377,0.1446487308,0.05501833558,1
111,1409,-0.1508587301,-0.06836773455,1
111,1441,-0.2690358162,-0.4642040133,1
111,1473,-0.3838899732,-1.695474267,1
111,1505,-1.034127116,-1.432494164,1
111,1537,-1.931571841,-0.5694774389,1
111,1569,-0.827686131,0.2405073643,1
111,1601,-0.5395387411,0.4777118862,1
111,1633,-0.509862721,0.2346425653,1
111,1665,-0.3092615604,0.6905645728,1
111,1697,0.2783105373,1.157359362,1
111,1729,-0.7295764685,2.025397301,1
111,1761,-0.5318305492,1.185114264,1
111,1793,-0.09277924895,1.603752613,1
111,1825,-0.5420909524,1.042133451,1
111,1857,-1.107872725,1.31840992,1
111,1889,-1.242748857,0.8744232655,1
111,1921,-1.867987156,0.5036241412,1
111,1953,-2.003342867,0.4251499772,1
111,1985,-0.2041969299,-0.3194356263,1
111,2017,-0.1044640541,-1.287804842,1
143,33,-2.440930605,1.092787266,1
143,65,-2.055204391,-2.195344448,1
143,97,-1.978317738,-1.057013273,1
143,129,-1.541954041,-0.6927313209,1
143,161,-0.8163485527,0.03766408563,1
143,193,-0.4311929941,0.6494736671,1
143,225,-0.1558907032,1.527414322,1
143,257,NaN,NaN,2
143,289,0.1694921851,1.268986821,1
143,321,-0.1906887293,0.8964333534,1
143,353,-1.035280108,0.7991266847,1
143,385,-1.718568087,0.986076355,1
143,417,-1.748672485,1.258104205,1
143,449,-2.073078394,1.402620792,1
143,481,-3.238490343,2.157993317,1
143,513,-2.453464985,1.554452062,1
143,545,-2.106182337,0.8298254013,1
143,577,-2.36339426,1.133876562,1
143,609,-2.192989826,1.661356926,1
143,641,-1.613129854,0.6044898033,1
143,673,-2.285640717,1.920493126,1
143,705,-2.566660166,3.496668816,1
143,737,-1.388875604,3.402648449,1
143,769,-0.3934149742,1.393631458,1
143,801,0.2758737206,0.3034531474,1
143,833,1.721515298,-0.2257594466,1
143,865,0.9854431748,0.1036458015,1
143,897,-0.6402378082,0.7040034533,1
143,929,-0.5449069142,-0.1420542598,1
143,961,-1.026339769,0.3786553741,1
143,993,-1.27750504,0.3976672292,1
143,1025,-1.147450924,-0.0359287262,1
143,1057,-0.7238095403,0.9507474303,1
143,1089,-0.4266034961,1.660985708,1
143,1121,-0.1939389706,0.9446081519,1
143,1153,0.5786314011,-0.2114629745,1
143,1185,0.7081875801,-0.1477428079,1
143,1217,-0.4225229621,0.2610662282,1
143,1249,-2.619747639,0.2836018205,1
143,1281,-3.517355919,1.628246784,1
143,1313,-0.5702620149,0.8436054587,1
143,1345,-0.2225642204,0.6197269559,1
143,1377,-0.06332546473,0.5189099908,1
143,1409,0.05260670185,0.7468479276,1
143,1441,-0.02220579982,-0.1858980358,1
143,1473,-0.2548060417,-1.539445281,1
143,1505,-0.8632709384,-1.058812857,1
143,1537,-1.245455265,-0.1568420231,1
143,1569,-0.8192083836,0.2523783147,1
143,1601,-0.6753818989,0.8516645432,1
143,1633,-0.4724780917,0.7906388044,1
143,1665,-0.02152082324,0.8407828808,1
143,1697,0.1327472031,1.112516999,1
143,1729,0.09163171053,1.13587904,1
143,1761,0.1710182428,0.9593147039,1
143,1793,0.2305465937,0.3179933429,1
143,1825,-0.6417152286,0.3193438053,1
143,1857,-1.629744411,0.9851442575,1
143,1889,-1.711915016,1.507019281,1
143,1921,-2.229982853,1.908495426,1
143,1953,-4.383086205,1.55918479,1
143,1985,-1.867147803,1.206602454,1
143,2017,0.196833849,-1.90328908,1
175,33,NaN,NaN,2
175,65,-1.539974332,-0.8648658991,1
175,97,-1.164009094,-0.5979514122,1
175,129,-0.6107100248,-0.8467248678,1
175,161,-0.3973202705,-1.115518808,1
175,193,-0.2637931705,-0.5026260018,1
175,225,-0.09687668085,0.2068594992,1
175,257,0.4667037129,0.4735030532,1
175,289,0.3596717119,1.28113544,1
175,321,-0.6643383503,0.4460780621,1
175,353,-2.290975332,0.8148559332,1
175,385,-1.799741745,1.363371372,1
