 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,899.463,23.299,355.983,29.255,119.838,39.348,29.105,164.580,40.786,278,17,157.249,29.119
2,690.423,24.817,300.291,31.428,104.862,31.299,28.086,24.636,34.059,233,24,4.086,28.544
3,451.940,20.769,390.434,32.994,87.703,32.067,17.945,155.813,32.782,310,20,141.009,17.906
4,565.293,24.117,327.906,37.976,93.856,28.536,25.222,156.236,31.312,261,23,144.462,26.149
5,1282.213,23.845,267.782,45.397,142.266,42.373,38.528,174.643,45.866,209,54,52.524,38.024
6,1235.106,25.286,232.418,55.910,142.144,44.295,35.503,130.431,46.866,172,41,158.749,37.223
7,581.486,23.611,385.536,51.295,104.151,32.009,23.130,146.562,34.744,304,35,167.905,25.214
8,1105.559,20.746,168.471,65.620,135.748,47.183,29.834,49.122,48.441,130,73,67.932,32.385
9,962.764,24.771,306.832,59.660,122.559,40.558,30.224,174.294,41.199,235,49,166.373,31.085
10,774.333,23.929,361.266,59.035,112.558,36.235,27.209,130.717,39.799,283,38,142.431,26.765
11,525.546,24.384,338.899,63.213,100.131,32.300,20.717,128.742,36.074,270,43,132.274,23.098
12,568.237,23.230,407.989,68.005,100.303,34.643,20.885,114.713,35.829,333,41,118.301,21.704
13,1068.757,25.184,204.282,70.995,128.712,41.001,33.189,137.045,43.830,157,45,131.634,33.651
14,569.709,24.276,428.259,66.235,99.003,33.166,21.871,122.747,35.374,341,43,120.964,22.834
15,584.430,24.645,454.961,67.125,98.882,33.213,22.404,132.639,34.189,369,43,117.474,24.022
16,1631.105,27.849,271.409,86.045,164.400,51.579,40.264,87.749,54.111,219,93,70.346,43.208
17,596.207,26.450,390.321,80.107,101.724,35.801,21.204,130.683,37.140,312,54,128.367,20.733
18,1126.169,22.728,334.850,91.183,133.443,41.552,34.508,121.500,46.503,268,58,105.124,36.190
19,834.690,27.863,238.537,91.690,117.411,34.179,31.094,109.206,38.560,191,90,65.854,31.078
20,797.887,24.638,302.246,89.984,115.523,36.303,27.984,59.077,42.257,239,90,50.826,27.906
21,755.196,27.974,369.568,90.250,112.314,37.632,25.552,137.339,38.712,292,63,122.196,27.036
22,912.712,25.466,450.401,94.061,128.001,41.834,27.779,131.321,45.592,364,61,115.201,30.099
23,602.096,25.293,178.791,90.756,99.176,28.536,26.865,16.997,32.961,132,74,6.340,27.673
24,1117.336,24.407,484.333,93.422,131.555,42.547,33.436,166.146,46.201,383,68,156.801,33.973
25,712.504,21.637,139.513,98.060,111.725,36.777,24.667,40.261,38.540,101,88,28.179,27.130
26,688.950,28.124,419.828,95.981,103.146,31.178,28.135,147.509,33.712,334,71,149.744,29.749
27,1246.883,28.875,208.327,107.037,140.134,41.451,38.300,136.887,44.909,160,73,128.418,38.313
28,557.932,22.786,159.220,108.361,95.744,31.918,22.256,62.533,32.849,130,75,94.236,22.210
29,834.690,26.515,395.013,111.722,113.614,34.290,30.994,7.446,38.996,310,95,5.356,30.482
30,958.348,30.507,357.537,117.908,125.330,36.593,33.345,77.040,43.307,293,80,101.310,34.176
31,1108.504,29.449,313.769,119.375,133.910,38.996,36.193,168.663,46.201,240,91,166.329,36.033
32,463.717,23.138,510.970,116.056,88.708,30.717,19.221,109.228,30.430,419,83,113.499,19.029
33,1009.872,26.286,444.159,124.366,130.844,42.689,30.120,119.412,46.360,351,91,132.879,33.151
34,541.739,24.849,177.407,119.695,94.739,31.752,21.724,38.262,32.669,139,110,58.671,22.790
35,1341.098,31.400,245.623,126.729,146.287,43.920,38.878,73.284,48.441,196,124,67.932,40.838
36,1473.589,31.070,284.744,134.180,158.714,51.425,36.485,133.137,56.298,219,94,142.883,39.396
37,602.096,21.702,490.745,122.127,103.735,34.510,22.214,135.282,37.475,389,93,150.945,24.022
38,507.880,21.727,107.698,126.281,94.689,32.188,20.090,63.513,37.377,81,117,54.246,21.226
39,712.504,26.342,130.649,127.407,109.715,34.331,26.425,78.026,38.002,100,92,106.699,26.779
40,1034.898,29.773,474.867,138.038,145.454,46.522,28.324,119.165,52.186,386,92,107.592,32.114
41,575.598,27.778,418.587,127.945,99.592,29.353,24.967,125.337,32.669,331,105,158.199,25.391
42,474.021,27.769,377.670,133.743,86.576,27.928,21.611,57.010,29.321,302,120,65.556,21.704
43,936.266,25.545,152.390,142.249,125.158,37.939,31.422,59.235,40.058,121,100,91.736,33.421
44,945.099,32.427,188.494,140.961,123.270,41.031,29.328,30.164,43.085,140,125,32.347,30.845
45,818.497,30.146,334.384,141.988,119.888,33.121,31.465,84.569,38.311,277,101,100.954,33.642
46,864.132,31.714,219.759,145.933,120.599,39.072,28.160,105.162,42.621,180,138,85.101,29.221
47,448.996,31.128,399.733,141.537,81.601,25.627,22.308,116.944,26.940,328,128,82.235,21.448
48,521.129,25.618,516.215,141.563,92.729,29.645,22.382,156.120,33.383,411,115,160.907,23.220
49,350.364,23.841,539.050,142.941,76.281,25.801,17.290,98.979,26.720,444,107,92.603,17.502
50,928.905,24.324,111.923,155.206,123.909,36.147,32.719,36.333,40.332,76,129,6.911,32.563
51,284.118,30.710,356.251,146.958,65.985,20.243,17.870,79.503,21.602,288,129,51.843,16.986
52,1037.842,34.964,420.420,158.939,131.138,40.765,32.416,40.839,44.761,330,139,32.829,35.083
53,1031.954,28.361,265.123,162.797,133.027,42.374,31.008,125.949,44.431,202,125,145.008,31.969
54,681.590,26.492,501.954,159.741,103.024,32.206,26.946,133.293,35.374,409,117,112.166,26.718
55,993.679,37.018,382.137,162.967,125.574,39.564,31.978,123.296,43.085,302,121,122.347,32.946
56,768.445,29.393,449.396,162.079,117.117,39.765,24.605,94.034,45.089,362,119,113.806,24.935
57,918.601,37.377,323.875,168.420,126.579,38.319,30.523,116.740,43.034,257,122,111.501,33.533
58,438.691,27.027,529.568,164.094,83.144,26.119,21.385,110.342,29.170,434,125,106.928,21.840
59,831.746,27.232,133.433,173.994,117.878,36.665,28.884,75.935,41.696,105,160,81.634,31.546
