 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
150,1102.615,48.581,321.139,322.294,131.138,40.955,34.279,139.546,43.493,248,258,149.859,34.519
151,513.769,34.802,569.968,319.672,94.272,29.726,22.006,101.376,31.917,462,252,98.746,21.482
152,619.761,43.228,550.711,325.041,105.695,35.373,22.308,94.994,37.632,448,282,69.228,22.269
153,581.486,41.685,211.633,324.240,97.460,33.242,22.272,113.518,34.744,169,254,102.095,21.432
154,345.947,44.664,245.101,324.142,76.453,22.962,19.182,85.540,26.192,200,256,103.392,19.534
155,634.482,47.165,353.395,324.231,111.137,35.152,22.982,40.031,40.768,281,277,36.529,25.808
156,942.155,48.893,527.313,332.107,131.605,43.799,27.389,114.072,49.508,430,256,107.103,31.171
157,627.122,26.036,78.768,326.519,99.125,28.732,27.791,118.887,32.032,56,260,127.304,27.906
158,1160.028,45.944,287.459,332.017,138.591,43.113,34.259,100.953,48.563,230,257,102.995,35.299
159,507.880,56.674,413.455,322.109,94.150,28.764,22.481,1.890,31.639,329,261,175.601,24.266
160,680.118,42.159,370.926,334.831,111.137,36.957,23.432,63.592,39.744,295,288,58.736,27.113
161,594.735,37.964,172.149,333.074,103.146,35.056,21.601,81.531,36.901,141,290,80.538,23.851
162,481.382,46.436,391.841,332.014,90.840,30.624,20.014,94.530,31.499,315,262,105.642,20.984
163,812.608,44.237,192.483,340.458,123.026,38.763,26.691,78.568,43.561,154,298,77.125,30.310
164,1008.400,55.115,430.670,340.962,130.600,39.724,32.321,54.796,42.621,356,263,94.899,34.574
165,376.862,49.087,493.821,332.318,80.301,25.412,18.882,148.186,27.721,401,263,113.199,17.906
166,877.381,36.753,583.526,345.367,119.005,35.826,31.182,98.716,38.902,479,301,86.424,32.041
167,956.876,47.800,148.522,347.587,125.280,39.751,30.649,77.689,42.880,115,302,64.885,32.556
168,870.021,36.927,235.664,345.285,143.149,44.849,24.700,178.285,48.304,175,283,154.722,29.685
169,771.389,39.473,513.942,353.749,110.598,36.362,27.011,147.791,39.203,411,284,158.199,27.454
170,914.184,41.105,339.065,355.909,121.310,37.921,30.695,65.827,41.696,274,311,81.634,31.516
171,578.542,45.870,403.514,356.106,116.873,37.045,19.885,83.744,46.503,330,315,82.504,22.773
172,331.226,48.162,470.863,347.419,83.144,24.405,17.280,88.468,29.745,389,301,78.232,19.750
173,686.006,49.081,309.435,352.794,105.278,34.077,25.632,28.831,37.983,240,297,26.565,27.906
174,619.761,64.660,268.681,353.991,98.587,29.803,26.477,123.245,32.307,213,281,145.713,26.596
175,590.319,46.531,486.568,356.602,99.836,33.526,22.419,77.354,33.471,390,304,43.531,23.243
176,491.687,35.587,553.054,351.551,90.008,29.518,21.209,35.301,31.312,444,294,35.538,22.029
177,981.902,47.179,453.589,363.404,124.864,38.764,32.251,94.369,41.502,366,314,74.745,33.642
178,658.036,22.363,100.323,359.420,108.537,31.893,26.271,95.399,36.196,72,283,129.560,25.479
179,809.664,31.641,205.197,365.989,112.020,35.042,29.419,64.287,38.079,162,314,67.521,30.028
180,1447.090,36.459,377.571,369.637,157.120,48.417,38.055,118.298,52.397,294,289,132.184,38.609
181,459.300,28.258,567.237,366.858,82.312,25.284,23.129,13.963,27.373,456,305,12.804,23.164
182,709.560,34.748,174.852,370.708,103.440,32.553,27.753,116.708,33.117,142,319,81.573,27.673
183,766.973,34.681,235.811,369.590,110.426,34.460,28.338,35.559,36.500,181,309,15.422,30.181
184,803.776,48.002,421.573,374.121,111.431,34.839,29.375,20.955,38.079,332,315,30.651,30.333
185,768.445,53.847,284.514,377.869,111.847,33.116,29.545,113.989,37.691,221,305,146.821,29.242
186,525.546,32.507,125.934,373.799,92.434,27.115,24.678,168.206,29.220,95,299,131.634,25.479
187,443.107,31.978,257.816,379.276,82.850,25.490,22.133,76.549,26.610,204,320,43.152,23.053
188,755.196,46.195,313.855,378.511,107.827,34.606,27.785,168.056,37.983,245,302,153.435,26.693
189,581.486,42.100,349.640,380.839,96.871,29.765,24.874,5.446,32.669,274,312,164.932,25.734
