 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
149,432.802,67.744,430.766,291.033,88.170,25.365,21.726,117.038,28.325,350,227,99.866,22.257
150,958.348,55.406,497.903,303.071,161.263,53.378,22.860,95.972,60.337,406,274,74.846,25.998
151,731.642,64.472,374.347,297.784,126.113,39.890,23.353,100.037,46.201,299,228,119.932,24.266
152,541.739,36.727,517.130,299.707,100.425,36.116,19.099,104.497,39.521,419,230,107.879,20.511
153,711.032,62.046,395.977,303.080,111.137,40.954,22.106,100.162,44.514,321,232,107.447,23.053
154,534.378,38.715,77.483,298.208,94.983,26.492,25.683,67.557,31.312,52,254,54.462,26.693
155,494.631,63.011,224.346,298.080,89.175,32.412,19.430,119.228,33.383,179,233,109.093,19.138
156,853.828,53.814,336.528,315.696,128.712,45.266,24.016,111.913,49.135,269,240,110.225,27.454
157,1005.456,56.530,311.441,313.365,135.453,45.345,28.232,108.048,47.706,255,241,97.306,31.152
158,609.456,49.192,185.745,310.586,103.562,34.571,22.446,105.448,38.845,151,242,104.470,22.738
159,666.869,44.177,127.192,311.540,108.882,32.112,26.441,73.181,35.270,97,268,40.815,26.584
160,506.408,56.168,482.142,318.567,102.974,34.759,18.550,89.990,39.128,398,243,97.125,19.413
161,594.735,50.989,159.715,310.886,101.430,30.774,24.606,112.139,35.018,124,244,104.036,26.090
162,647.731,49.918,208.590,312.341,103.562,30.905,26.686,126.140,34.997,162,247,146.310,28.690
163,837.634,57.131,439.956,318.481,127.118,44.247,24.104,84.969,45.040,365,281,85.365,25.479
164,821.441,58.399,269.148,312.981,117.117,34.611,30.219,104.391,39.072,209,247,126.158,31.993
165,612.400,60.065,416.783,315.915,101.968,34.814,22.397,91.198,37.983,338,246,116.565,23.053
166,627.122,45.122,536.624,317.482,104.862,37.719,21.169,87.027,39.297,439,278,81.119,22.605
167,933.322,40.187,143.302,335.908,145.870,49.388,24.061,82.575,59.650,115,299,85.333,27.906
168,1042.258,44.959,244.374,325.518,133.565,42.111,31.513,108.367,43.965,196,251,117.979,30.389
169,956.876,43.642,294.391,332.463,133.910,45.834,26.581,115.228,51.833,236,251,106.314,27.431
170,494.631,54.198,459.634,321.873,92.556,29.039,21.688,86.308,31.755,371,277,83.418,21.840
171,656.564,31.392,103.417,323.774,105.278,34.178,24.459,102.934,38.079,76,254,112.479,25.479
172,719.865,26.974,77.000,323.327,109.248,31.224,29.354,108.613,37.041,58,281,58.392,27.906
173,712.504,45.727,364.649,327.009,107.877,32.910,27.566,99.361,38.311,298,255,100.954,28.078
174,961.292,46.506,515.445,338.625,129.006,43.090,28.404,84.518,48.350,419,299,72.474,30.311
175,983.374,43.675,386.373,342.186,136.286,48.457,25.839,77.230,50.275,313,303,81.674,27.602
176,602.096,38.243,174.344,333.299,95.033,30.957,24.764,16.083,33.558,131,279,12.529,25.202
177,778.750,36.204,215.071,337.165,118.000,37.308,26.577,172.670,43.000,159,274,163.610,27.147
178,711.032,29.097,120.249,347.769,113.147,39.416,22.968,82.888,41.324,97,269,93.366,24.266
179,550.572,46.999,406.886,349.838,107.288,40.471,17.321,96.572,44.282,332,269,99.462,19.898
180,665.397,37.359,331.048,348.190,106.872,35.064,24.162,118.289,37.671,269,273,104.931,25.992
181,730.170,60.879,275.585,349.406,110.304,37.326,24.907,132.404,38.368,217,274,145.305,26.651
182,370.973,52.694,421.567,344.464,83.977,28.810,16.395,91.630,30.695,340,274,108.435,17.846
183,463.717,47.428,462.738,347.536,98.415,31.431,18.785,92.998,34.744,382,302,77.905,21.671
184,553.516,48.813,478.453,351.956,111.553,42.911,16.424,76.628,43.746,390,310,70.560,17.381
185,819.969,21.639,91.888,350.917,114.152,35.819,29.147,142.800,39.128,60,282,150.255,29.949
186,821.441,44.657,492.973,361.155,137.291,47.102,22.205,71.182,51.833,399,316,73.686,26.032
187,1086.422,41.641,186.670,358.163,137.585,43.909,31.504,54.836,50.026,143,314,67.166,33.661
188,925.961,39.237,359.003,356.868,129.717,45.168,26.102,131.634,48.970,285,277,131.987,29.390
189,482.854,66.407,434.742,358.033,101.846,37.299,16.483,86.064,38.845,356,279,91.790,19.413
190,925.961,41.703,158.373,365.531,128.590,43.512,27.095,95.780,49.075,130,280,98.531,28.069
191,382.750,47.627,449.610,359.307,85.276,31.523,15.460,98.464,32.961,369,281,96.340,16.986
192,515.241,33.726,66.597,357.368,88.414,28.537,22.989,95.639,30.430,49,305,66.501,23.053
193,739.002,48.265,250.410,359.746,112.558,34.737,27.087,103.055,37.041,195,285,121.608,26.474
194,565.293,49.054,319.059,364.078,107.339,40.247,17.883,124.306,41.466,258,283,110.556,18.508
195,903.879,31.067,224.278,365.887,122.143,39.532,29.112,132.439,42.257,171,290,129.174,32.325
196,924.489,55.978,298.810,375.461,123.320,37.167,31.670,98.532,42.621,244,292,94.899,33.170
197,552.044,33.209,133.068,375.273,94.445,30.389,23.130,105.390,33.558,108,296,102.529,23.542
198,646.259,33.995,395.695,376.138,100.719,31.669,25.983,135.077,34.489,314,303,140.711,26.594
199,482.854,32.244,516.621,376.865,97.998,33.702,18.242,94.624,35.931,423,326,78.311,19.518
200,500.520,22.630,86.234,377.742,94.272,28.002,22.758,119.856,32.032,66,299,127.304,23.092
201,510.824,26.343,109.049,377.250,89.003,28.028,23.205,95.187,29.346,87,323,82.875,22.875
202,490.215,48.349,272.136,376.492,87.287,26.912,23.192,112.022,28.942,220,299,123.024,24.266
203,599.151,37.859,419.350,381.251,100.719,35.400,21.550,77.638,37.219,338,328,70.974,22.724
204,903.879,29.898,203.652,384.551,123.320,37.639,30.576,162.924,42.742,150,314,173.480,32.197
205,824.385,42.440,348.044,381.910,117.878,36.371,28.859,170.359,40.496,271,316,8.616,27.831
206,353.308,45.407,461.714,378.820,79.591,25.416,17.699,73.298,27.266,377,324,69.146,18.949
207,522.601,31.170,500.069,389.238,95.155,29.558,22.512,92.513,32.124,411,333,79.114,23.021
208,585.902,31.126,440.748,389.033,99.298,31.371,23.780,51.008,33.558,350,327,40.601,24.994
209,378.334,25.543,574.610,385.622,75.276,24.636,19.553,112.527,26.248,467,310,123.690,19.413
210,566.765,27.364,532.206,394.059,104.567,36.302,19.878,69.340,41.270,433,341,65.695,22.247
211,794.943,28.020,253.766,393.649,116.162,36.949,27.394,123.216,38.712,194,317,147.804,28.625
212,743.419,27.278,475.483,399.312,112.142,37.452,25.274,83.927,39.128,390,312,97.125,26.693
213,397.471,20.394,151.295,392.959,81.012,23.846,21.222,34.283,25.595,120,335,84.560,22.574
214,628.594,39.909,317.254,397.208,103.318,31.439,25.457,56.318,33.994,263,314,92.045,26.584
215,513.769,26.171,177.930,395.738,87.459,28.872,22.657,117.221,31.194,142,315,103.496,23.053
216,390.111,24.711,367.502,398.979,84.738,26.938,18.439,94.368,30.430,301,340,85.426,20.076
217,880.326,23.478,125.028,402.313,118.711,38.002,29.495,163.813,41.907,88,324,157.891,31.401
218,373.918,28.154,232.516,397.444,80.423,25.995,18.315,129.322,30.138,186,318,130.101,18.449
219,510.824,35.977,283.503,400.184,90.008,28.942,22.473,2.325,31.194,222,334,13.496,23.715
220,496.103,24.451,94.096,399.850,96.282,31.738,19.903,158.084,34.997,64,323,146.310,21.537
221,923.017,32.399,341.848,410.509,129.300,39.322,29.887,178.186,44.958,264,343,3.094,32.370
222,360.669,24.705,396.066,400.483,76.991,23.964,19.163,13.551,26.638,317,336,30.069,19.413
223,291.479,25.529,453.796,404.650,67.579,19.733,18.807,23.817,22.306,364,333,157.620,19.733
224,513.769,24.334,163.263,411.484,92.312,30.728,21.289,161.901,33.842,121,335,165.466,23.053
225,186.959,30.902,217.865,405.403,57.873,17.958,13.256,125.690,19.751,171,330,132.510,13.317
226,491.687,19.244,83.079,413.426,92.018,33.293,18.804,150.006,33.383,57,333,160.907,19.038
227,812.608,29.019,200.734,415.433,115.573,38.768,26.688,159.316,41.837,149,340,163.142,28.492
228,537.322,20.956,544.627,413.517,91.724,27.676,24.720,24.348,29.521,436,341,170.538,24.880
229,739.002,32.563,298.906,418.118,115.868,41.025,22.936,3.256,44.098,228,349,7.907,26.262
230,288.535,28.551,266.767,415.521,67.285,22.120,16.608,2.426,23.338,210,344,8.973,16.986
231,521.129,28.611,236.177,418.722,93.145,30.750,21.578,2.414,31.100,182,349,20.556,21.589
232,683.062,30.338,347.197,235.905,104.273,32.378,26.861,146.486,35.270,272,189,153.435,28.776
233,811.136,22.661,357.879,23.527,130.133,38.851,26.583,178.520,43.746,283,33,33.690,30.182
234,394.527,22.463,382.695,41.565,86.576,28.534,17.605,152.925,30.719,304,29,170.910,19.737
235,797.887,34.720,536.434,356.650,119.716,43.465,23.373,71.538,46.440,435,312,70.145,24.556
236,727.226,37.657,557.365,325.695,117.828,42.526,21.773,83.663,44.745,456,285,77.471,23.053
237,637.426,30.502,550.328,288.578,112.142,42.740,18.989,93.363,44.909,451,220,91.548,20.322
238,395.999,39.283,573.396,324.086,101.846,35.216,14.317,88.183,41.696,466,285,81.634,16.222
239,649.203,22.681,585.886,302.550,111.898,37.311,22.154,88.308,44.958,481,269,86.906,25.336
240,390.111,33.100,379.727,392.290,115.157,37.174,13.362,100.278,40.332,311,308,96.911,19.843
241,186.959,25.103,428.780,405.794,57.579,21.796,10.922,165.671,22.372,345,332,167.471,12.150
242,372.445,32.389,554.431,359.679,95.988,32.257,14.701,61.735,37.905,446,310,50.194,15.731
243,474.021,25.748,553.702,384.822,94.861,31.113,19.399,70.974,34.318,456,332,81.870,21.177
244,762.556,31.644,399.970,193.574,113.736,36.164,26.847,126.354,40.786,322,146,112.751,28.312
